Met;Stoic
m02040c[c];-0.248
m02039c[c];-0.248
m01371c[c];-3.182
m01285c[c];3.182
m02751c[c];-2.685
m01975c[c];-0.026
m01370c[c];-0.042
m02527c[c];-0.01
m02759c[c];2.933
m02034c[c];-0.59
m01307c[c];-0.064
m01369c[c];-0.045
m01628c[c];-0.008
m01974c[c];-0.055
m01986c[c];-0.071
m02896c[c];-0.067
m02993c[c];-0.06
m02426c[c];-0.051
m01365c[c];-0.046
m02471c[c];-0.012
m01623c[c];-0.596
m03130c[c];-0.865
m02125c[c];-0.009
m03101c[c];-0.026
m02184c[c];-0.035
m02360c[c];-0.06
m03089c[c];-0.01
m02724c[c];-0.032
m02770c[c];-0.046
m03135c[c];-0.031
m02684c[c];-0.038400093
m02685c[c];-0.014565553
m02808c[c];-0.001986212
m02750c[c];-0.006620706
m02908c[c];-0.001986212
m01450c[c];-1.19E-05
sarscov2c[c];1
