reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;1.3778231200417746e-80;4.016023705135128e-11
12HPETATP;0;0;0;0;8.069095793907826e-226;1.4426852933326823e-202
12HPETUPKt;0;0;0;0;0.0;0.0
12HTACRtep;0;0;0;0;0.0;5.407147211213831e-298
12HTACRtu;0;0;0;0;0.0;1.5335801209377315e-251
12PPDRte;0;0;0;0;1.4714782909850348e-60;1.129644010847669e-56
1331TAALThr;0;0;0;0;4.538874957869972e-267;2.205384145567676e-270
1331TACRhr;0;0;0;0;1.8219579255249822e-194;1.9873867733688226e-179
1331TACRteb;0;0;0;0;2.0908168721529493e-154;3.339289608269862e-78
1331TACRtev;0;0;0;0;0.0;9.641344534709392e-245
13DMThr;0;0;0;0;9.894089092570788e-71;1.0263301686513417e-95
13DMTitr;0;0;0;0;0.0;2.03747963531123e-310
13DMTtep;0;0;0;0;0.0;5.648632744375865e-280
13DMTtu;0;1;0;1;0.0;0.0
13HTACRitr;0;1;0;1;0.0;0.0
13_CIS_RETNte;1;0;1;0;0.0;0.0
1513DTACRhr;1;0;1;0;0.0;0.0
1513DTALThr;0;0;0;0;1.2740223473676688e-41;1.545546736591694e-07
1513TACRitr;1;0;1;0;0.0;0.0
1513TACRtep;1;0;1;0;0.0;0.0
1513TACRtu;0;1;0;1;0.0;0.0
1531TACRhr;0;0;0;0;8.1232907538e-313;1.4426846245037137e-273
1531TACRitr;0;1;0;1;0.0;0.0
1531TACRteb;0;0;0;0;2.004796129053983e-23;1.5246357934103642e-07
1531TACRtev;1;0;1;0;0.0;0.0
1531TALThr;0;0;0;0;5.836007562860552e-263;5.137903735633208e-222
15DMThr;0;0;0;0;0.0;0.0
15DMTitr;0;0;0;0;7.90491491610327e-192;3.3515062502974944e-100
15DMTtep;0;0;0;0;0.0;0.0
15DMTtu;0;1;0;1;0.0;0.0
15HPETATP;1;0;1;0;0.0;0.0
15HPETUPKt;1;0;1;0;0.0;0.0
15KPROSTGF2t;1;0;1;0;0.0;0.0
21HPRGNLONEt1;0;1;0;1;0.0;0.0
21HPRGNLONEt2;0;0;0;0;0.0;7.965800691190013e-181
2H3MVc;0;1;0;1;0.0;0.0
2H3MVte;0;0;0;0;0.0;0.0
2HATVACIDtep;0;0;0;0;3.415076938001903e-75;1.1269662137756531e-36
2HATVLAChc;0;1;0;1;0.0;0.0
2HATVLACtep;0;0;0;0;0.0;0.0
2HIVc;0;1;0;1;0.0;0.0
2HIVte;1;0;1;0;0.0;0.0
2HXIC_Lt1e;0;0;0;0;3.877837735964794e-44;1.421610716786855e-40
2HXIC_Lt2e;0;0;0;0;0.0;1.757220509732001e-278
2M3HVACc;1;0;1;0;0.0;0.0
2M3HVACte;1;0;1;0;0.0;0.0
2M3OVACm;0;0;0;0;1.7654112496285598e-77;4.199845620340553e-33
2M3OVACtm;0;1;0;1;1.1934975529863006e-293;9.357179763758298e-235
2M3OVCOAm;0;0;0;0;0.0;1.2946003634355365e-281
2OXOADPt;0;0;0;0;5.2058940478101405e-43;7.830349219947425e-35
2PGtr;0;1;0;1;0.0;0.0
31DMThr;0;0;0;0;1.8239353961525478e-102;4.348333092264485e-38
31DMTitr;0;0;0;0;4.18132488673229e-49;9.657577166347435e-07
31DMTtep;0;0;0;0;9.915014477019301e-164;2.5394548870067926e-166
31DMTtu;0;1;0;1;0.0;0.0
34HPLFM;0;0;0;0;8.06039531632817e-37;1.0152966380053286e-27
34HPLte;0;0;0;0;0.0;0.0
34HPLtm;0;1;0;1;0.0;0.0
34HPPte;0;1;0;1;0.0;0.0
3AIBSYMPt;0;1;0;1;0.0;0.0
3AIBt1;0;1;0;1;0.0;0.0
3BCRNtr;1;0;1;0;0.0;0.0
3DDCRNtr;0;1;0;1;0.0;0.0
3DECCRNtr;0;0;0;0;4.110720359738706e-177;3.211902509853718e-209
3H3MGLTc;0;1;0;1;0.0;0.0
3H3MGLTte;1;0;1;0;0.0;0.0
