reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;0.0;2.454757295634217e-292
12HPETATP;0;0;0;0;0.0;5.68737708064126e-296
12HPETUPKt;0;1;0;1;0.0;0.0
12HTACRtep;1;0;1;0;0.0;0.0
12HTACRtu;0;0;0;0;1.3758324741850735e-86;1.1253704573022544e-123
12PPDRte;0;0;0;0;3.419956719916433e-203;1.8285046308747004e-156
1331TAALThr;0;0;0;0;3.941361018475455e-44;6.9762305060641795e-19
1331TACRhr;0;0;0;0;0.0;0.0
1331TACRteb;0;0;0;0;4.40802705960106e-309;1.2013406620646665e-244
1331TACRtev;0;1;0;1;0.0;0.0
13DMThr;1;0;1;0;0.0;0.0
13DMTitr;1;0;1;0;0.0;0.0
13DMTtep;0;1;0;1;0.0;0.0
13DMTtu;0;1;0;1;0.0;0.0
13HTACRitr;0;0;0;0;0.0;0.0
13_CIS_RETNte;1;0;1;0;0.0;0.0
1513DTACRhr;1;0;1;0;0.0;0.0
1513DTALThr;0;0;0;0;0.0;0.0
1513TACRitr;1;0;1;0;2.785713648938476e-253;2.1365942302835747e-212
1513TACRtep;0;1;0;1;0.0;0.0
1513TACRtu;0;0;0;0;0.0;2.0269390655461028e-299
1531TACRhr;0;0;0;0;7.938440959919748e-154;8.939947276914121e-38
1531TACRitr;0;1;0;1;0.0;0.0
1531TACRteb;0;0;0;0;0.0;0.0
1531TACRtev;0;0;0;0;0.0;0.0
1531TALThr;0;1;0;1;0.0;9.462253225888151e-250
15DMThr;0;0;0;0;0.0;0.0
15DMTitr;0;0;0;0;0.0;0.0
15DMTtep;0;1;0;1;0.0;0.0
15DMTtu;0;0;0;0;1.8085625304989808e-287;1.1177601666560499e-199
15HPETATP;0;0;0;0;1.4685095291719804e-101;3.5669694743127075e-05
15HPETUPKt;1;0;1;0;1.7884998435996384e-304;6.214563227628234e-278
15KPROSTGF2c;1;0;1;0;0.0;0.0
15KPROSTGF2t;1;0;1;0;0.0;0.0
1A25DHVITD3t2e;0;1;0;1;0.0;0.0
1A25DHVITD3te;0;0;0;0;0.0;4.87845758356973e-281
21HPRGNLONEt1;1;0;1;0;0.0;0.0
21HPRGNLONEt2;1;0;1;0;2.3284656499362935e-161;5.046169143797742e-69
2H3MVc;1;0;1;0;0.0;0.0
2H3MVte;1;0;1;0;0.0;0.0
2HATVACIDteb;0;0;0;0;3.1212504393759556e-307;5.255658538810855e-280
2HATVACIDtep;0;0;0;0;5.524065981128098e-291;1.1702302647438152e-270
2HATVLAChc;0;0;0;0;0.0;0.0
2HATVLACteb;1;0;1;0;0.0;0.0
2HATVLACtep;0;1;0;1;0.0;0.0
2HIVc;0;0;0;0;3.419956719916433e-203;8.636708432307057e-158
2HIVte;0;0;0;0;7.072674891474846e-14;6.642044657607183e-08
2HXIC_Lt1e;0;1;0;1;0.0;0.0
2HXIC_Lt2e;0;1;0;1;0.0;0.0
2OXOADPt;0;0;0;0;3.9418285686452416e-28;1.4084062094003298e-35
2PGtr;0;0;0;0;0.0;2.0349471505786646e-255
31DMThr;0;0;0;0;2.008334986475431e-245;1.1486665599957795e-175
31DMTitr;0;1;0;1;0.0;0.0
31DMTtep;1;0;1;0;0.0;0.0
31DMTtu;0;1;0;1;0.0;0.0
34DHPHELAT1tc;1;0;1;0;0.0;0.0
34HPLFM;0;1;0;1;0.0;0.0
34HPLte;0;0;0;0;0.0;0.0
34HPLtm;0;0;0;0;1.4479804259653586e-57;1.7145100769311883e-48
34HPPte;0;0;0;0;0.0;3.994801284521132e-299
3AIBSYMPt;0;0;0;0;2.465e-321;7.884069191999827e-264
3AIBt1;0;0;0;0;2.624139013912334e-64;1.5360050030078471e-78
3ANTHRNtr;1;0;1;0;0.0;0.0
3BCRNtr;0;1;0;1;0.0;0.0
3DDCRNtr;0;1;0;1;0.0;0.0
3DECCRNtr;0;0;0;0;2.3417526533793214e-103;5.708660339205882e-146
3H3MGLTc;1;0;1;0;0.0;0.0
3H3MGLTte;0;1;0;1;0.0;0.0
3HCINNMsec;1;0;1;0;0.0;0.0
3HCINNMup;1;0;1;0;2.423873821154287e-121;0.00023212912610812275
3HDECECRNtr;0;1;0;1;0.0;0.0
3HEXDCRNtr;0;1;0;1;0.0;0.0
3HPPAsec;0;0;0;0;1.5634462805096656e-51;3.6901896910943504e-22
3HPPAup;1;0;1;0;0.0;0.0
3HPPNOHGLUCte;0;0;0;0;3.501772176103819e-148;1.431181239306828e-130
3HPPPNOHGLUCc;0;0;0;0;2.7830141122369773e-35;0.005343880397754781
3HPPPNOHc;0;1;0;1;0.0;0.0
3HPVSCOAhc;0;1;0;1;0.0;0.0
3HPVSCOAitm;1;0;1;0;0.0;0.0
3HPVSCOAitx;0;0;0;0;0.0;0.0
3HPVSTETCOAhcm;0;0;0;0;0.0;1.0490557529926752e-269
3HPVSTETCOAhcx;0;1;0;1;0.0;0.0
3HPVSTETCOAitm;0;1;0;1;0.0;1.7822820924883643e-221
3HPVSTETCOAitx;1;0;1;0;0.0;0.0
