reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
12HPETATP;0;1;0;1;0.0;5.184057170176172e-230
12HPETUPKt;1;0;1;0;0.0;0.0
12HTACRtep;0;0;0;0;0.0;0.0
12HTACRtu;1;0;1;0;0.0;0.0
12PPDRte;0;0;0;0;1.2842563066749236e-186;1.0245217854201821e-195
1331TAALThr;0;0;0;0;0.0;0.0
1331TACRhr;1;0;1;0;0.0;0.0
1331TACRteb;0;0;0;0;0.0;0.0
1331TACRtev;0;1;0;1;0.0;1.0703314181994802e-269
13DMThr;1;0;1;0;0.0;0.0
13DMTitr;0;0;0;0;0.0;0.0
13DMTtep;0;1;0;1;0.0;0.0
13DMTtu;0;1;0;1;0.0;0.0
13HTACRitr;1;0;1;0;0.0;0.0
13_CIS_RETNte;1;0;1;0;0.0;0.0
1513DTACRhr;0;0;0;0;0.0;0.0
1513DTALThr;1;0;1;0;0.0;0.0
1513TACRitr;0;0;0;0;0.0;1.2509742889745632e-292
1513TACRtep;0;1;0;1;8.564734865126318e-241;4.460456240313934e-111
1513TACRtu;0;0;0;0;2.3953733935795925e-121;0.00997178670084118
1531TACRhr;0;0;0;0;2.03475387534958e-139;1.8464074962264468e-137
1531TACRitr;1;0;1;0;0.0;0.0
1531TACRteb;0;0;0;0;0.0;0.0
1531TACRtev;1;0;1;0;0.0;1.802621953919517e-136
1531TALThr;0;0;0;0;0.0;0.0
15DMThr;1;0;1;0;0.0;0.0
15DMTitr;0;0;0;0;5.256107138043081e-115;0.040962817264173834
15DMTtep;0;0;0;0;0.0;0.0
15DMTtu;0;0;0;0;8.572067301264059e-110;4.898450710518118e-76
15HPETATP;1;0;1;0;0.0;0.0
15HPETUPKt;1;0;1;0;0.0;0.0
15KPROSTGF2t;1;0;1;0;0.0;0.0
21HPRGNLONEt1;1;0;1;0;0.0;0.0
21HPRGNLONEt2;1;0;1;0;0.0;1.6129341400601856e-279
2H3MVc;0;0;0;0;0.0;5.5596254519220505e-283
2H3MVte;1;0;1;0;0.0;0.0
2HATVACIDtep;0;0;0;0;8.710556955694741e-36;6.780013591309585e-13
2HATVLAChc;0;1;0;1;0.0;0.0
2HATVLACtep;0;1;0;1;0.0;0.0
2HIVc;0;0;0;0;0.0;0.0
2HIVte;1;0;1;0;0.0;0.0
2HXIC_Lt1e;0;0;0;0;1.118086485e-314;3.389952148001438e-292
2HXIC_Lt2e;0;0;0;0;3.5911314385241216e-222;3.525664755373809e-154
2OXOADPt;0;0;0;0;7.727020970595743e-124;1.784824381162282e-57
2PGtr;0;0;0;0;2.0135743248528405e-245;4.433008289238897e-93
31DMThr;0;0;0;0;2.052204594109831e-95;2.0156067892969966e-134
31DMTitr;0;1;0;1;0.0;5.334915868593804e-306
31DMTtep;0;0;0;0;3.655118876930108e-172;4.082735123781315e-93
31DMTtu;0;1;0;1;0.0;0.0
34DHPHELAT1tc;0;0;0;0;3.6947574164711736e-84;3.571865308382551e-80
34HPLFM;0;1;0;1;0.0;0.0
34HPLte;0;0;0;0;0.0;6.061693270841113e-287
34HPLtm;0;0;0;0;0.0;0.0
34HPPte;0;0;0;0;3.7459900995026563e-91;2.118491278123859e-87
3AIBSYMPt;0;0;0;0;2.2026309284937544e-305;6.37289329193483e-150
3AIBt1;0;1;0;1;1.7387676054922268e-252;3.6810874249602916e-90
3BCRNtr;0;1;0;1;0.0;0.0
3DDCRNtr;0;0;0;0;6.585381301799435e-118;1.2746483645012253e-05
3DECCRNtr;1;0;1;0;0.0;0.0
3H3MGLTc;0;1;0;1;0.0;0.0
3H3MGLTte;0;1;0;1;0.0;0.0
3HCINNMsec;1;0;1;0;0.0;0.0
3HCINNMup;0;1;0;1;0.0;6.723515763146998e-292
3HDECECRNtr;0;0;0;0;0.0;0.0
3HEXDCRNtr;1;0;1;0;0.0;0.0
3HPPAsec;1;0;1;0;0.0;1.2492959878852824e-306
3HPPAup;0;0;0;0;5.0215340442513064e-14;3.954349685455569e-16
3HPPNOHGLUCte;1;0;1;0;0.0;2.474745549810179e-289
3HPPPNOHGLUCc;0;1;0;1;0.0;0.0
3HPPPNOHc;1;0;1;0;0.0;0.0
3HPVSCOAhc;0;1;0;1;0.0;6.708994718505803e-269
3HPVSCOAitm;0;0;0;0;1.4618786043845324e-84;5.578678304870422e-42
3HPVSCOAitx;0;1;0;1;0.0;0.0
3HPVSTETCOAhcm;0;0;0;0;1.8336772999569092e-287;1.2492807187803191e-245
3HPVSTETCOAhcx;1;0;1;0;7.130163077738081e-255;5.619333082976361e-78
3HPVSTETCOAitm;0;1;0;1;0.0;6.332940158984688e-299
3HPVSTETCOAitx;1;0;1;0;0.0;0.0
3HPVSTEThc;0;0;0;0;0.0;0.0
3HPVSTETtev;0;0;0;0;1.0033582898997704e-169;8.55145033410346e-123
3HPVStep;0;1;0;1;0.0;0.0
3ISPVShc;1;0;1;0;0.0;0.0
3ISPVStep;0;0;0;0;0.0;0.0
3IVCRNtr;0;1;0;1;0.0;0.0
3MHISc;0;1;0;1;2.1548773217705294e-281;2.4287213575344616e-164
3MHISt1;0;1;0;1;0.0;0.0
3MHISt2;1;0;1;0;0.0;0.0
3MHISt3;0;1;0;1;0.0;0.0
3MOBt2im;0;0;0;0;1.4098743620987254e-28;1.3104198668101945e-20
3MOBte;0;0;0;0;5.103746427211516e-79;9.270905942451163e-19
3MOPte;0;0;0;0;1.8834174286441905e-116;2.1538836483964997e-50
3MOX4HOXMte;1;0;1;0;0.0;0.0
3MOXTYRESSte;0;0;0;0;0.0;2.1613641125506106e-296
3MOXTYRt;0;1;0;1;0.0;0.0
3MTPte;0;0;0;0;1.1025812904217514e-135;7.254637045024791e-84
3OCTDEC2CRNtr;0;0;0;0;2.884144212963074e-104;0.9949712183068733
3OCTDECCRNtr;1;0;1;0;0.0;0.0
3OCTDECE1CRNtr;0;0;0;0;0.0;3.8379056797165554e-204
3PGtr;0;0;0;0;0.0;0.0
3TDCRNtr;0;1;0;1;0.0;0.0
3TETD7ECOACRNtr;0;1;0;1;5.73396156482253e-234;1.8449729716749283e-53
3THEXDDCOACRNtr;0;1;0;1;1.564563011342015e-132;2.0030617146545028e-39
3TTETDDCOACRNtr;0;1;0;1;0.0;0.0
4BHGLZABCt;0;1;0;1;2.8170270929088423e-257;4.932060549947779e-71
4BHGLZhr;0;1;0;1;0.0;1.4969602215458264e-186
4BHGLZitr;0;1;0;1;0.0;5.1149333664946544e-278
4BHGLZtev;0;1;0;1;0.0;8.00223251561949e-285
4HATVACIDtep;0;0;0;0;0.0;0.0
4HATVLAChc;0;0;0;0;5.650404558031155e-81;4.273649523005398e-36
4HATVLACtep;0;0;0;0;2.237189062552414e-127;2.2135369559956953e-143
4HBZCOAFm;1;0;1;0;0.0;0.0
4HBZFm;0;1;0;1;0.0;2.3889923029365855e-279
4HBZte;1;0;1;0;0.0;0.0
4OHBUTm;0;0;0;0;1.8336772999569092e-287;7.682213700207619e-213
4OHBUTtce;0;0;0;0;5.881619896061207e-83;3.334216096184727e-89
4OHBUTtmc;0;1;0;1;0.0;0.0
4TMEABUTNt1;0;0;0;0;8.328886901864545e-200;1.0127516330905676e-65
4TMEABUTNt2;1;0;1;0;0.0;0.0
56DTHMt;1;0;1;0;6.948906960941503e-119;5.754505535963999e-81
56DTHMtd;0;1;0;1;0.0;0.0
56DURAt;1;0;1;0;0.0;0.0
56DURAtd;1;0;1;0;0.0;2.8279621199344653e-158
5AOPt;0;0;0;0;1.1025812904217514e-135;7.51149924325251e-09
5AOPt2;0;0;0;0;0.0;0.0
5CYSDOPAt;0;0;0;0;6.598253029952818e-39;1.0748966543713552e-32
5HPETATP;0;1;0;1;0.0;0.0
5HPETtd;0;0;0;0;0.0;0.0
5OHHEXAc;0;0;0;0;0.0;6.845083598896119e-293
5OHHEXAte;1;0;1;0;0.0;0.0
5OXPROt;0;1;0;1;0.0;0.0
6AHGLZABCt;0;1;0;1;1.1734512060259882e-64;2.7711226289326536e-104
6AHGLZhr;0;0;0;0;0.0;9.287022550370182e-302
6AHGLZitr;0;0;0;0;2.1182254789929144e-154;4.387338785733668e-207
6AHGLZtev;0;0;0;0;1.8660141921373445e-130;1.0084764086886482e-130
6BHGLZABCt;0;1;0;1;5.73396156482253e-234;1.8449729716749283e-53
6BHGLZGLCABCt;1;0;1;0;0.0;0.0
6BHGLZGLChr;0;1;0;1;2.9704881901158855e-282;7.6003328165508e-102
6BHGLZGLCitr;0;1;0;1;0.0;0.0
6BHGLZGLCtev;0;0;0;0;0.0;0.0
6BHGLZitr;0;1;0;1;0.0;0.0
6BHGLZtev;1;0;1;0;0.0;2.0476399045524248e-269
6EPVShc;1;0;1;0;0.0;0.0
6EPVStep;0;0;0;0;6.896409695427658e-259;7.674764613518571e-179
7AHGLZABCt;0;0;0;0;1.268232538077473e-223;2.759904841696879e-75
7AHGLZhr;0;1;0;1;0.0;0.0
7AHGLZitr;0;1;0;1;4.2273278459273596e-243;8.228673516702771e-97
7AHGLZtev;0;0;0;0;2.5620421854980792e-164;2.0437488498957898e-19
7BHGLZABCt;0;1;0;1;0.0;0.0
7BHGLZGLCABCt;0;0;0;0;7.2821276963782e-150;9.866635964529204e-119
7BHGLZGLChr;0;1;0;1;0.0;0.0
7BHGLZGLCitr;0;1;0;1;0.0;0.0
7BHGLZGLCtev;0;1;0;1;0.0;0.0
7BHGLZitr;0;1;0;1;0.0;6.992408347806646e-224
7BHGLZtev;1;0;1;0;0.0;5.283462965140507e-128
7DHCHSTEROLt;1;0;1;0;9.630445603297472e-238;1.5756053451620758e-66
7DHCHSTEROLtd;0;0;0;0;5.205744232165553e-107;3.1192887094822583e-09
7DHCHSTEROLtr;0;1;0;1;0.0;2.612672657037147e-190
7OHOCTAc;0;1;0;1;0.0;0.0
7OHOCTAte;0;1;0;1;0.0;0.0
ABTD1;1;0;1;0;8.328886901864545e-200;5.848738277917994e-32
ABT_Dt;1;0;1;0;0.0;0.0
ABT_Dt2;0;1;0;1;0.0;0.0
ACGALtr;0;1;0;1;2.652609981225778e-306;4.023900346292161e-117
ACHOMm;1;0;1;0;0.0;0.0
ACHOMte;0;0;0;0;1.1320439532834648e-111;2.2645996235326163e-43
ACHOMtm;0;1;0;1;0.0;0.0
ACILEm;0;1;0;1;0.0;4.0112011026282234e-143
ACILEte;0;1;0;1;0.0;9.705582318929204e-271
ACILEtm;0;0;0;0;2.6517100632905234e-149;1.3398211765245727e-84
ACLEUm;0;1;0;1;8.015252213685553e-192;6.364007733308765e-48
ACLEUte;1;0;1;0;0.0;0.0
ACLEUtm;0;0;0;0;0.0;0.0
ACLYSHYc;0;0;0;0;4.07558211109515e-283;3.7529574542946325e-98
ACLYSt;0;1;0;1;0.0;2.5585907463236185e-253
ACMPGLUTTRsc;0;1;0;1;0.0;0.0
ACMPGLUTdt;0;0;0;0;2.406022569727327e-138;6.395776605921811e-06
ACMPGLUTitr;0;0;0;0;0.0;0.0
ACNAMt2;0;1;0;1;2.3953733935795925e-121;0.00013877718104321566
ACNAMtr;0;1;0;1;7.297454378022038e-176;1.3130006532922629e-18
ACTHRtc;0;1;0;1;0.0;2.1424019657832133e-154
ACTHRte;1;0;1;0;7.727020970595743e-124;5.604214031567333e-107
ACTYRm;0;1;0;1;0.0;0.0
ACTYRtc;1;0;1;0;0.0;0.0
ACTYRte;1;0;1;0;0.0;0.0
ACt2m;0;1;0;1;0.0;0.0
ADNK3;0;0;0;0;1.7621606944849124e-200;5.72693134387547e-150
ADNK4;1;0;1;0;0.0;0.0
ADPOHc;0;1;0;1;0.0;0.0
ADPOHt;0;0;0;0;2.03475387534958e-139;8.921033745846772e-22
ADRNCOAtx;1;0;1;0;2.57624222107846e-296;1.3948280345658965e-114
AHANDROSTANtr;0;0;0;0;0.0;0.0
AHCYSte;1;0;1;0;0.0;0.0
AICARte;1;0;1;0;0.0;1.449153203812548e-248
ALAALACNc;0;1;0;1;0.0;0.0
ALLTNt;0;1;0;1;0.0;0.0
AM19CShr;0;0;0;0;7.543081657720071e-285;6.919790499779107e-191
AM19CSitr;0;0;0;0;6.72907888656294e-06;0.051357681829336685
AM19CSteb;0;0;0;0;9.878710573572884e-178;1.1337966077675495e-161
AM1A4NCShc;1;0;1;0;0.0;0.0
AM1A4NCSteb;1;0;1;0;0.0;0.0
AM1ACCShr;1;0;1;0;0.0;0.0
AM1ACCSitr;0;0;0;0;0.0;3.196370483857937e-307
AM1ACCStev;1;0;1;0;0.0;0.0
AM1ACShr;1;0;1;0;0.0;0.0
AM1ACSitr;1;0;1;0;0.0;0.0
AM1ACSteb;1;0;1;0;0.0;0.0
AM1ACStep;0;1;0;1;0.0;0.0
AM1ALCShr;0;0;0;0;1.718558695146014e-131;7.499638468705021e-112
AM1ALCSitr;0;0;0;0;0.0;0.0
AM1ALCSteb;1;0;1;0;0.0;0.0
AM1ALCStep;1;0;1;0;0.0;0.0
AM1C4N9CShc;1;0;1;0;0.0;0.0
AM1C4N9CSteb;0;0;0;0;0.0;0.0
AM1C9CShr;0;1;0;1;0.0;0.0
AM1C9CSitr;1;0;1;0;0.0;0.0
AM1C9CSteb;0;0;0;0;2.03475387534958e-139;3.379218980436779e-12
AM1C9CStev;1;0;1;0;3.7887776082619303e-308;3.8324188301514704e-255
AM1CCShr;1;0;1;0;1.557734068059624e-280;1.509511760328699e-282
AM1CCSitr;0;1;0;1;0.0;0.0
AM1CCSteb;0;0;0;0;7.587716468928951e-96;1.1189176214365091e-35
AM1CCStev;1;0;1;0;0.0;0.0
AM1CGLChr;1;0;1;0;0.0;0.0
AM1CGLCitr;1;0;1;0;0.0;0.0
AM1CGLCteb;0;1;0;1;0.0;0.0
AM1CSAtep;0;1;0;1;0.0;0.0
AM4N9CShc;0;0;0;0;1.0879733920748377e-184;1.2811711623253215e-224
AM4N9CShr;1;0;1;0;0.0;0.0
AM4N9CSitr;1;0;1;0;0.0;1.6698625611783203e-246
AM4N9CStev;1;0;1;0;0.0;0.0
AM4NC9CSteb;1;0;1;0;0.0;0.0
AM4NCShr;0;0;0;0;1.460217160514429e-204;7.591526270673183e-211
AM4NCSitr;1;0;1;0;0.0;0.0
AM4NCSteb;0;0;0;0;5.527482516256623e-179;1.5943574746882984e-206
AM4NCStep;0;0;0;0;2.4501749079313704e-41;2.9176033301937855e-20
AM9CSAitr;0;0;0;0;3.2445275327580307e-60;6.385581415970882e-58
AM9CSAteb;0;0;0;0;1.8756758404592707e-20;1.6351050907554611e-19
AM9CSAtep;1;0;1;0;0.0;0.0
AMETt;1;0;1;0;0.0;0.0
AMY2e;0;1;0;1;0.0;0.0
APRGSTRNABCt;0;0;0;0;3.483852972607535e-148;9.619131793686836e-101
ARACHDCOAtx;0;0;0;0;0.0;0.0
ARACHDtr;0;1;0;1;0.0;0.0
ARACHFATPc;0;1;0;1;0.0;0.0
ATPtg;0;0;0;0;2.0225696334919916e-295;9.972712006212087e-195
ATVACIDtdu;0;1;0;1;0.0;0.0
ATVLAChc;0;1;0;1;0.0;0.0
ATVLACtdhc;1;0;1;0;0.0;0.0
Am19CStev;0;0;0;0;0.0;5.542633522907161e-270
Am1CSAteb;0;0;0;0;0.0;0.0
BALABETAtc2;1;0;1;0;0.0;5.3974444854946535e-275
BALAPAT1tc2;1;0;1;0;0.0;0.0
BCRNe;0;1;0;1;0.0;0.0
BGLUGCHe;0;0;0;0;6.896409695427658e-259;3.039115061759235e-199
BGLUTCHLe;0;0;0;0;4.020801181355428e-152;3.1520765224352406e-119
BGLUTDECHOe;0;1;0;1;0.0;0.0
BGLYte;0;1;0;1;0.0;0.0
BILDGLCURtr;0;1;0;1;0.0;0.0
BILGLCURtr;0;1;0;1;0.0;0.0
BILIVERDt;0;1;0;1;0.0;0.0
