reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;1;0;1;0;0.0;0.0
12HPETATP;0;1;0;1;1.2344084517497268e-223;8.245104066729005e-72
12HPETUPKt;0;0;0;0;1.234621839262073e-174;5.30305931348646e-188
12HTACRhr;1;0;1;0;0.0;0.0
12HTACRitr;0;1;0;1;0.0;0.0
12HTACRtep;0;0;0;0;5.903401331614323e-30;1.2116140922612452e-17
12HTACRtu;0;0;0;0;6.862480010139335e-204;1.8814237785524717e-169
12PPDRte;0;0;0;0;7.330326937563509e-126;1.3216345395347335e-165
1331TAALThr;1;0;1;0;0.0;0.0
1331TACRhr;1;0;1;0;0.0;0.0
1331TACRteb;1;0;1;0;0.0;0.0
1331TACRtev;0;1;0;1;0.0;0.0
13DMThr;1;0;1;0;0.0;0.0
13DMTitr;1;0;1;0;0.0;0.0
13DMTtep;1;0;1;0;0.0;0.0
13DMTtu;0;1;0;1;0.0;0.0
13HTACRitr;0;0;0;0;0.0;0.0
13_CIS_RETNte;1;0;1;0;0.0;0.0
14HMDZALThr;0;1;0;1;0.0;0.0
14HMDZhr;0;1;0;1;7.277276287721236e-285;3.443432235636427e-104
14HMDZitr;0;1;0;1;2.284739524068696e-126;0.037840907002767155
14MDZtev;1;0;1;0;2.284739524068696e-126;0.037840907002767155
1513DTACRhr;1;0;1;0;0.0;0.0
1513DTALThr;1;0;1;0;0.0;0.0
1513TACRitr;0;0;0;0;1.848625504765781e-221;1.3759838419692585e-135
1513TACRtep;0;1;0;1;4.3221374803904146e-254;3.3348004440677035e-70
1513TACRtu;0;0;0;0;9.107381611943145e-229;1.2186850611739935e-52
1531TACRhr;0;0;0;0;0.0;0.0
1531TACRitr;0;0;0;0;2.3469259310563177e-125;9.71932459689909e-68
1531TACRteb;0;0;0;0;1.4334513989915693e-188;4.7809651543479467e-94
1531TACRtev;0;0;0;0;2.2405562717580598e-85;5.065935625711111e-11
1531TALThr;1;0;1;0;0.0;0.0
15DMThr;1;0;1;0;0.0;0.0
15DMTitr;1;0;1;0;0.0;0.0
15DMTtep;1;0;1;0;0.0;0.0
15DMTtu;0;1;0;1;0.0;0.0
15HPETATP;0;0;0;0;2.3540146841879642e-12;1.1321763119460837e-10
15HPETUPKt;1;0;1;0;0.0;3.632888397138281e-305
15KPROSTGF2t;0;1;0;1;3.2727884661057477e-23;4.344965241446169e-15
1OHMDZhr;0;1;0;1;0.0;0.0
1OHMDZitr;0;1;0;1;0.0;0.0
1OHMDZtep;0;1;0;1;0.0;0.0
21HPRGNLONEt1;1;0;1;0;0.0;0.0
21HPRGNLONEt2;0;1;0;1;0.0;0.0
2H3MVc;0;0;0;0;1.2855406290176847e-41;1.6756129865099974e-45
2H3MVte;1;0;1;0;0.0;0.0
2HATVACIDOXDhc;0;1;0;1;0.0;0.0
2HATVACIDitr;1;0;1;0;0.0;0.0
2HATVACIDtep;0;0;0;0;0.0;0.0
2HATVLAChc;0;0;0;0;1.8459308393699676e-116;2.6744567653086858e-126
2HATVLACtep;0;0;0;0;0.0;0.0
2HIVc;0;0;0;0;0.0;5.184204909613928e-305
2HIVte;0;0;0;0;8.93126749100475e-248;3.368370916887248e-234
2HXIC_Lt1e;0;1;0;1;0.0;0.0
2HXIC_Lt2e;0;1;0;1;0.0;0.0
2M3HVACc;0;1;0;1;0.0;0.0
2M3HVACte;1;0;1;0;0.0;0.0
2M3OVACm;0;0;0;0;3.362609754687952e-72;3.279623412992614e-13
2M3OVACtm;1;0;1;0;0.0;0.0
2M3OVCOAm;0;1;0;1;0.0;0.0
2OXOADPt;1;0;1;0;0.0;0.0
2PGtr;0;0;0;0;0.0;1.0905822726447014e-236
31DMThr;0;1;0;1;0.0;0.0
31DMTitr;1;0;1;0;0.0;0.0
31DMTtep;0;0;0;0;0.0;0.0
31DMTtu;1;0;1;0;0.0;0.0
34DHPEAR;0;1;0;1;0.0;0.0
34DHPEt;0;1;0;1;0.0;0.0
34HPLFM;0;0;0;0;6.713121277714245e-58;7.72408446706155e-35
34HPLte;0;0;0;0;0.0;0.0
34HPLtm;1;0;1;0;0.0;0.0
34HPPte;0;1;0;1;0.0;0.0
35DSMVhep;0;1;0;1;0.0;0.0
35DSMVitr;0;1;0;1;0.0;0.0
35DSMVteb;1;0;1;0;0.0;0.0
3AIBSYMPt;0;0;0;0;5.528887676739827e-155;2.811931018042421e-135
3AIBt1;0;1;0;1;0.0;0.0
3BCRNtr;1;0;1;0;0.0;0.0
3DDCRNtr;0;1;0;1;0.0;0.0
3DECCRNtr;0;0;0;0;7.723489956633011e-21;3.0055076258492855e-06
3HCINNMsec;0;0;0;0;0.0;1.0009629473941559e-245
3HCINNMup;0;1;0;1;0.0;0.0
3HDECECRNtr;1;0;1;0;0.0;0.0
3HEXDCRNtr;0;0;0;0;0.0;0.0
3HPPAsec;1;0;1;0;0.0;0.0
3HPPAup;0;1;0;1;0.0;3.678701266813354e-256
3HPPNOHGLUCte;0;0;0;0;0.0;0.0
3HPPPNOHGLUCc;0;0;0;0;8.796663789219539e-86;3.3826454642962364e-25
3HPPPNOHc;1;0;1;0;4.0861184692992254e-243;1.6907913117819657e-199
3HPVSCOAhc;0;0;0;0;0.0;2.935410721761395e-287
3HPVSCOAitm;0;0;0;0;0.0;0.0
3HPVSCOAitx;0;0;0;0;1.4026660482756583e-113;1.2563549426592583e-29
3HPVSTETCOAhcm;0;0;0;0;1.766170490702957e-287;7.372145971290849e-237
3HPVSTETCOAhcx;0;1;0;1;0.0;0.0
3HPVSTETCOAitm;0;1;0;1;0.0;0.0
3HPVSTETCOAitx;1;0;1;0;0.0;0.0
3HPVSTEThc;0;0;0;0;6.421989443187835e-103;3.670616859984219e-142
3HPVSTETtev;0;0;0;0;0.0;0.0
3HPVStep;0;1;0;1;1.569797e-317;7.924522340164179e-139
3ISPVShc;0;1;0;1;0.0;6.457178226396004e-292
3ISPVStep;0;0;0;0;6.024647530690334e-206;6.644759216164437e-191
3IVCRNtr;0;1;0;1;0.0;0.0
3MHISc;0;0;0;0;1.0056581104253015e-29;1.6552500901959145e-06
3MHISt1;0;0;0;0;2.5803364764854878e-64;0.3213562960666445
3MHISt2;1;0;1;0;0.0;0.0
3MHISt3;0;0;0;0;0.0;0.0
3MOBt2im;0;0;0;0;1.986393448803719e-139;9.440966331737062e-88
3MOBte;0;0;0;0;4.7717089916075866e-141;8.164463265783032e-63
3MOPte;0;0;0;0;6.424411744065799e-251;1.7469633073769264e-152
3MOXTYRESSte;1;0;1;0;0.0;0.0
3MOXTYRt;1;0;1;0;0.0;0.0
3MTPte;0;1;0;1;0.0;0.0
3OCTDEC2CRNtr;0;0;0;0;0.0;7.464040899198476e-294
3OCTDECCRNtr;0;0;0;0;2.774477651018895e-276;2.0156157534823017e-117
3OCTDECE1CRNtr;0;0;0;0;2.085001336734087e-281;1.3774355885829018e-117
3PGtr;1;0;1;0;0.0;0.0
3TDCRNtr;0;1;0;1;0.0;0.0
3TETD7ECOACRNtr;1;0;1;0;0.0;0.0
3THEXDDCOACRNtr;0;1;0;1;0.0;0.0
3TTETDDCOACRNtr;1;0;1;0;0.0;0.0
4AABUTNt;0;1;0;1;0.0;6.762891509389725e-237
4BHGLZABCt;1;0;1;0;0.0;5.500968626169436e-193
4BHGLZhr;0;1;0;1;0.0;0.0
4BHGLZitr;0;1;0;1;0.0;0.0
4BHGLZtev;1;0;1;0;0.0;0.0
4GLU56DIHDINDt;1;0;1;0;0.0;0.0
4HATVACIDOXDhc;1;0;1;0;0.0;3.628637870336561e-165
4HATVACIDitr;0;1;0;1;0.0;0.0
4HATVACIDtep;1;0;1;0;2.545924124263791e-306;2.4708720331179924e-280
4HATVLACOXDhc;0;1;0;1;0.0;0.0
4HATVLAChc;1;0;1;0;0.0;0.0
4HATVLACitr;0;1;0;1;0.0;0.0
4HATVLACtep;1;0;1;0;0.0;0.0
4HBZCOAFm;0;0;0;0;0.0;2.412625062240614e-299
4HBZFm;0;1;0;1;0.0;0.0
4HBZte;0;0;0;0;0.0;0.0
4HPRO_LTte;1;0;1;0;0.0;0.0
4OHBUTm;0;1;0;1;0.0;0.0
4OHBUTtce;1;0;1;0;0.0;0.0
4OHBUTtmc;0;1;0;1;0.0;8.599733055591973e-263
4OHMDZhr;1;0;1;0;0.0;0.0
4OHMDZitr;1;0;1;0;0.0;0.0
4OHMDZtev;1;0;1;0;0.0;0.0
4TMEABUTNt1;1;0;1;0;0.0;0.0
4TMEABUTNt2;1;0;1;0;1.2258469508577022e-134;2.406188717902062e-84
56DTHMt;0;1;0;1;0.0;0.0
56DTHMtd;1;0;1;0;0.0;0.0
56DURAt;0;1;0;1;0.0;9.126480663669704e-276
56DURAtd;1;0;1;0;0.0;0.0
5AOPt;1;0;1;0;0.0;0.0
5AOPt2;0;0;0;0;0.0;7.692781458098994e-292
5CYSDOPAt;0;1;0;1;0.0;0.0
5HPETATP;0;0;0;0;0.0;1.0685906263430161e-297
5HPETtd;0;1;0;1;0.0;1.970533918604324e-239
5MTAte;0;0;0;0;4.106258538800734e-290;5.619435740420492e-225
5OHHEXAc;0;1;0;1;0.0;0.0
5OHHEXAte;0;0;0;0;1.0554517175164848e-93;1.1653038814528192e-112
6AHGLZABCt;0;1;0;1;0.0;3.987585801049639e-291
6AHGLZhr;0;0;0;0;5.555086720529909e-234;3.473598303254814e-214
6AHGLZitr;0;0;0;0;3.6479113384101337e-84;2.27230236536565e-76
6AHGLZtev;0;1;0;1;0.0;0.0
6BHGLZABCt;1;0;1;0;1.585556934108982e-202;3.9265665551636277e-224
6BHGLZGLCABCt;0;1;0;1;0.0;0.0
6BHGLZGLChr;1;0;1;0;0.0;0.0
6BHGLZGLCitr;1;0;1;0;0.0;0.0
6BHGLZGLCtev;0;1;0;1;0.0;0.0
6BHGLZitr;0;1;0;1;0.0;0.0
6BHGLZtev;0;1;0;1;3.2121729984385985e-189;1.1047872335103165e-31
6EPVShc;0;1;0;1;0.0;3.792341030146473e-160
6EPVStep;1;0;1;0;0.0;0.0
6HLVSTitr;1;0;1;0;0.0;0.0
6HLVSTthep;0;1;0;1;0.0;0.0
6MELVSTitr;0;1;0;1;0.0;0.0
6MELVSTthep;0;1;0;1;0.0;0.0
7AHGLZABCt;0;1;0;1;0.0;0.0
7AHGLZhr;0;0;0;0;0.0;0.0
