reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
12HPETATP;0;0;0;0;7.084859007946627e-59;2.6506617555569205e-53
12HPETUPKt;1;0;1;0;0.0;0.0
12HTACRtep;0;0;0;0;3.105190677507495e-78;3.934274279990018e-05
12HTACRtu;1;0;1;0;0.0;0.0
12PPDRte;0;0;0;0;0.0;0.0
1331TAALThr;0;0;0;0;0.0;0.0
1331TACRhr;0;0;0;0;0.0;1.027742683470143e-308
1331TACRteb;0;0;0;0;0.0;0.0
1331TACRtev;0;0;0;0;0.0;0.0
13DMThr;0;0;0;0;6.666658682792496e-129;6.69934363743746e-162
13DMTitr;0;0;0;0;6.387116748584667e-63;1.1851753076500947e-56
13DMTtep;0;0;0;0;1.4056968074440136e-62;7.075820733956936e-94
13DMTtu;0;1;0;1;0.0;0.0
13HTACRitr;0;0;0;0;0.0;0.0
13_CIS_RETNte;0;0;0;0;9.125921163319265e-53;5.804537603376108e-58
1513DTACRhr;0;0;0;0;5.3019192787708325e-220;1.3001228186183127e-61
1513DTALThr;1;0;1;0;0.0;0.0
1513TACRitr;0;1;0;1;0.0;0.0
1513TACRtep;0;0;0;0;0.0;0.0
1513TACRtu;0;0;0;0;1.4521064662067932e-91;2.143487159412788e-67
1531TACRhr;0;1;0;1;0.0;3.1806311882272736e-161
1531TACRitr;0;0;0;0;0.0;1.156943335236614e-309
1531TACRteb;0;0;0;0;0.0;4.382080504965299e-258
1531TACRtev;0;1;0;1;0.0;0.0
1531TALThr;0;1;0;1;0.0;0.0
15DMThr;0;1;0;1;1.5124983575046916e-269;6.271002319651118e-112
15DMTitr;0;0;0;0;1.3934002754909806e-86;5.82912740554269e-10
15DMTtep;0;1;0;1;0.0;0.0
15DMTtu;0;1;0;1;0.0;0.0
15HPETATP;0;0;0;0;2.6039941072100165e-207;1.467112891932554e-146
15HPETUPKt;0;0;0;0;3.5168985434099274e-30;2.490235040983661e-08
15KPROSTGF2t;0;0;0;0;0.0;0.0
21HPRGNLONEt1;1;0;1;0;0.0;0.0
21HPRGNLONEt2;1;0;1;0;0.0;0.0
2H3MVc;0;0;0;0;1.2194048857034419e-293;1.4252213449432926e-215
2H3MVte;0;0;0;0;1.8318891613365353e-77;2.8463835106928234e-84
2HATVACIDtep;1;0;1;0;0.0;3.4695832972419215e-243
2HATVLAChc;0;1;0;1;0.0;0.0
2HATVLACtep;0;0;0;0;0.0;0.0
2HIVc;0;1;0;1;0.0;0.0
2HIVte;0;0;0;0;0.0;0.0
2HXIC_Lt1e;0;0;0;0;0.0;1.6326079550597633e-297
2HXIC_Lt2e;0;0;0;0;0.0;0.0
2OXOADPt;0;0;0;0;5.4983698531449476e-70;6.953229664792655e-34
2PGtr;0;0;0;0;0.0;0.0
31DMThr;0;0;0;0;2.3642661596847228e-178;6.183935609005983e-178
31DMTitr;0;0;0;0;0.0;0.0
31DMTtep;0;1;0;1;0.0;0.0
31DMTtu;0;0;0;0;0.0;0.0
34HPLFM;0;0;0;0;6.191282136100689e-76;1.629528526858842e-19
34HPLte;1;0;1;0;0.0;0.0
34HPLtm;0;1;0;1;0.0;0.0
34HPPte;1;0;1;0;0.0;0.0
3AIBSYMPt;0;1;0;1;0.0;0.0
3AIBt1;0;0;0;0;0.0;0.0
3BCRNtr;0;0;0;0;0.0;0.0
3DDCRNtr;0;1;0;1;0.0;0.0
3DECCRNtr;0;1;0;1;0.0;0.0
3H3MGLTc;0;1;0;1;0.0;0.0
3H3MGLTte;0;0;0;0;0.0;0.0
3HCINNMsec;0;0;0;0;0.0;0.0
3HCINNMup;0;0;0;0;0.0;0.0
3HDECECRNtr;0;1;0;1;0.0;0.0
3HEXDCRNtr;1;0;1;0;0.0;0.0
3HPPAsec;1;0;1;0;0.0;0.0
3HPPAup;0;1;0;1;0.0;0.0
3HPPNOHGLUCte;1;0;1;0;0.0;0.0
3HPPPNOHGLUCc;0;1;0;1;0.0;0.0
3HPPPNOHc;0;0;1;0;8.39036634222652e-104;0.37595995845892993
3HPVSCOAhc;0;1;0;1;5.522755973121565e-237;2.1717076712652215e-94
3HPVSCOAitm;1;0;1;0;0.0;0.0
3HPVSCOAitx;0;0;0;0;1.5179695493799091e-248;1.92263081122697e-260
3HPVSTETCOAhcm;0;0;0;0;3.8753228459451824e-217;3.787665202483574e-113
3HPVSTETCOAhcx;0;0;0;0;1.7604604627368497e-16;3.764076624674254e-08
3HPVSTETCOAitm;0;0;0;0;7.500928536218994e-158;1.1853153726987589e-126
3HPVSTETCOAitx;0;0;0;0;1.7158055862862168e-48;2.762904697961499e-66
