reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;2.6146343167552543e-44;1.8797800476622508e-42
34HPLFM;0;1;0;1;0.0;0.0
3DPHBH1;1;0;1;0;0.0;0.0
4HBZCOAFm;0;1;0;1;0.0;0.0
4HBZFm;0;1;0;1;0.0;0.0
5FTHFt2;0;1;0;1;0.0;0.0
ALAyLATthc;0;0;0;0;2.3101094102342365e-72;2.0364674682893053e-44
AMY2e;0;1;0;1;0.0;0.0
ARACHCOAtx;1;0;1;0;0.0;0.0
BGAL1e;0;1;0;1;0.0;0.0
BTNt3i;0;1;0;1;0.0;0.0
BUTt2r;1;0;1;0;0.0;0.0
C161CPT22;1;0;1;0;0.0;0.0
C161CRN2t;1;0;1;0;0.0;0.0
C181CPT2;0;1;0;1;0.0;0.0
C181CPT2rbc;0;1;0;1;0.0;0.0
C226CRNt;0;0;0;0;1.7026305353769677e-123;4.339897629411587e-49
CA2t;0;0;0;0;0.0;0.0
CAATPS;0;1;0;1;0.0;0.0
CITtam;1;0;1;0;0.0;0.0
CLS_hs;1;0;1;0;0.0;0.0
COQ3m;0;1;0;1;0.0;0.0
COQ5m;0;1;0;1;0.0;0.0
COQ6m;0;1;0;1;0.0;0.0
COQ7m;0;1;0;1;0.0;0.0
COUCOAFm;0;1;0;1;0.0;0.0
CYOOm3i;1;0;1;0;0.0;0.0
Coqe;0;1;0;1;0.0;0.0
DCSPTN1CRNt;0;1;0;1;0.0;0.0
DESAT16_2;1;0;1;0;0.0;0.0
DESAT18_10;0;0;0;0;0.0;0.0
DESAT18_3;1;0;1;0;0.0;0.0
DESAT18_4;1;0;1;0;0.0;0.0
DESAT18_5;1;0;1;0;0.0;0.0
DESAT18_6;0;1;0;1;0.0;1.0815040575472624e-300
DESAT18_7;0;1;0;1;0.0;0.0
DESAT18_8;1;0;1;0;0.0;0.0
DESAT18_9;0;1;0;1;0.0;0.0
DESAT20_1;1;0;1;0;0.0;0.0
DESAT20_2;0;1;0;1;0.0;0.0
DLNLCGCRNt;0;1;0;1;0.0;0.0
DTMPKm;0;1;0;1;0.0;0.0
EBP1r;1;0;1;0;0.0;0.0
EBP2r;1;0;1;0;0.0;0.0
EICOSTETCRNt;0;0;0;0;0.0;3.54978720469447e-310
ELAIDCPT2;0;1;0;1;0.0;0.0
ETF;0;1;0;1;0.0;0.0
ETFQO;0;1;0;1;0.0;0.0
EX_12HPET[e];0;0;0;0;1.6008957884787104e-19;4.059566780331489e-21
EX_C04849[e];0;0;0;0;9.856308783679113e-73;4.377481897946433e-87
EX_CE0074[e];0;0;0;0;2.7801022178222288e-199;1.6029334699251917e-235
EX_CE2510[e];0;0;0;0;0.0;5.845757092781401e-274
EX_CE2915[e];0;1;0;1;0.0;0.0
EX_CE2916[e];1;0;1;0;0.0;0.0
EX_CE2917[e];0;0;0;0;6.250045660315429e-82;1.3088998319092298e-10
EX_CE4722[e];0;0;0;0;4.0942168234364285e-278;2.6376331427118844e-248
EX_CE4723[e];1;0;1;0;0.0;0.0
EX_CE4724[e];1;0;1;0;2.844103791657902e-195;8.349445448212915e-231
EX_CE5867[e];0;0;0;0;0.0;0.0
EX_CE5868[e];0;0;0;0;8.74943832284552e-135;4.744339332791485e-103
EX_CE5869[e];1;0;1;0;0.0;0.0
EX_HC01609[e];0;0;0;0;0.0;3.575243367801845e-294
EX_HC01610[e];0;0;0;0;0.0;0.0
EX_HC01944[e];0;1;0;1;4.180503981065742e-162;3.932827517373415e-14
EX_M00003[e];0;1;0;1;5.194595606223121e-190;2.2521057555124504e-28
EX_M00008[e];0;0;0;0;2.51045424598906e-82;6.800204310062775e-67
EX_M00010[e];1;0;1;0;0.0;0.0
EX_M00017[e];1;0;1;0;5.837891056720619e-226;4.885938811754221e-64
EX_M00019[e];0;0;0;0;7.766373182371069e-55;7.921334196349103e-38
EX_M00021[e];1;0;1;0;0.0;0.0
EX_M00115[e];0;1;0;1;0.0;2.6993823350002276e-147
EX_M00117[e];1;0;1;0;0.0;0.0
