reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;1;0;1;0.0;0.0
1A25DHVITD3te;0;1;0;1;0.0;0.0
34HPLFM;0;1;0;1;0.0;0.0
3DPHBH1;0;1;0;1;0.0;0.0
4HBZCOAFm;0;1;0;1;0.0;0.0
4HBZFm;0;1;0;1;0.0;0.0
ACCOAL;0;1;0;1;0.0;0.0
AMY2e;0;0;0;0;3.716365111154592e-79;1.474187925242175e-100
ANDRSTANDRtr;0;1;0;1;0.0;0.0
ARACHCOAtx;0;0;0;0;0.0;0.0
BGAL1e;0;0;0;0;0.0;0.0
BTNt4i;0;1;0;1;0.0;0.0
C14STRr;0;1;0;1;0.0;0.0
C161CPT22;1;0;1;0;0.0;0.0
C181CPT2rbc;0;1;0;1;0.0;0.0
C226CRNt;0;1;0;1;0.0;0.0
CDS;1;0;1;0;0.0;0.0
CE2705t;1;0;1;0;0.0;0.0
CE5025t;1;0;1;0;0.0;0.0
CITtam;0;0;0;0;0.0;0.0
CLS_hs;0;1;0;1;0.0;0.0
COUCOAFm;0;1;0;1;0.0;4.93049025270067e-309
CYOOm3i;1;0;1;0;0.0;0.0
DACT;0;1;0;1;0.0;0.0
DCMPtr;1;0;1;0;0.0;0.0
DESAT16_2;0;1;0;1;0.0;0.0
DESAT18_3;1;0;1;0;0.0;0.0
DESAT18_5;1;0;1;0;0.0;5.743069289897576e-243
DESAT20_1;0;1;0;1;0.0;0.0
DESAT20_2;0;1;0;1;0.0;0.0
DOPAc;0;1;0;1;0.0;0.0
DTMPKm;0;1;0;1;0.0;0.0
EBP1r;1;0;1;0;0.0;0.0
EBP2r;0;0;0;0;9.379471086853708e-148;1.6281024442182174e-153
ELAIDCPT2;0;1;0;1;0.0;0.0
ETF;0;0;0;0;0.0;1.1258411269973921e-257
ETFQO;0;0;0;0;4.071203342073788e-95;9.085840112745342e-110
EX_12HPET[e];1;0;1;0;0.0;0.0
EX_1a25dhvitd3[e];0;1;0;1;0.0;0.0
EX_23cump[e];0;1;0;1;0.0;0.0
EX_3ump[e];1;0;1;0;0.0;0.0
EX_C04849[e];0;1;0;1;0.0;3.3033065476717815e-300
EX_CE0074[e];1;0;1;0;0.0;0.0
EX_CE2510[e];0;1;0;1;0.0;0.0
EX_CE2705[e];0;1;0;1;0.0;0.0
EX_CE5025[e];0;1;0;1;0.0;0.0
EX_HC00955[e];0;0;0;0;4.142616259120932e-179;5.483951415505929e-47
EX_HC01577[e];1;0;1;0;0.0;0.0
EX_HC01609[e];0;1;0;1;0.0;0.0
EX_HC01610[e];0;1;0;1;0.0;0.0
EX_HC01700[e];1;0;1;0;2.2619118826536518e-205;1.916561397996693e-39
EX_HC01939[e];0;1;0;1;0.0;0.0
EX_HC01943[e];0;1;0;1;0.0;0.0
EX_HC02160[e];0;0;0;0;1.2244305236371787e-202;1.0072334719937761e-35
EX_HC02161[e];0;1;0;1;0.0;0.0
EX_M00003[e];1;0;1;0;0.0;0.0
EX_M00008[e];0;1;0;1;0.0;0.0
EX_M00010[e];0;0;0;0;5.238387808171982e-259;7.31324345707539e-233
EX_M00017[e];0;0;0;0;8.288524711184608e-55;4.485360955743614e-19
EX_M00019[e];1;0;1;0;0.0;0.0
EX_M00021[e];0;0;0;0;6.181784988815672e-80;6.080125042192178e-63
EX_M00115[e];0;1;0;1;0.0;0.0
EX_M00117[e];0;1;0;1;0.0;0.0
EX_M00234[e];0;0;0;0;2.184617187740196e-187;4.1821133725078404e-206
EX_M00260[e];1;0;1;0;0.0;0.0
EX_M00265[e];0;0;0;0;3.497673486881254e-29;5.821390525943222e-21
EX_M00315[e];0;0;0;0;2.1008097934882313e-93;7.841342474465641e-84
EX_M00341[e];1;0;1;0;0.0;0.0
EX_M00503[e];1;0;1;0;0.0;0.0
EX_M01197[e];0;0;0;0;4.4026660708630114e-11;6.413864631105649e-10
EX_M01207[e];1;0;1;0;0.0;0.0
EX_M01235[e];0;0;0;0;2.08e-322;3.280898132441054e-287
EX_M01238[e];0;0;0;0;3.936825088097416e-92;5.7736825218129285e-115
EX_M01582[e];0;0;0;0;1.6472530605986161e-12;1.707936421131482e-13
EX_M01807[e];1;0;1;0;0.0;0.0
EX_M02053[e];1;0;1;0;0.0;0.0
EX_M02457[e];1;0;1;0;0.0;0.0
EX_M02613[e];0;0;0;0;4.371378529871275e-140;3.2763705082491705e-185
EX_M02745[e];0;1;0;1;0.0;1.5082910134854427e-274
