reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;7.616429987278744e-10;4.3279197596788204e-10
34HPLFM;0;1;0;1;0.0;0.0
3DPHBH1;0;1;0;1;0.0;0.0
4HBZCOAFm;0;1;0;1;0.0;0.0
4HBZFm;0;1;0;1;0.0;0.0
7DHCHSTEROLtd;0;1;0;1;0.0;0.0
AACTte;0;1;0;1;0.0;0.0
ACt2m;0;1;0;1;0.0;0.0
ALAyLATthc;0;1;0;1;0.0;0.0
AMY2e;0;1;0;1;0.0;0.0
ANDRSTANDRtr;1;0;1;0;0.0;0.0
ARACHCOAtx;0;1;0;1;0.0;0.0
ASNATB0tc;0;1;0;1;0.0;2.427402738970671e-273
BTNt3i;0;1;0;1;0.0;0.0
C161CPT22;1;0;1;0;0.0;0.0
C181CPT2rbc;1;0;1;0;0.0;0.0
C226CRNt;0;0;0;0;0.0;0.0
C3STDH1Pr;0;1;0;1;0.0;0.0
C3STKR2r;0;1;0;1;0.0;0.0
C4STMO1r;0;1;0;1;0.0;0.0
C4STMO2r;1;0;1;0;0.0;0.0
CDS;1;0;1;0;0.0;0.0
CE2705t;0;1;0;1;0.0;0.0
CLS_hs;0;1;0;1;0.0;0.0
COQ3m;1;0;1;0;0.0;0.0
COQ5m;0;1;0;1;0.0;0.0
COQ6m;0;1;0;1;0.0;0.0
COQ7m;0;1;0;1;0.0;0.0
COUCOAFm;0;1;0;1;0.0;0.0
CRNATBtc;0;1;0;1;0.0;0.0
CYOOm3i;1;0;1;0;0.0;0.0
CYSSNAT5tc;0;1;0;1;0.0;0.0
DCMPtr;0;0;1;0;1.8343965616230398e-122;0.12243189640588782
DESAT16_2;0;0;1;0;1.1241719744874446e-106;0.3287369836652788
DESAT18_7;1;0;1;0;0.0;0.0
EBP1r;0;1;0;1;6.2299627050255184e-226;1.2792835198313486e-54
ELAIDCRNtr;0;1;0;1;0.0;0.0
ETF;0;0;0;0;1.6022130635918823e-128;5.065004675139788e-110
ETFQO;0;1;0;1;0.0;0.0
EX_12HPET[e];0;1;0;1;0.0;0.0
EX_4abutn[e];0;1;0;1;0.0;0.0
EX_7dhchsterol[e];0;1;0;1;0.0;0.0
EX_C04849[e];0;1;0;1;0.0;0.0
EX_CE0074[e];0;1;0;1;0.0;5.482499789440014e-298
EX_CE1935[e];0;1;0;1;0.0;0.0
EX_CE1939[e];0;1;0;1;0.0;0.0
EX_CE1940[e];0;1;0;1;0.0;0.0
EX_CE1943[e];0;1;0;1;0.0;0.0
EX_CE2510[e];0;0;0;0;0.0;1.1327512304399739e-269
EX_CE2705[e];0;1;0;1;0.0;0.0
