reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;1;0;1;0.0;0.0
34HPLFM;0;1;0;1;0.0;0.0
3DPHBH1;0;1;0;1;0.0;0.0
3HPPt;0;1;0;1;0.0;0.0
3HPPtm;0;1;0;1;0.0;0.0
4HBZCOAFm;0;1;0;1;0.0;0.0
4HBZFm;1;0;1;0;0.0;0.0
ACCOAL;0;0;0;0;3.0079112025947736e-195;4.6199806749677743e-194
AMY2e;0;0;0;0;4.566350726422688e-263;3.113493751979562e-263
ANDRSTANDRtr;0;1;0;1;0.0;0.0
ARACHCOAtx;0;1;0;1;0.0;0.0
BGAL1e;0;1;0;1;0.0;0.0
BUTt2r;0;0;0;0;0.0;0.0
C161CPT22;1;0;1;0;0.0;0.0
C181CPT2;0;0;0;0;0.0;0.0
C181CPT2rbc;1;0;1;0;0.0;0.0
C226CRNt;0;0;0;0;2.4502931208825375e-07;2.9553115208025193e-10
CE5025t;1;0;1;0;0.0;0.0
CITtam;1;0;1;0;0.0;7.53162740481277e-201
CLS_hs;0;1;0;1;0.0;0.0
COUCOAFm;0;1;0;1;0.0;0.0
CYOOm3i;0;0;0;0;2.7186808619382464e-82;5.448643625902242e-26
CYSSNAT5tc;0;1;0;1;0.0;0.0
Coqe;0;1;0;1;0.0;0.0
DACT;0;1;0;1;0.0;0.0
DESAT16_2;0;0;0;0;0.0;1.5418138355677382e-241
DESAT18_10;1;0;1;0;0.0;0.0
DESAT18_3;0;0;0;0;2.7857390783362087e-201;1.7838627309336605e-116
DESAT18_4;0;1;0;1;0.0;2.692789354611284e-267
DESAT18_5;1;0;1;0;0.0;3.340840261779238e-235
DESAT18_6;0;0;0;0;8.449639760762778e-21;0.42854101625934576
DESAT18_7;0;1;0;1;0.0;0.0
DESAT18_8;1;0;1;0;0.0;2.129570345339083e-287
DESAT18_9;1;0;1;0;0.0;7.678406031992889e-291
DESAT20_1;1;0;1;0;0.0;0.0
