reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;0.0;0.0
12PPDRte;0;0;0;0;5.574993185845518e-207;7.081112902721731e-215
13_CIS_RETNte;0;0;0;0;3.293377657989629e-78;2.7778143297984385e-27
15KPROSTGF2c;0;1;0;1;0.0;0.0
15KPROSTGF2t;1;0;1;0;0.0;0.0
2H3MVc;0;1;0;1;0.0;0.0
2H3MVte;0;0;0;0;8.982365030994479e-31;0.15471983432834022
2HIVc;0;0;0;0;2.1794582318366274e-24;1.9116398077472522e-20
2HIVte;0;0;0;0;1.5e-323;3.799514201480116e-218
2HYOXPLCte;0;0;0;0;0.0;6.334367108106614e-219
2M3HVACc;0;0;0;0;1.537641376485351e-80;4.536341388251179e-86
2M3HVACte;1;0;1;0;0.0;0.0
2M3OVACm;0;1;0;1;0.0;0.0
2M3OVACtm;1;0;1;0;0.0;0.0
2M3OVCOAm;0;0;0;0;1.1043779266989368e-37;8.839353743367863e-52
2OXOADPt;0;0;0;0;4.097223129825403e-82;1.882411967491406e-85
34HPPte;1;0;1;0;0.0;0.0
3AIBSYMPt;0;1;0;1;0.0;0.0
3AIB_Dtm;0;1;0;1;0.0;0.0
3AIBt1;0;0;0;0;4.6987664190877555e-157;2.939202735752603e-132
3DDCRNtr;0;1;0;1;0.0;0.0
3DECCRNtr;0;0;0;0;0.0;9.104356482795123e-293
3HDECECRNtr;1;0;1;0;0.0;0.0
3HEXDCRNtr;0;1;0;1;0.0;0.0
3HPPNOHGLUCte;1;0;1;0;0.0;0.0
3HPPPNOHGLUCc;0;1;0;1;0.0;0.0
3HPPPNOHc;1;0;1;0;0.0;6.425981683819442e-300
3HPVSCOAhc;1;0;1;0;0.0;0.0
3HPVSCOAitm;1;0;1;0;0.0;0.0
3HPVSCOAitx;0;1;0;1;1.52833822020918e-160;2.636252196621698e-70
3HPVSTETCOAhcm;0;1;0;1;0.0;0.0
3HPVSTETCOAhcx;0;0;0;0;0.0;0.0
3HPVSTETCOAitm;0;1;0;1;0.0;0.0
3HPVSTETCOAitx;1;0;1;0;0.0;0.0
3HPVSTEThc;1;0;1;0;0.0;0.0
3HPVSTETtev;0;0;0;0;1.999982263121513e-147;3.2757412173686103e-150
3HPVStep;1;0;1;0;0.0;6.287179595308315e-308
3MHISc;0;1;0;1;0.0;0.0
3MHISt1;1;0;1;0;0.0;0.0
3MHISt2;0;1;0;1;0.0;0.0
3MHISt3;0;0;0;0;9.206206039046966e-23;4.691415005371464e-18
3MOBte;0;0;0;0;1.080749002219278e-99;2.2576554577165876e-73
3MOPte;1;0;1;0;0.0;0.0
3MTPte;0;1;0;1;0.0;0.0
3OCTDEC2CRNtr;0;1;0;1;0.0;0.0
3OCTDECCRNtr;0;0;0;0;0.0;1.623351277443777e-271
3PGtr;0;0;0;0;0.0;0.0
3TDCRNtr;0;0;0;0;0.0;1.071165029863807e-279
3TETD7ECOACRNtr;1;0;1;0;0.0;0.0
3THEXDDCOACRNtr;0;1;0;1;0.0;0.0
3TTETDDCOACRNtr;0;0;0;0;0.0;0.0
3UIBtd;0;1;0;1;0.0;0.0
4AABUTNt;0;0;0;0;0.0;2.8774507608521193e-288
4HPRO_LTte;1;0;1;0;0.0;0.0
4TMEABUTNt1;0;0;0;0;4.370491449792118e-178;1.6943131217481447e-198
4TMEABUTNt2;0;0;0;0;1.7641302361696835e-277;2.0641206089180445e-261
56DTHMt;0;0;0;0;3.2637794960394573e-285;2.0638567013739392e-185
56DTHMtd;1;0;1;0;0.0;0.0
56DURAt;0;0;0;0;6.630088652536954e-227;3.3517837334406816e-152
56DURAtd;0;0;0;0;1.4453440374170857e-12;1.7798067489205015e-05
5CYSDOPAt;0;1;0;1;0.0;0.0
5HOXINDOAtr;0;1;0;1;0.0;0.0
5HPETtd;0;1;0;1;0.0;0.0
5MTAte;0;0;0;0;6.179674089826406e-98;2.7760596149792755e-120
5OHHEXAc;1;0;1;0;0.0;0.0
5OHHEXAte;0;1;0;1;0.0;0.0
5OXPROt;0;0;0;0;7.649882557275567e-17;1.486223420561237e-19
7DHCHSTEROLtd;0;0;0;0;2.131582760223022e-114;2.889678118052948e-140
7OHOCTAc;0;0;0;0;2.967334874646135e-48;1.5174707142978272e-32
7OHOCTAte;0;1;0;1;0.0;0.0
ABTD1;0;0;0;0;0.0;0.0
ABT_Dt2;0;0;0;0;6.087264653625067e-87;3.661159607388845e-71
ACGALtr;0;0;0;0;0.0;0.0
ACGLYtc;0;1;0;1;0.0;0.0
ACGLYte;1;0;1;0;0.0;0.0
ACLEUm;0;0;0;0;0.0;0.0
ACLEUte;0;1;0;1;0.0;0.0
ACLEUtm;0;0;0;0;6.833444301277693e-295;6.011066813825915e-241
ACLYSHYc;0;0;0;0;0.0;0.0
ACLYSt;1;0;1;0;0.0;0.0
ACLYStm;0;1;0;1;0.0;0.0
ACNAMtr;0;1;0;1;0.0;0.0
ACOX22x;1;0;1;0;0.0;0.0
ACt2m;0;0;0;0;6.493880881194955e-33;0.33222694259682717
ADPOHc;0;0;0;0;3.2195408639633967e-127;4.015297588191154e-115
ADPOHt;0;1;0;1;0.0;0.0
AHCYSte;0;1;0;1;0.0;0.0
AICARte;1;0;1;0;0.0;7.034249354477323e-269
ALDD21;0;1;0;1;0.0;0.0
AM1ALCShr;0;1;0;1;0.0;0.0
AM1ALCStep;1;0;1;0;0.0;0.0
AM1CSAtep;0;1;0;1;0.0;0.0
AMETAMte;0;0;0;0;0.0;0.0
AMETt;0;1;0;1;0.0;0.0
AMY2e;1;0;1;0;0.0;0.0
ARACHDCOAtx;0;0;0;0;8.740705700982955e-246;1.6405202482752401e-198
ARACHDtr;1;0;1;0;0.0;0.0
ATVACIDMCTtu;0;0;0;0;1.0710992330942518e-54;2.1474778978945442e-64
ATVACIDtdu;0;1;0;1;0.0;0.0
BALAPAT1tc2;0;0;0;0;1.777027769026232e-152;1.1780938603032242e-39
BETBGTtc;0;1;0;1;0.0;0.0
BGAL1l;0;0;0;0;0.0;0.0
BILGLCURtr;1;0;1;0;0.0;0.0
BTNTe;0;0;0;0;0.0;2.4542832160073854e-293
BUP2;0;1;0;1;0.0;0.0
BUTt2r;0;1;0;1;0.0;0.0
C04483t2;0;1;0;1;0.0;0.0
C05767te;0;1;0;1;0.0;0.0
C05953t;1;0;1;0;0.0;1.7821568562247633e-275
C05953tm;1;0;1;0;0.0;0.0
C05957td;0;0;0;0;1.0659344236439521e-08;3.2595602376641113e-10
C06439t;0;1;0;1;0.0;0.0
C06439tn;1;0;1;0;0.0;0.0
C08261te;0;0;0;0;7.83333562755953e-305;1.2313393879038421e-242
C10OHc;0;0;0;0;4.486350382912318e-71;0.502859358982789
C12OHc;0;1;0;1;0.0;0.0
C141ACBP;0;1;0;1;3.2637794960394573e-285;3.742627034037288e-125
C141OHc;0;0;0;0;0.0;0.0
C142ACBP;1;0;1;0;0.0;0.0
C142OHc;0;0;0;0;1.3548707521534526e-78;7.024159894655133e-12
C14OHc;1;0;1;0;0.0;0.0
C161OHc;0;0;0;0;0.0;0.0
C162ACBP;0;0;0;0;0.0;0.0
C162OHc;0;0;0;0;0.0;0.0
C16OHc;0;1;0;1;0.0;0.0
C181CPT2rbc;0;1;0;1;0.0;1.5281163383262415e-308
C182OHc;1;0;1;0;0.0;0.0
C18OHc;0;0;0;0;3.8222296471127483e-41;8.419346380481908e-06
C226CRNt;1;0;1;0;0.0;0.0
C3DCtr;0;1;0;1;1.4433257237454105e-136;1.1338296726270952e-06
C3STDH1Pr;1;0;1;0;0.0;0.0
C3STDH1r;0;0;0;0;6.692714271535618e-107;1.5893530226949186e-115
C3STKR2r;0;1;0;1;0.0;0.0
C4STMO1r;0;1;0;1;0.0;0.0
C4STMO2Pr;0;0;0;0;1.3548057874584925e-62;1.1801309826851217e-61
C4STMO2r;1;0;1;0;1.9349789466237218e-225;2.8304327224309216e-87
CA2t;0;0;0;0;8.982365030994479e-31;7.467959307034187e-05
CALAtr;0;1;0;1;0.0;0.0
CATr;0;0;0;0;0.0;0.0
CBASPte;0;0;0;0;0.0;1.1239423066917022e-301
CE0955te;1;0;1;0;0.0;0.0
CE0955tr;1;0;1;0;0.0;0.0
CE1401te;1;0;1;0;0.0;0.0
CE1617te;0;0;0;0;4.4379750559310906e-170;1.3363156585900314e-157
CE1918te;1;0;1;0;0.0;0.0
CE2172t;0;1;0;1;0.0;0.0
CE2445t;0;1;0;1;0.0;0.0
CE2705t;0;1;0;1;0.0;0.0
CE4843HYDc;0;1;0;1;0.0;0.0
CE4843td;1;0;1;0;0.0;0.0
CE5304t;1;0;1;0;0.0;0.0
CE5643te;0;1;0;1;5.2615866139995436e-303;2.019119559903899e-165
CHOLPtr;0;1;0;1;0.0;0.0
CHSTEROLt2;0;0;0;0;6.558805386460521e-270;7.552404109381906e-245
CLCFTRtm;1;0;1;0;0.0;0.0
CORE5t;1;0;1;0;0.0;0.0
CORE7t;0;1;0;1;0.0;0.0
CORE8t;0;0;0;0;0.0;0.0
CRMte;1;0;1;0;0.0;0.0
CYST_Ltr;1;0;1;0;0.0;0.0
Coqe;0;0;0;0;6.003945819616862e-10;0.0007439449447853303
DAGKn_hs;0;1;0;1;0.0;0.0
DAGt;0;1;0;1;0.0;0.0
DCATDr;0;1;0;1;0.0;0.0
DCMPtm;1;0;1;0;1.2222895461231394e-257;2.5798809782972827e-163
DCMPtr;0;0;0;0;4.6125957191478014e-167;7.484347691129791e-70
DCTPtm;0;1;0;1;0.0;0.0
DEOXFVShc;0;1;0;1;0.0;0.0
DEOXFVSitx;1;0;1;0;0.0;0.0
DEOXFVStev;1;0;1;0;0.0;0.0
DESAT16_2;0;1;0;1;0.0;0.0
DESAT18_10;0;0;0;0;1.0836389739183066e-124;2.4167694039408916e-143
DESAT18_3;1;0;1;0;6.29269928694065e-219;3.237914535285884e-60
DESAT18_4;1;0;1;0;0.0;0.0
DESAT18_5;0;1;0;1;0.0;0.0
DESAT18_6;0;1;0;1;0.0;0.0
DESAT18_7;0;0;0;0;1.0659344236439521e-08;1.0971892566378842e-15
DESAT18_8;1;0;1;0;0.0;0.0
DESAT18_9;0;0;0;0;9.537182526009554e-109;7.278513735473977e-149
DESAT20_1;0;0;0;0;0.0;0.0
DESAT20_2;1;0;1;0;0.0;0.0
DGTPtm;1;0;1;0;9.485695676749597e-306;1.0388873438193672e-120
DHAPtr;1;0;1;0;0.0;0.0
DHBPTt;1;0;1;0;0.0;0.0
DHCR243r;0;0;0;0;0.0;1.3576843434376047e-250
DHCR71r;0;0;0;0;8.1382121547458515e-199;2.3244646579389636e-180
DHCR72r;0;0;0;0;0.0;0.0
DHFtm;0;0;0;0;1.5999805440781735e-191;3.199448155384988e-129
DLNLCGCRNt;0;1;0;1;0.0;0.0
DMATTx;0;1;0;1;0.0;0.0
DMHPTCRNt;0;1;0;1;0.0;0.0
DMNONCRNt;0;1;0;1;0.0;0.0
DOCOSACTDr;1;0;1;0;2.5006508580024325e-155;3.3032339315562076e-11
DOCOSDIACTD;0;1;0;1;0.0;0.0
DOLGLCP_Lter;0;0;0;0;0.0;0.0
DOLICHOL_Uter;0;1;0;1;0.0;0.0
