reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;2.0751360394920758e-106;5.930457896007724e-39
12PPDRte;0;0;0;0;6.826755696290513e-44;7.372489629360506e-27
13DMTitr;0;1;0;1;0.0;0.0
13DMTtep;1;0;1;0;0.0;0.0
13_CIS_RETNte;0;0;0;0;2.7444882798873226e-155;5.516493899380405e-12
1513DTACRhr;0;1;0;1;0.0;0.0
1513DTALThr;0;1;0;1;0.0;0.0
1513TACRitr;0;1;0;1;0.0;0.0
1513TACRtep;0;1;0;1;0.0;0.0
15DMTitr;0;1;0;1;0.0;0.0
15DMTtep;1;0;1;0;0.0;0.0
15KPROSTGF2c;1;0;1;0;0.0;0.0
15KPROSTGF2t;0;1;0;1;0.0;0.0
1A25DHVITD3t2e;1;0;1;0;0.0;0.0
1A25DHVITD3te;1;0;1;0;0.0;0.0
2H3MVc;0;1;0;1;0.0;4.071069500613445e-307
2H3MVte;0;0;0;0;0.0;0.0
2HATVACIDteb;0;1;0;1;0.0;0.0
2HATVACIDtep;0;1;0;1;0.0;0.0
2HATVLACteb;0;1;0;1;0.0;0.0
2HATVLACtep;0;0;0;0;0.0;0.0
2HIVc;1;0;1;0;0.0;0.0
2HIVte;0;1;0;1;0.0;0.0
2OXOADPt;1;0;1;0;0.0;1.1266177722338306e-201
2PGtr;1;0;1;0;0.0;2.038406427816946e-208
34DHPEAR;1;0;1;0;0.0;0.0
34DHPEt;0;1;0;1;0.0;0.0
34DHPHELAT1tc;0;0;0;0;1.8584537964741137e-31;9.988916794159739e-29
34HPPte;0;1;0;1;0.0;0.0
3AIBSYMPt;0;0;0;0;6.145735156639403e-51;0.0004205603678239436
3AIBt1;0;1;0;1;0.0;0.0
3ANTHRNtr;0;0;0;0;5.247853778955051e-153;2.1206302273582017e-84
3DDCRNtr;0;0;0;0;1.8960663658867174e-08;8.415944093551062e-05
3H3MGLTc;0;1;0;1;0.0;0.0
3H3MGLTte;0;1;0;1;0.0;0.0
3HDECECRNtr;1;0;1;0;0.0;0.0
3HEXDCRNtr;0;1;0;1;0.0;5.328190053169794e-287
3HPVSCOAhc;1;0;1;0;0.0;0.0
3HPVSCOAitm;1;0;1;0;0.0;0.0
3HPVSCOAitx;0;1;0;1;0.0;0.0
3HPVSTETCOAhcm;0;0;0;0;2.1007694290637646e-210;1.47388420254313e-163
3HPVSTETCOAhcx;0;0;0;0;4.386223637852166e-82;1.542863105707341e-68
3HPVSTETCOAitm;0;0;0;0;0.0;1.1480631661060116e-158
3HPVSTETCOAitx;0;0;0;0;0.0;0.0
3HPVSTEThc;0;1;0;1;0.0;0.0
3HPVSTETteb;0;0;0;0;0.0;0.0
3HPVSTETtev;0;0;0;0;0.0;0.0
3HPVSteb;0;0;0;0;0.0;0.0
3HPVStep;0;0;0;0;3.421306810700498e-204;4.36731583058777e-113
3ISPVSteb;0;0;0;0;4.2125613383816726e-196;7.123181926739907e-203
3ISPVStep;0;0;0;0;5.914109930083764e-70;3.102388272259148e-29
3MHISc;0;0;0;0;0.0;1.5426358260995316e-254
3MHISt1;0;0;0;0;2.202958888007761e-89;2.3836904804479774e-38
3MHISt2;0;0;0;0;6.520465884249433e-87;1.654914252893173e-115
3MHISt3;1;0;1;0;0.0;0.0
3MOBte;0;0;0;0;0.0;4.128703686993736e-265
3MOPte;0;0;0;0;9.608899480672119e-151;2.119799842462558e-128
3MOX4HOXMte;0;0;0;0;2.5297877238639443e-115;3.1749162331396393e-160
3PGtr;0;0;0;0;2.9836625006032846e-108;1.2664837516507934e-24
3TDCRNtr;0;1;0;1;0.0;0.0
3TETD7ECOACRNtr;0;0;0;0;8.54189081716968e-201;8.283251321565555e-187
3THEXDDCOACRNtr;0;1;0;1;0.0;0.0
3TTETDDCOACRNtr;0;0;0;0;1.825334064917876e-308;8.157532812584e-235
4AABUTNt;0;0;0;0;6.438931736447509e-160;1.0896035498685089e-135
4HATVACIDteb;0;0;0;0;3.626287243964499e-52;1.3817573727817896e-50
4HATVACIDtep;0;0;0;0;6.624774157557014e-287;1.8598216942385068e-259
4HATVLACteb;0;1;0;1;0.0;0.0
4HATVLACtep;0;0;0;0;6.438931736447509e-160;1.0896035498685089e-135
