reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
12PPDRte;0;1;0;1;0.0;0.0
13DMThr;0;1;0;1;0.0;0.0
13DMTitr;0;1;0;1;0.0;0.0
13DMTtep;1;0;1;0;0.0;0.0
13_CIS_RETNte;0;0;0;0;6.54902526341571e-133;1.3097994415428216e-134
2H3MVc;0;0;0;0;8.406608900097826e-75;3.127408568686206e-23
2H3MVte;0;0;0;0;7.204083516742006e-132;5.984715522552813e-67
2HIVc;0;0;0;0;4.290315655926134e-260;2.0246895672881958e-172
2HIVte;1;0;1;0;0.0;0.0
2OXOADPt;0;1;0;1;2.09153326637965e-310;3.6521537500166396e-229
2PGtr;0;1;0;1;0.0;0.0
34DHPEAR;1;0;1;0;0.0;0.0
34DHPEt;0;1;0;1;0.0;0.0
34DHPHELAT1tc;1;0;1;0;0.0;0.0
34HPLFM;1;0;1;0;0.0;0.0
34HPLte;1;0;1;0;0.0;0.0
34HPLtm;0;1;0;1;0.0;0.0
34HPPte;0;1;0;1;0.0;0.0
3AIBSYMPt;0;1;0;1;0.0;0.0
3AIBt1;0;0;0;0;0.0;0.0
3HDECECRNtr;0;1;0;1;0.0;0.0
3HPPt;1;0;1;0;0.0;0.0
3HPPtm;0;1;0;1;0.0;0.0
3HPVSCOAhc;0;0;0;0;3.9256389398817417e-302;8.269493991262536e-206
3HPVSCOAitm;0;1;0;1;0.0;0.0
3HPVSCOAitx;0;0;0;0;4.5084707588560794e-153;8.062276842910077e-13
3HPVSTETCOAhcm;0;1;0;1;0.0;0.0
3HPVSTETCOAhcx;0;1;0;1;0.0;0.0
3HPVSTETCOAitm;0;0;0;0;0.0;2.692958826533854e-288
3HPVSTETCOAitx;0;0;0;0;6.793806412226616e-166;1.2664148474361913e-130
3HPVSTEThc;1;0;1;0;0.0;0.0
3HPVSTETtev;0;0;0;0;0.0;1.4031447088287724e-265
3HPVStep;0;1;0;1;0.0;0.0
3MHISc;0;0;0;0;0.0;7.568334589986679e-299
3MHISt1;1;0;1;0;0.0;6.788699597747092e-231
3MHISt2;0;1;0;1;0.0;0.0
3MHISt3;1;0;1;0;0.0;0.0
3MOBte;0;0;0;0;1.1e-322;2.9848150451589e-219
3MOPte;0;1;0;1;0.0;0.0
3MOX4HOXMte;1;0;1;0;0.0;0.0
3MOXTYRt;0;1;0;1;0.0;0.0
3PGtr;0;0;0;0;0.0;0.0
4AABUTNt;0;1;0;1;0.0;0.0
4HPRO_LTte;0;1;0;1;0.0;0.0
4OHPROIMINOtc;0;1;0;1;0.0;0.0
4TMEABUTNt1;0;0;0;0;4.784032778730709e-28;1.1536809183832268e-10
4TMEABUTNt2;0;0;0;0;0.0;1.853986208993765e-197
56DTHMt;0;0;0;0;1e-323;1.412278256810097e-289
56DTHMtd;0;1;0;1;0.0;0.0
56DURAt;1;0;1;0;0.0;0.0
56DURAtd;0;1;0;1;0.0;0.0
5AOPt;0;0;0;0;6.715488185325714e-52;2.0251840836361355e-34
5CYSDOPAt;0;1;0;1;0.0;0.0
5EIPENCm;0;1;0;1;0.0;0.0
5EIPENCte;0;1;0;1;0.0;0.0
5EIPENCtm;0;1;0;1;0.0;0.0
5HOXINDOAtr;0;1;0;1;0.0;0.0
5HPETtd;1;0;1;0;0.0;0.0
5MTAte;0;0;0;0;0.0;1.9942662769392548e-281
5OHHEXAc;0;1;0;1;0.0;0.0
5OHHEXAte;0;1;0;1;0.0;0.0
5OXPROt;1;0;1;0;0.0;0.0
7DHCHSTEROLtd;0;0;0;0;0.0;0.0
7DHCHSTEROLtr;0;1;0;1;0.0;0.0
7OHOCTAc;0;1;0;1;0.0;0.0
7OHOCTAte;0;1;0;1;0.0;0.0
ABTD1;0;0;0;0;5.893931392009036e-242;2.1844608509940467e-155
ABT_Dt2;0;0;0;0;3.4030366533826456e-88;1.1667321621197846e-73
ACGALtr;0;0;0;0;1.647694930591692e-16;1.0912366701365204e-26
ACLYSHYc;1;0;1;0;0.0;0.0
ACLYSt;1;0;1;0;0.0;0.0
ACNAMt2;0;1;0;1;0.0;0.0
ACNAMtr;1;0;1;0;0.0;0.0
ACTHRtc;0;1;0;1;0.0;0.0
ACTHRte;0;1;0;1;8.295185496037092e-266;2.1850987211567367e-87
ACt2m;0;1;0;1;0.0;0.0
ADNK3;1;0;1;0;3.933563190613261e-274;1.1521555857415154e-94
ADPOHc;1;0;1;0;0.0;0.0
ADPOHt;0;0;0;0;4.473146902549202e-40;2.7761784466127284e-30
AHCYSte;0;0;0;0;9.793084695969237e-127;1.0966591602226203e-141
AICARte;0;0;0;0;0.0;0.0
ALAALACNc;1;0;1;0;0.0;0.0
AM4N9CShc;0;1;0;1;0.0;0.0
AM4N9CStev;0;1;0;1;0.0;0.0
AM4NCShr;0;1;0;1;0.0;0.0
AM4NCStep;0;1;0;1;0.0;0.0
AM9CSAtep;0;0;1;0;7.924723008501202e-117;0.32064167366264196
AMETAMte;0;0;0;0;1.2057635831464674e-34;3.556066597477698e-24
AMETt;0;0;0;0;2.4089126779353695e-116;5.542760543303711e-119
AMY2e;0;0;0;0;0.0;0.0
ANDRSTANDRtr;1;0;1;0;0.0;0.0
ARACHDCOAtx;0;0;0;0;4.350339658520823e-30;0.025612298520400683
ARACHDtr;0;0;0;0;0.0;1.4537388272155434e-267
ARGGLYGLYr;0;1;0;1;0.0;0.0
ARGGLYGLYt;0;1;0;1;0.0;0.0
BALABETAtc2;1;0;1;0;0.0;0.0
BALAPAT1tc2;0;0;0;0;3.205088672922739e-279;6.765299069523171e-238
BETBGTtc;0;1;0;1;0.0;0.0
BGAL1l;0;1;0;1;0.0;0.0
BGLUTCHLe;0;1;0;1;0.0;0.0
BGLYFm;0;1;0;1;0.0;0.0
BGLYte;0;0;0;0;3.9183772600956186e-67;1.9717721859205628e-59
BGLYtm;1;0;1;0;0.0;0.0
BILGLCURtr;0;0;0;0;6.043504386386203e-270;2.902904782832839e-223
BILIVERDt;0;0;0;0;0.0;0.0
BZCOAFm;0;1;0;1;0.0;0.0
BZt;1;0;1;0;0.0;0.0
BZtm;0;1;0;1;8.977e-321;2.6775917798010873e-137
C04483t2;0;1;0;1;0.0;0.0
C04717td;0;1;0;1;0.0;0.0
C04805td;0;1;0;1;0.0;1.7191001746926883e-270
C05300t;0;1;0;1;0.0;0.0
C05953t;0;1;0;1;0.0;0.0
C05953tm;1;0;1;0;0.0;0.0
C05957t;1;0;1;0;0.0;0.0
C06439t;1;0;1;0;0.0;0.0
C06439tn;0;0;0;0;6.843459419509455e-182;7.361772823332058e-96
C08261te;1;0;1;0;1.2552207183197934e-180;7.450314163698574e-32
C14STRr;0;1;0;1;0.0;0.0
C161CPT12;0;1;0;1;0.0;0.0
C161OHc;0;0;0;0;7.188784729910409e-305;8.554993356612284e-215
