reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;1.1117214344824635e-90;4.2874460282358326e-79
12HTACRhr;0;1;0;1;0.0;0.0
12HTACRitr;0;1;0;1;0.0;0.0
12HTACRtep;1;0;1;0;0.0;0.0
12PPDRte;0;1;0;1;0.0;0.0
13DAMPPOX;0;0;0;0;0.0;0.0
13_CIS_RETNte;0;0;0;0;4.806085801694239e-143;5.256121037298511e-191
14HMDZALThr;0;1;0;1;0.0;0.0
14HMDZhr;0;1;0;1;0.0;0.0
14HMDZitr;0;1;0;1;3.6017491793915994e-196;1.8396599446360536e-33
14MDZtev;1;0;1;0;0.0;0.0
1OHMDZhr;0;1;0;1;0.0;0.0
2H3MVc;1;0;1;0;0.0;0.0
2H3MVte;1;0;1;0;0.0;0.0
2HATVACIDOXDhc;0;1;0;1;0.0;0.0
2HATVACIDitr;1;0;1;0;0.0;2.0399403289117543e-256
2HATVACIDtep;0;1;0;1;0.0;0.0
2HIVc;0;0;0;0;2.538416172357351e-83;0.0001922819484020921
2HIVte;0;0;0;0;0.0;0.0
2OXOADPt;0;0;0;0;4.331542596268433e-105;1.993410016840235e-87
2PGtr;1;0;1;0;0.0;0.0
34DHPEAR;0;1;0;1;0.0;0.0
34DHPEt;0;1;0;1;0.0;0.0
35DSMVhep;1;0;1;0;0.0;0.0
35DSMVitr;0;1;0;1;0.0;0.0
35DSMVteb;0;1;0;1;0.0;0.0
3AIBSYMPt;0;0;0;0;1.4729046061629058e-72;6.37388477973991e-93
3AIBt1;1;0;1;0;0.0;0.0
3DDCRNtr;0;1;0;1;0.0;0.0
3DECCRNtr;1;0;1;0;0.0;0.0
3HDECECRNtr;0;1;0;1;0.0;0.0
3HEXDCRNtr;1;0;1;0;0.0;0.0
3HPVSCOAhc;0;1;0;1;0.0;5.28146388681504e-221
3HPVSCOAitm;0;0;0;0;0.0;1.3121262702457663e-302
3HPVSCOAitx;1;0;1;0;0.0;0.0
3HPVSTETCOAhcm;0;1;0;1;0.0;0.0
3HPVSTETCOAhcx;1;0;1;0;0.0;0.0
3HPVSTETCOAitm;0;1;0;1;0.0;0.0
3HPVSTETCOAitx;0;0;0;0;0.0;0.0
3HPVSTEThc;0;1;0;1;0.0;0.0
3HPVSTETtev;1;0;1;0;0.0;0.0
3HPVStep;0;1;0;1;0.0;0.0
3HSMVACIDhep;0;1;0;1;0.0;0.0
3HSMVACIDteb;0;1;0;1;0.0;0.0
3HSMVhep;0;1;0;1;0.0;0.0
3HSMVitr;0;1;0;1;0.0;0.0
3MHISc;0;0;0;0;6.9901728154199e-230;1.3020895248755774e-137
3MHISt1;0;1;0;1;0.0;0.0
3MHISt2;0;0;0;0;6.797140943518595e-191;4.0372251719682e-138
3MHISt3;0;0;0;0;1.2682017148064895e-180;2.354642669009372e-81
3MOBte;0;0;0;0;1.0373840280147765e-17;8.554816032548074e-18
3MOPte;0;1;0;1;0.0;0.0
3MOX4HOXMte;0;1;0;1;0.0;2.4463251604619254e-275
