reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
12PPDRte;0;0;0;0;4.499625755466121e-91;5.782079699521329e-111
13_CIS_RETNte;0;1;0;1;0.0;0.0
15KPROSTGF2t;0;0;0;0;3.5322615414632563e-124;9.303407707552775e-97
2H3MVc;0;0;0;0;2.6903799844403175e-83;2.3680203085427804e-74
2H3MVte;0;0;0;0;3.2988320693479427e-150;4.759818139345942e-146
2HIVc;0;0;0;0;1.36419280814847e-24;0.5125239759792704
2HIVte;0;0;0;0;0.0;0.0
2OXOADPt;0;0;0;0;0.0;0.0
31DMThr;0;1;0;1;0.0;0.0
31DMTitr;0;1;0;1;0.0;0.0
31DMTtep;1;0;1;0;0.0;0.0
34HPLte;0;1;0;1;0.0;0.0
34HPPte;1;0;1;0;0.0;0.0
3AIBSYMPt;1;0;1;0;0.0;0.0
3AIBt1;1;0;1;0;0.0;0.0
3DDCRNtr;1;0;1;0;0.0;0.0
3DECCRNtr;0;1;0;1;0.0;0.0
3HDECECRNtr;0;1;0;1;0.0;0.0
3HEXDCRNtr;0;1;0;1;0.0;1.1926768713824563e-159
3HPPt;0;0;0;0;1.1883639358055096e-73;6.607972379456359e-06
3HPPtm;0;0;0;0;1.3781271660089303e-175;2.5791740665068998e-135
3HPVSCOAhc;0;1;0;1;0.0;0.0
3HPVSCOAitm;1;0;1;0;0.0;0.0
3HPVSCOAitx;0;1;0;1;0.0;0.0
3HPVSTETCOAhcm;1;0;1;0;0.0;0.0
3HPVSTETCOAhcx;1;0;1;0;0.0;0.0
3HPVSTETCOAitm;0;0;0;0;0.0;0.0
3HPVSTETCOAitx;0;0;0;0;2.0482433574191434e-147;9.696539639589484e-154
3HPVSTEThc;1;0;1;0;0.0;0.0
3HPVSTETtev;0;0;0;0;6.390815849948378e-134;8.940019006762819e-08
3HPVStep;0;1;0;1;0.0;0.0
3ISPVShc;0;1;0;1;0.0;0.0
3ISPVStep;1;0;1;0;0.0;0.0
3MHISc;0;0;0;0;7.343960263321539e-147;4.9722196095543596e-145
3MHISt1;0;0;0;0;3.685902444154353e-23;3.8306378703275735e-21
3MHISt2;0;0;0;0;0.0;2.245846740947171e-275
3MHISt3;0;0;0;0;0.0;0.0
3MOBte;0;0;0;0;1.0734498208038615e-224;1.0790704784654538e-194
3MOPte;0;0;0;0;0.0;1.6951620849860123e-287
3MOX4HOXMte;0;0;0;0;9.12544016338093e-276;2.4536110636460038e-164
3MTPte;0;1;0;1;0.0;0.0
3OCTDEC2CRNtr;0;1;0;1;0.0;0.0
3PGtr;0;0;0;0;4.6323264282868436e-269;1.810607116207156e-259
3TDCRNtr;0;1;0;1;0.0;0.0
3TETD7ECOACRNtr;0;1;0;1;0.0;0.0
3THEXDDCOACRNtr;0;1;0;1;0.0;0.0
3TTETDDCOACRNtr;0;1;0;1;0.0;0.0
4AABUTNt;0;0;0;0;0.0;3.14213371348964e-301
4GLU56DIHDINDt;0;0;0;0;5.067453794305632e-280;4.152541096578567e-195
4HPRO_LTte;0;0;0;0;3.1725931208302397e-139;6.863429926620072e-95
4TMEABUTNt1;0;1;0;1;0.0;0.0
4TMEABUTNt2;0;1;0;1;0.0;0.0
56DTHMt;0;1;0;1;0.0;0.0
56DTHMtd;0;0;0;0;0.0;4.734226035671245e-243
56DURAt;1;0;1;0;0.0;0.0
56DURAtd;0;0;0;0;0.0;3.695830641651087e-262
5AOPt;1;0;1;0;0.0;0.0
5AOPt2;0;1;0;1;0.0;0.0
5EIPENCm;0;1;0;1;0.0;0.0
5EIPENCte;0;1;0;1;0.0;0.0
5EIPENCtm;0;1;0;1;0.0;0.0
5HPETtd;0;0;0;0;0.0;0.0
5MTAte;1;0;1;0;0.0;0.0
5OXPROt;0;1;0;1;0.0;0.0
7DHCHSTEROLtd;0;0;0;0;0.0;0.0
7OHOCTAc;0;1;0;1;0.0;0.0
7OHOCTAte;1;0;1;0;0.0;0.0
ABTD1;0;0;0;0;0.0;0.0
ABT_Dt2;1;0;1;0;0.0;2.9566524183155384e-227
ACGALtr;0;0;0;0;2.1912490501861863e-21;0.15074389104228963
ACILEm;0;1;0;1;0.0;0.0
ACILEte;0;0;0;0;0.0;0.0
ACILEtm;0;0;0;0;0.0;0.0
ACLYSHYc;1;0;1;0;0.0;0.0
ACLYSt;0;1;0;1;0.0;0.0
ACNAMtr;1;0;1;0;0.0;0.0
ACOX22x;0;1;0;1;0.0;0.0
ACTYRm;1;0;1;0;0.0;0.0
ACTYRtc;0;1;0;1;0.0;0.0
ACTYRte;0;1;0;1;0.0;0.0
ACt2m;1;0;1;0;0.0;0.0
ADPOHc;0;0;0;0;0.0;2.7997625280334965e-273
ADPOHt;1;0;1;0;0.0;0.0
AHCYSte;0;0;0;0;1.100392918211367e-19;2.2819063720325218e-22
AICARte;1;0;1;0;0.0;0.0
ALAALACNc;0;1;0;1;0.0;0.0
ALDD21;0;1;0;1;0.0;0.0
AM1ALCShr;0;1;0;1;0.0;0.0
AM1ALCStep;0;1;0;1;0.0;0.0
AM1CSAtep;0;1;0;1;0.0;0.0
AM4N9CShc;0;1;0;1;0.0;0.0
AM4N9CStev;0;1;0;1;0.0;0.0
AM4NCShr;0;1;0;1;0.0;0.0
AM4NCStep;0;1;0;1;0.0;0.0
AM9CSAtep;0;1;0;1;0.0;0.0
AMETt;1;0;1;0;0.0;0.0
AMY2e;0;1;0;1;0.0;0.0
ANDRSTANDRtr;0;0;0;0;9.2865e-320;1.0171151892536365e-273
ARACHDCOAtx;1;0;1;0;0.0;0.0
ARACHDtr;0;0;0;0;4.765411220391111e-45;8.240564308985151e-38
ARGALAALAr;0;0;0;0;3.148853850656109e-14;3.6768803760753943e-09
ARGALAALAt;0;0;0;0;0.0;7.237285925135447e-291
ARGGLYGLYr;0;1;0;1;0.0;0.0
ARGGLYGLYt;0;0;0;0;0.0;0.0
ARGN1ASPMDte;1;0;1;0;0.0;0.0
ARGSUCte;0;0;0;0;3.933196455334035e-196;6.629179027695422e-201
ATVACIDMCTtu;1;0;1;0;0.0;0.0
ATVACIDtdu;1;0;1;0;0.0;1.48454651190144e-310
BALAPAT1tc2;1;0;1;0;0.0;3.900264968723308e-296
BETBGTtc;1;0;1;0;0.0;0.0
BGAL1e;1;0;1;0;0.0;2.2138675709579116e-260
BGAL1l;1;0;1;0;0.0;0.0
BGAL2l;1;0;1;0;0.0;0.0
BGLYte;0;1;0;1;0.0;0.0
BILGLCURtr;1;0;1;0;0.0;8.664148371974201e-185
BILIVERDt;1;0;1;0;0.0;0.0
BTNTe;0;0;0;0;7.343960263321539e-147;3.553054153089813e-107
BUTt2r;0;1;0;1;0.0;0.0
BZt;1;0;1;0;0.0;0.0
BZtr;1;0;1;0;0.0;0.0
C04483t2;1;0;1;0;0.0;0.0
C04717td;1;0;1;0;0.0;0.0
C04805td;1;0;1;0;0.0;0.0
C05767te;0;0;0;0;3.318937041271495e-07;0.018663768872552992
C05953t;0;1;0;1;0.0;0.0
C05957t;0;1;0;1;0.0;0.0
C05957td;1;0;1;0;0.0;0.0
C06439t;1;0;1;0;0.0;1.4451231260547115e-250
C06439tn;1;0;1;0;0.0;0.0
C10OHc;1;0;1;0;0.0;0.0
C12OHc;1;0;1;0;0.0;0.0
C141ACBP;0;1;0;1;0.0;0.0
C141OHc;0;1;0;1;0.0;0.0
C142ACBP;1;0;1;0;0.0;6.796054680020203e-213
C142OHc;0;1;0;1;1.6873846173505303e-135;0.00019644786063328476
C14768td;1;0;1;0;0.0;0.0
C14769td1;0;1;0;1;0.0;0.0
C14770ATP;0;1;0;1;0.0;0.0
C14771ATP;0;1;0;1;0.0;0.0
C14825td;0;1;0;1;0.0;0.0
C14826td;0;1;0;1;0.0;0.0
C14OHc;0;1;0;1;0.0;0.0
C161CPT22;0;1;0;1;0.0;0.0
C161OHc;0;0;0;0;3.942428825025178e-12;2.6687046397656654e-11
C162ACBP;0;1;0;1;0.0;0.0
C162OHc;1;0;1;0;0.0;0.0
C16OHc;0;1;0;1;0.0;0.0
C181CPT2rbc;0;0;0;0;0.0;2.452863833070481e-184
C182OHc;0;1;0;1;0.0;0.0
C226CRNt;0;1;0;1;0.0;0.0
C3DCtr;1;0;1;0;1.8260719403539494e-197;1.4907644821793765e-34
C3STDH1Pr;0;1;0;1;0.0;0.0
C3STKR2r;0;1;0;1;0.0;0.0
C4STMO1r;0;0;0;0;3.318937041271495e-07;0.2653910415908101
C4STMO2r;1;0;1;0;5.067453794305632e-280;3.265869936495649e-89
CA2t;1;0;1;0;0.0;0.0
CALAtr;0;0;0;0;0.0;0.0
CAPROICc;0;1;0;1;0.0;0.0
CARNtr;0;1;0;1;0.0;0.0
CATr;0;0;0;0;0.0;0.0
CE0955te;0;1;0;1;0.0;0.0
CE1261t;0;1;0;1;0.0;0.0
CE1401te;1;0;1;0;0.0;3.239283335676415e-297
CE1617te;0;1;0;1;0.0;0.0
CE2172t;0;0;0;0;2.8068380188457e-311;2.020918694517061e-248
CE2176t;0;1;0;1;0.0;0.0
CE2176tm;0;1;0;1;0.0;0.0
CE2445t;0;1;0;1;0.0;0.0
CE2934t;1;0;1;0;0.0;0.0
CE4843HYDc;1;0;1;0;5.5127562806127947e-303;5.930062473155317e-292
CE4843td;0;0;0;0;2.312832452825478e-22;0.00014481505877626092
CE5304t;1;0;1;0;0.0;0.0
CE5643te;1;0;1;0;0.0;0.0
CE6205te;0;0;0;0;2.5246653127053632e-247;1.3507397300191985e-139
CERT1tn;1;0;1;0;0.0;0.0
CHOLPtr;1;0;1;0;0.0;0.0
CHSTEROLt2;0;1;0;1;0.0;0.0
CLCFTRtm;1;0;1;0;0.0;0.0
CLPNDCOAtx;0;1;0;1;0.0;0.0
COKEte;1;0;1;0;0.0;0.0
COKEtr;0;0;0;0;0.0;0.0
CORE5t;0;1;0;1;0.0;0.0
CORE7t;1;0;1;0;0.0;0.0
CORE8t;1;0;1;0;0.0;0.0
CORTSNt;0;0;0;0;4.260982123345637e-07;0.3772939978140452
CORTSNti;1;0;1;0;0.0;0.0
CRMte;0;1;0;1;0.0;0.0
CSAtd;0;1;0;1;0.0;0.0
CYSSNAT5tc;0;1;0;1;0.0;0.0
Coqe;0;1;0;1;0.0;0.0
DACGST;0;0;0;0;0.0;0.0
DACT;0;1;0;1;0.0;0.0
DAGKn_hs;0;0;0;0;4.47090564509755e-302;1.5726789828323083e-271
DAGt;0;0;0;0;0.0;2.6563945791181366e-141
DCATDr;0;1;0;1;0.0;0.0
DCMPtr;0;1;0;1;0.0;0.0
DCSPTN1CRNt;0;1;0;1;0.0;0.0
DCTPtm;0;1;0;1;0.0;0.0
DEOXFVShc;0;1;0;1;0.0;0.0
DEOXFVSitx;1;0;1;0;0.0;0.0
DEOXFVStev;0;1;0;1;0.0;0.0
DESAT16_2;1;0;1;0;0.0;0.0
DESAT18_10;1;0;1;0;0.0;0.0
DESAT18_3;1;0;1;0;0.0;0.0
DESAT18_4;0;0;0;0;1.7310728023025685e-97;6.114467977182247e-77
DESAT18_5;1;0;1;0;0.0;0.0
DESAT18_6;1;0;1;0;0.0;0.0
DESAT18_7;0;0;0;0;0.0;0.0
DESAT18_8;0;0;0;0;0.0;0.0
DESAT18_9;0;1;0;1;0.0;0.0
DESAT20_1;1;0;1;0;0.0;0.0
DESAT20_2;0;1;0;1;0.0;0.0
DESAT22_2p;1;0;1;0;0.0;0.0
DGTPtm;0;0;0;0;0.0;0.0
DHAPtr;0;1;0;1;0.0;0.0
DHBPTt;1;0;1;0;0.0;0.0
DHCR243r;1;0;1;0;0.0;1.2383265713498766e-227
DHCR71r;0;1;0;1;0.0;0.0
DHCR72r;1;0;1;0;0.0;0.0
DMATTx;0;0;0;0;3.6091064645626027e-72;2.700969818069295e-67
DMHPTCRNt;0;0;0;0;0.0;0.0
DMNONCRNt;0;1;0;1;0.0;0.0
DOCOSACTDr;1;0;1;0;0.0;0.0
DOCOSDIACTD;0;1;0;1;0.0;0.0
DOLICHOL_Uter;0;0;0;0;0.0;0.0
DSMSTEROLte;0;1;0;1;0.0;0.0
DSMSTEROLtr;0;1;0;1;0.0;0.0
DSREDUCr;1;0;1;0;0.0;0.0
DUTPDP;0;1;0;1;0.0;0.0
EBP1r;0;1;0;1;0.0;0.0
EBP2r;0;0;0;0;0.0;0.0
EGMEte;1;0;1;0;0.0;0.0
EGMEtr;0;0;0;0;1.0279037296890733e-119;1.6869900038248568e-32
EIC21114TRc;0;0;0;0;0.0;0.0
EIC21114TRte;1;0;1;0;0.0;0.0
ELAIDCRNte;1;0;1;0;0.0;0.0
ELAIDCRNtr;1;0;1;0;1.6268790295561318e-222;8.721191224897148e-63
ETF;0;0;0;0;1.1253724064944525e-185;6.325505108965367e-133
ETFQO;0;1;0;1;4.6323264282868436e-269;3.594383269511959e-90
EX_12HPET[e];1;0;1;0;0.0;0.0
EX_12ppd_R[e];0;1;0;1;0.0;0.0
EX_13_cis_retn[e];0;1;0;1;0.0;0.0
EX_15kprostgf2[e];1;0;1;0;5.04345203e-315;4.889577271640807e-118
EX_2h3mv[e];0;0;0;0;0.0;0.0
EX_2hiv[e];1;0;1;0;0.0;0.0
EX_2oxoadp[e];1;0;1;0;0.0;0.0
EX_31dmt[e];0;1;0;1;0.0;0.0
EX_34hpl[e];1;0;1;0;0.0;0.0
EX_34hpp[e];0;1;0;1;0.0;0.0
EX_3ddcrn[e];0;1;0;1;0.0;0.0
EX_3deccrn[e];0;1;0;1;0.0;0.0
EX_3hdececrn[e];0;1;0;1;0.0;0.0
EX_3hexdcrn[e];1;0;1;0;0.0;0.0
EX_3hpp[e];0;1;0;1;0.0;0.0
EX_3hpvs[e];0;0;0;0;1.8312313637540147e-94;4.932291242665816e-90
EX_3hpvstet[e];0;1;0;1;0.0;0.0
EX_3ispvs[e];0;1;0;1;0.0;0.0
EX_3mhis[e];1;0;1;0;0.0;0.0
EX_3mob[e];1;0;1;0;2.9103673798839988e-300;3.258115455221216e-135
EX_3mop[e];1;0;1;0;8.09208955222053e-257;5.725172645830234e-78
EX_3mox4hoxm[e];0;1;0;1;0.0;0.0
EX_3mtp[e];0;0;0;0;1.8361473685857494e-169;3.2210075980937816e-117
EX_3octdec2crn[e];0;1;0;1;0.0;0.0
EX_3pg[e];0;0;0;0;0.0;0.0
EX_3tdcrn[e];0;1;0;1;0.0;0.0
EX_3tetd7ecoacrn[e];0;1;0;1;0.0;0.0
EX_3thexddcoacrn[e];0;1;0;1;0.0;0.0
EX_3ttetddcoacrn[e];0;1;0;1;0.0;0.0
EX_4aabutn[e];0;1;0;1;0.0;0.0
EX_4glu56dihdind[e];0;0;0;0;6.657434815722727e-189;3.0692072766179265e-208
EX_4hpro[e];0;1;0;1;0.0;0.0
EX_56dura[e];0;0;0;0;3.9144233355064105e-198;6.872072269029037e-224
EX_5HPET[e];0;0;0;0;0.0;7.061030041497526e-236
EX_5aop[e];1;0;1;0;0.0;0.0
EX_5eipenc[e];0;1;0;1;0.0;0.0
EX_5mta[e];0;0;0;0;2.0609265816188843e-18;0.2498933199927708
EX_5oxpro[e];0;1;0;1;0.0;0.0
EX_7dhchsterol[e];0;1;0;1;0.0;0.0
EX_7ohocata[e];0;0;0;0;8.446173977891857e-25;0.0004196185065515824
EX_C04717[e];0;0;0;0;3.685902444154353e-23;4.755571505562254e-05
EX_C04805[e];0;0;0;0;1.2735281599049744e-257;5.087846015417052e-187
EX_C04849[e];0;1;0;1;0.0;1.199915863610612e-224
EX_C05767[e];0;0;0;0;1.2735281599049744e-257;5.087846015417052e-187
EX_C14768[e];0;0;0;0;8.600133639256372e-222;5.1695928730986985e-194
EX_C14769[e];1;0;1;0;0.0;0.0
EX_C14770[e];1;0;1;0;0.0;3.343873153227354e-294
EX_C14771[e];0;1;0;1;0.0;0.0
EX_C14825[e];0;0;0;0;1.2741818625594855e-45;6.629086773373488e-42
EX_C14826[e];1;0;1;0;0.0;8.577153583242694e-267
EX_CE0074[e];1;0;1;0;0.0;8.577153583242694e-267
EX_CE0955[e];1;0;1;0;0.0;0.0
EX_CE1261[e];1;0;1;0;0.0;0.0
EX_CE1401[e];1;0;1;0;0.0;1.01197517880042e-309
EX_CE1617[e];1;0;1;0;0.0;0.0
EX_CE2172[e];0;1;0;1;0.0;0.0
EX_CE2176[e];0;1;0;1;0.0;0.0
EX_CE2445[e];1;0;1;0;0.0;0.0
EX_CE2510[e];0;0;0;0;7.393141365960236e-203;1.1467599884316947e-199
EX_CE2934[e];1;0;1;0;0.0;0.0
EX_CE4843[e];0;0;0;0;1.1810619707453226e-64;1.918420205990925e-63
EX_CE5304[e];0;1;0;1;0.0;0.0
EX_CE5643[e];0;1;0;1;0.0;0.0
EX_CE6205[e];0;1;0;1;0.0;0.0
EX_HC00004[e];0;0;0;0;4.552638160609512e-71;4.350801783142178e-06
EX_HC00822[e];0;0;0;0;2.829975804355698e-12;1.9555243282544902e-07
EX_HC01446[e];0;0;0;0;6.337981188223197e-98;4.9136462211544914e-119
EX_HC01609[e];0;0;0;0;1.2126556823764404e-33;1.7302414973023667e-43
EX_HC01610[e];0;0;0;0;2.1522754291618515e-36;8.667116399210308e-16
EX_HC01852[e];0;0;0;0;3.80076256203e-313;6.813668210024319e-277
EX_HC02080[e];0;0;0;0;4.773043103155901e-77;3.4510736018273464e-80
EX_HC02160[e];1;0;1;0;1.4500705996563066e-233;2.5499136569868467e-53
EX_HC02161[e];0;1;0;1;0.0;0.0
EX_HC02203[e];0;0;0;0;1.167990031743951e-47;6.272960880353467e-46
EX_HC02213[e];1;0;1;0;0.0;0.0
EX_L2aadp[e];0;0;0;0;9.258523996496906e-93;3.502293466257138e-77
EX_Lcyst[e];0;1;0;1;0.0;0.0
EX_Lhcystin[e];0;0;0;0;3.7077181062926805e-226;1.6327503945363987e-261
EX_Lpipecol[e];1;0;1;0;0.0;0.0
EX_M00003[e];1;0;1;0;0.0;1.0178482250553471e-260
EX_M00008[e];0;0;0;0;4.050536752734303e-53;0.01550920953658666
EX_M00010[e];1;0;1;0;0.0;0.0
EX_M00017[e];0;1;0;1;0.0;0.0
EX_M00019[e];0;0;0;0;1.1817889468337794e-144;1.3469721401057742e-96
EX_M00021[e];1;0;1;0;0.0;0.0
EX_M00115[e];1;0;1;0;0.0;0.0
EX_M00117[e];0;0;0;0;8.074204043536437e-236;2.562165017111907e-212
EX_M00234[e];0;1;0;1;0.0;0.0
EX_M00260[e];0;1;0;1;0.0;0.0
EX_M00265[e];1;0;1;0;0.0;0.0
EX_M00315[e];1;0;1;0;0.0;0.0
EX_M00341[e];0;0;0;0;1.815195053474258e-142;1.1362058971129476e-154
EX_M00503[e];0;1;0;1;0.0;0.0
EX_M01197[e];0;1;0;1;0.0;0.0
EX_M01207[e];0;1;0;1;0.0;0.0
EX_M01235[e];0;1;0;1;0.0;0.0
EX_M01238[e];0;1;0;1;0.0;0.0
EX_M01582[e];0;1;0;1;0.0;0.0
EX_M01807[e];0;0;0;0;3.80076256203e-313;4.6963101847206874e-284
EX_M01820[e];1;0;1;0;0.0;0.0
EX_M02053[e];1;0;1;0;0.0;0.0
EX_M02457[e];0;1;0;1;1.436161850929176e-307;5.3168521640888545e-110
EX_M02613[e];1;0;1;0;0.0;0.0
EX_M02745[e];0;0;0;0;9.579144693641008e-155;1.4667990881613336e-70
EX_M03045[e];1;0;1;0;0.0;0.0
EX_M03051[e];0;1;0;1;0.0;0.0
EX_M03153[e];0;0;0;0;1.0547608358378564e-70;1.9905231487473047e-23
EX_N1aspmd[e];0;1;0;1;0.0;0.0
EX_abt_D[e];1;0;1;0;0.0;0.0
EX_acgal[e];0;0;0;0;3.128251651507461e-268;2.0619866530823753e-262
EX_acile_L[e];0;0;0;0;3.364037461764195e-218;2.6914349940822928e-210
EX_aclys[e];0;0;0;0;0.0;0.0
EX_acnam[e];0;0;0;0;0.0;0.0
EX_acty;0;1;0;1;0.0;0.0
EX_adpoh[e];0;1;0;1;0.0;1.5744789491103148e-299
EX_adrn[e];0;0;0;0;3.958738080294502e-35;5.733013833889336e-48
EX_ahcys[e];0;0;0;0;1.5499320090983899e-07;6.294034592349711e-06
EX_aica;1;0;1;0;0.0;0.0
EX_am1alcs[e];0;1;0;1;0.0;0.0
EX_am1csa[e];0;1;0;1;0.0;0.0
EX_am4n9cs[e];0;1;0;1;0.0;0.0
EX_am4ncs[e];0;1;0;1;0.0;0.0
EX_am9csa[e];0;1;0;1;0.0;0.0
EX_amet[e];1;0;1;0;0.0;0.0
EX_arach[e];0;1;0;1;0.0;0.0
EX_arachd[e];1;0;1;0;0.0;0.0
EX_argalaala[e];1;0;1;0;0.0;0.0
EX_argglygly[e];0;0;0;0;1.0481168463217114e-161;7.287285665973465e-148
EX_argsuc[e];0;0;0;0;0.0;0.0
EX_bgly[e];0;0;0;0;5.723613967918507e-22;1.527795557522907e-19
EX_biliverd[e];0;0;0;0;0.0;0.0
EX_bz[e];0;0;0;0;1.1982653629119358e-306;1.288591075380885e-258
