reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
ALAyLATthc;0;0;0;0;0.0;0.0
AMY2e;0;0;0;0;4.594685283066542e-67;1.1286258956408383e-90
BGAL1e;0;1;0;1;0.0;0.0
BUTt2r;0;0;0;0;2.957142760684984e-34;2.3411073014354883e-25
C181CPT2;0;1;0;1;0.0;0.0
CA2t;0;0;0;0;0.0;0.0
CAATPS;1;0;1;0;0.0;0.0
CITtam;0;0;0;0;0.0;0.0
CYOOm3i;0;1;0;1;0.0;0.0
DESAT18_3;1;0;1;0;0.0;0.0
DESAT18_5;0;0;0;0;1.5430398753023733e-32;0.10216664311237894
DTMPKm;1;0;1;0;0.0;1.4120227470775899e-298
EBP1r;0;0;0;0;0.0;0.0
EBP2r;0;0;0;0;2.83939316973292e-120;0.0008281444640008791
ELAIDCPT2;0;1;0;1;0.0;0.0
ETF;1;0;1;0;7.06885201119738e-208;2.460114169261265e-41
ETFQO;0;1;0;1;7.06885201119738e-208;2.460114169261265e-41
EX_12HPET[e];0;1;0;1;2.0807191502611873e-168;1.5601423141473432e-15
EX_C04849[e];1;0;1;0;0.0;0.0
EX_CE0074[e];0;1;0;1;2.3406510662672496e-260;1.1139654413661236e-72
EX_CE2510[e];0;1;0;1;2.3406510662672496e-260;1.1139654413661236e-72
EX_CE2915[e];1;0;1;0;0.0;0.0
EX_CE2916[e];1;0;1;0;0.0;0.0
EX_CE2917[e];0;0;0;0;7.794659992101594e-171;1.858342672589621e-191
EX_CE4722[e];1;0;1;0;0.0;1.6105853865301756e-269
EX_CE4723[e];1;0;1;0;0.0;3.570773296413037e-270
EX_CE4724[e];0;0;0;0;0.0;0.0
EX_CE5867[e];0;0;0;0;9.283612787773521e-251;2.705809930512803e-200
EX_CE5868[e];0;1;0;1;0.0;0.0
EX_CE5869[e];0;0;0;0;0.849100517834506;0.8942306113116705
EX_HC00002[e];0;1;0;1;0.0;0.0
EX_HC01609[e];0;1;0;1;0.0;1.4033677033607549e-299
EX_HC01610[e];0;1;0;1;0.0;4.500292213824206e-252
EX_M00003[e];0;0;0;0;4.325665209072949e-84;9.70562246580112e-125
EX_M00008[e];0;0;0;0;2.269597628149159e-74;8.58231749485359e-60
EX_M00010[e];1;0;1;0;0.0;0.0
EX_M00017[e];1;0;1;0;0.0;0.0
EX_M00019[e];1;0;1;0;0.0;0.0
EX_M00021[e];0;0;0;0;1.0504718484704044e-191;3.188076425776944e-219
EX_M00115[e];0;0;0;0;0.0;0.0
EX_M00117[e];0;1;0;1;0.0;2.1557098447474523e-223
EX_M00260[e];0;0;0;0;4.0510576420503626e-136;2.100598277813618e-152
EX_M00265[e];1;0;1;0;0.0;0.0
EX_M00315[e];0;1;0;1;6.682460063951781e-267;7.169700164258054e-100
EX_M00341[e];0;0;0;0;5.278102906307581e-23;1.2261031315325739e-32
EX_M01197[e];0;1;0;1;0.0;0.0
EX_M01207[e];1;0;1;0;0.0;0.0
EX_M01235[e];0;1;0;1;0.0;0.0
EX_M01238[e];0;1;0;1;0.0;0.0
EX_M01582[e];1;0;1;0;0.0;0.0
EX_M02053[e];1;0;1;0;0.0;0.0
EX_M02457[e];0;1;0;1;0.0;1.207780466929952e-302
EX_M02613[e];0;0;0;0;0.005201812478218884;0.9628536019248118
EX_M02745[e];0;1;0;1;1.0349995326090089e-201;1.2650276972560713e-36
EX_M02956[e];1;0;1;0;0.0;0.0
EX_M03045[e];0;0;0;0;1.238775586323264e-30;0.006585328131681098
EX_M03051[e];0;0;0;0;4.655498912690567e-246;8.035738628187563e-205
EX_M03153[e];0;0;0;0;6.916230565887787e-116;6.0143072230805405e-27
EX_adrn[e];0;1;0;1;0.0;0.0
EX_arach[e];0;0;0;0;0.00016207637117530348;5.9455247247529754e-05
EX_arachd[e];1;0;1;0;0.0;0.0
