reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
12DHCHOLabc;0;0;0;0;1.1268151622357524e-48;1.4203263680638677e-61
12DHCHOLt;0;0;0;0;1.0637561830312773e-32;1.0982462108112819e-41
2HATVACIDteb;0;0;0;0;1.15205777537228e-09;0.1287946553781136
2HATVACIDtep;0;1;0;1;0.0;0.0
2HATVLACteb;0;0;0;0;6.830233252337332e-210;3.9546075048030614e-171
2HATVLACtep;0;0;0;0;1.4257844140299636e-148;7.159561361971443e-168
3DHCDCHOLabc;0;0;0;0;1.9273346163812247e-45;2.48775509748509e-53
3DHCDCHOLt;0;0;0;0;1.0180277307095306e-22;1.4025046852736347e-38
3DHCHOLabc;0;0;0;0;9.786732634396933e-32;1.0135257854143163e-10
3DHCHOLt;0;0;0;0;1.973258621352868e-33;4.684114128385379e-26
3DHDCAabc;0;0;0;0;5.114176030815411e-82;8.532154017159812e-45
3DHDCAt;0;0;0;0;8.022587964972451e-174;3.0936357172252365e-188
3DHLCAabc;0;0;0;0;8.022587964972451e-174;3.0936357172252365e-188
3DHLCAt;0;0;0;0;1.6976238293806437e-55;1.183862833308219e-71
3HPVSTETteb;0;0;0;0;1.6976238293806437e-55;1.183862833308219e-71
3HPVSTETtev;0;0;0;0;4.360993578486372e-30;2.488525292995943e-12
3HPVSteb;1;0;1;0;9.419282878121491e-60;8.509963299798709e-101
3HPVStep;0;0;0;0;4.789181219662019e-80;7.266709393273801e-107
3ISPVSteb;0;0;0;0;4.7302925646027616e-26;1.439806610143919e-15
3ISPVStep;0;0;0;0;3.41394e-319;4.140010726651487e-286
4HATVACIDteb;1;0;1;0;0.0;0.0
4HATVACIDtep;0;1;0;1;0.0;0.0
4HATVLACteb;0;0;0;0;6.906366814488428e-13;1.776303278441467e-12
4HATVLACtep;0;1;0;1;7.504251387903682e-115;1.124767185973063e-162
56DHPVSteb;0;0;0;0;8.790267026673734e-108;4.086555361721964e-147
56DHPVStev;0;1;0;1;0.0;1.5029812913439366e-279
56EPPVSteb;0;1;0;1;0.0;0.0
56EPPVStev;0;0;0;0;0.0037116707994585916;1.9664682632343677e-05
6EPSteb;0;0;0;0;0.0037116707994585916;1.9664682632343677e-05
6EPVStep;0;0;0;0;0.0037116707994585916;1.9664682632343677e-05
7DHCDCHOLabc;0;0;0;0;1.0682235462001337e-95;2.1691664679414023e-86
7DHCDCHOLt;1;0;1;0;0.0;0.0
7DHCHOLabc;1;0;1;0;0.0;0.0
7DHCHOLt;0;1;0;1;0.0;0.0
7HPVSteb;0;1;0;1;0.0;1.3444330424682789e-301
7HPVStev;0;1;0;1;0.0;1.6555035877807757e-158
7KILTCHOLATP;0;0;0;0;4.740895325332043e-205;2.5468427015076303e-80
7KLITCHOLc;1;0;1;0;0.0;0.0
ACCOAL;0;0;0;0;1.985537877838165e-11;0.0006369021987762242
ACMPGLUTtep;1;0;1;0;0.0;1.223608249957948e-134
ACMPGLUTthc;1;0;1;0;0.0;0.0
ACMPGLUtep;1;0;1;0;0.0;0.0
ACMPGLUthc;0;0;0;0;1.8296810855889734e-279;3.2672455032167604e-265
AMY2e;0;0;0;0;3.2505205878744777e-127;9.016982024169656e-117
BGAL1e;0;1;0;1;0.0;0.0
C03990ATP;0;0;0;0;0.0;0.0
C03990t;0;0;0;0;1.155336406009959e-103;3.0151094394691357e-09
C04483t1;1;0;1;0;0.0;0.0
C04483t2;0;0;0;0;9.786732634396933e-32;1.1142617488996894e-32
C05463t1;0;1;0;1;0.0;0.0
C05463t2;0;1;0;1;0.0;0.0
C05769te;0;0;0;0;2.0928003012334128e-15;3.8340453847958695e-08
C05769te3;0;0;0;0;1.9957486312263282e-206;4.023095396096407e-161
C05770te;1;0;1;0;0.0;0.0
C05770te4;1;0;1;0;0.0;0.0
CA3Sabc;1;0;1;0;0.0;0.0
CA3St;0;1;0;1;0.0;2.366559025428491e-301
CDCA24GSc;0;1;0;1;0.0;0.0
CDCA24Gte;0;0;0;0;3.5728872021296876e-35;0.8090154188048707
CDCA3GSc;0;1;0;1;0.0;0.0
CDCA3Gte;0;0;0;0;4.360993578486372e-30;1.0943167920249764e-09
CDS;0;0;0;0;2.1224300465573974e-106;1.4185628122127265e-128
CE1273t1;1;0;1;0;0.0;0.0
CE1273t2;1;0;1;0;0.0;0.0
CITtam;0;1;0;1;0.0;1.062391397493116e-295
COPROSTabc;1;0;1;0;1.3613331348461658e-143;6.51227888439542e-09
COPROSTt;0;0;0;0;0.0;0.0
CYOOm3i;0;1;0;1;0.0;0.0
DACT;1;0;1;0;0.0;6.000083686566466e-308
DCA24GSc;0;0;0;0;1.6756950455950886e-88;8.143124217382771e-87
DCA24Gte;0;1;0;1;0.0;3.342740105956896e-247
DCA3GSc;1;0;1;0;2.305526154335432e-162;3.0945578115324326e-13
DCA3Gte;0;1;0;1;0.0;0.0
DCA3Sabc;0;1;0;1;0.0;0.0
DCA3St;1;0;1;0;0.0;0.0
DCMPtr;1;0;1;0;0.0;2.0743853048459035e-147
DESAT18_3;0;1;0;1;0.0;0.0
DESAT18_4;0;1;0;1;0.0;0.0
DESAT18_5;0;1;0;1;3.6599033792277615e-305;9.171432646336607e-251
DESAT18_6;0;1;0;1;0.0;0.0
DESAT18_7;1;0;1;0;0.0;0.0
DESAT18_8;0;1;0;1;0.0;0.0
DGCHOLte;0;0;0;0;0.0;7.519025315822398e-269
DSPVSteb;0;1;0;1;0.0;0.0
DSPVStev;0;0;0;0;1.0180277307095306e-22;8.127946475795066e-26
DTMPKm;0;0;0;0;6.187389501064166e-199;3.5705155581582204e-177
DXTRNt;1;0;1;0;0.0;2.095859865089368e-278
EBP1r;0;0;0;0;9.287454270517154e-171;6.205537884869696e-161
EBP2r;0;0;0;0;2.7460857088910214e-11;2.262650929712374e-12
ETF;0;0;0;0;7.377724681208678e-70;4.72411339998941e-13
ETFQO;1;0;1;0;1.1152502561500849e-267;1.341778972726835e-80
EX_12HPET[e];1;0;1;0;3.0177762725757265e-221;8.194359059492039e-89
EX_23cump[e];0;1;0;1;0.0;0.0
EX_3ump[e];0;0;0;0;4.243304505639761e-17;3.6096652351793853e-16
EX_7klitchol[e];0;0;0;0;4.3784548025295427e-153;2.951830356009354e-152
EX_C02528[e];0;0;0;0;1.7412807716206526e-47;4.941613369425409e-13
EX_C04849[e];0;1;0;1;3.41394e-319;9.7916059973451e-293
EX_CE0074[e];0;0;0;0;2.800614855434563e-09;1.0839124369674102e-07
EX_CE2250[e];0;1;0;1;0.0;7.851290851348134e-308
EX_CE2510[e];1;0;1;0;0.0;0.0
EX_HC00955[e];0;0;0;0;1.7521486169055067e-28;4.645448835353718e-26
EX_HC01577[e];0;0;0;0;5.951708840999141e-71;6.7465023318629e-96
EX_HC01609[e];0;0;0;0;0.00015523462026847138;0.9331082172764121
EX_HC01610[e];0;0;0;0;1.0951762967751006e-71;1.9447920359720947e-61
EX_HC01700[e];0;1;0;1;0.0;9.13698694037853e-281
EX_HC02160[e];0;0;0;0;4.135116269307072e-110;6.102629915602506e-123
EX_HC02161[e];1;0;1;0;0.0;0.0
EX_HC02191[e];0;0;0;0;1.6219705037528677e-152;7.270429767648097e-137
EX_HC02194[e];0;1;0;1;0.0;0.0
EX_HC02195[e];0;0;0;0;6.906366814488428e-13;2.8434255122610187e-15
EX_HC02196[e];1;0;1;0;1.309776905473438e-278;3.8509385877512636e-126
EX_M00003[e];0;0;0;0;3.5411308402605224e-123;0.13329806152494753
EX_M00008[e];1;0;1;0;0.0;1.7011161921050414e-140
EX_M00010[e];0;0;0;0;1.1059646806607886e-124;0.020445018834941625
EX_M00017[e];0;0;0;0;1.7293098369940786e-78;4.147900878205747e-107
EX_M00019[e];0;0;0;0;6.339937304734239e-197;6.055114098801131e-185
EX_M00021[e];0;1;0;1;0.0;7.015026727502495e-282
EX_M00115[e];1;0;1;0;0.0;0.0
EX_M00117[e];1;0;1;0;0.0;2.1149631567923616e-258
EX_M00260[e];0;1;0;1;0.0;0.0
EX_M00265[e];1;0;1;0;5.956768538674068e-182;3.0210750567904948e-27
EX_M00315[e];0;1;0;1;1.0385393839456425e-108;1.8899042317725105e-130
EX_M00341[e];0;0;0;0;4.591334166426854e-19;2.222023588040397e-11
EX_M01197[e];0;0;0;0;5.224181127322149e-11;3.642360156917604e-07
EX_M01207[e];1;0;1;0;1.4319963963409902e-104;2.524708018013897e-126
EX_M01235[e];1;0;1;0;0.0;0.0
EX_M01238[e];0;0;0;0;3.051664308456699e-16;1.6313992056496977e-12
EX_M01582[e];0;1;0;1;0.0;1.3341109875269786e-303
EX_M02053[e];1;0;1;0;3.416818020195348e-99;9.122957688930121e-95
EX_M02457[e];0;1;0;1;0.0;4.6802870926449257e-271
EX_M02613[e];0;0;0;0;1.9155459556457793e-244;1.3799136878629146e-65
EX_M02745[e];0;1;0;1;0.0;0.0
EX_M02956[e];1;0;1;0;0.0;2.3140421736028037e-235
EX_M03045[e];1;0;1;0;1.9507361645642486e-97;2.30089058412121e-149
EX_M03051[e];0;0;0;0;2.0026794603243976e-58;9.505588679678831e-52
EX_M03153[e];1;0;1;0;0.0;4.581783981991744e-178
EX_adrn[e];1;0;1;0;0.0;5.577849044049537e-205
EX_arach[e];0;1;0;1;0.0;0.0
EX_arachcoa[e];0;0;0;0;1.1161465147842591e-35;4.5527681405048235e-09
