reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
AACTte;0;1;0;1;0.0;0.0
ALAyLATthc;0;1;0;1;0.0;0.0
AMY2e;0;1;0;1;0.0;0.0
ASNATB0tc;0;0;0;0;5.822520376142938e-247;5.382210278105838e-233
C181CPT2rbc;0;1;0;1;0.0;0.0
CRNATBtc;0;1;0;1;0.0;0.0
CYOOm3i;1;0;1;0;0.0;0.0
CYSSNAT5tc;0;1;0;1;0.0;0.0
DCMPtr;0;1;0;1;0.0;0.0
ELAIDCRNtr;0;1;0;1;0.0;0.0
ETF;1;0;1;0;0.0;0.0
ETFQO;1;0;1;0;0.0;0.0
EX_12HPET[e];1;0;1;0;0.0;1.5479989798630757e-300
EX_4abutn[e];1;0;1;0;0.0;1.2197135456479666e-264
EX_C04849[e];0;1;0;1;0.0;0.0
EX_CE0074[e];0;1;0;1;0.0;1.3055006810517923e-306
EX_CE1935[e];1;0;1;0;0.0;0.0
EX_CE1939[e];1;0;1;0;0.0;0.0
EX_CE1940[e];0;1;0;1;0.0;0.0
EX_CE1943[e];0;1;0;1;0.0;0.0
EX_CE2510[e];0;1;0;1;0.0;0.0
EX_CE5786[e];1;0;1;0;3.442998583061769e-271;9.650774201423989e-82
EX_CE5787[e];0;0;0;0;1.04214964289544e-65;3.425916180976198e-13
EX_CE5791[e];0;1;0;1;0.0;0.0
EX_HC01609[e];1;0;1;0;0.0;0.0
EX_HC01610[e];0;1;0;1;0.0;0.0
EX_HC01939[e];0;0;1;0;7.845686992581339e-123;0.1387495560384952
EX_HC02213[e];1;0;1;0;7.845686992581339e-123;2.1117880872704183e-09
EX_M00003[e];0;0;0;0;3.74364130625724e-52;4.576861305537186e-64
EX_M00008[e];0;1;0;1;0.0;0.0
EX_M00010[e];0;0;0;0;7.037124720364216e-128;2.432392585261252e-148
EX_M00017[e];0;0;0;0;8.560264935348688e-41;5.421552330477793e-58
EX_M00019[e];0;0;0;0;0.0;0.0
EX_M00021[e];0;1;0;1;0.0;0.0
EX_M00115[e];0;1;0;1;0.0;0.0
EX_M00117[e];0;0;0;0;0.0;1.874781065544502e-263
