reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
ACCOAL;0;0;0;0;8.376840003385505e-79;1.824438176483847e-91
AMY2e;0;0;0;0;2.2613992948860245e-86;3.5577181518689587e-88
BGAL1e;0;0;0;0;7.376791486495709e-182;1.3292408379009128e-168
BUTt2r;1;0;1;0;0.0;0.0
CITtam;1;0;1;0;0.0;1.614597331006631e-284
CYSSNAT5tc;0;0;0;0;0.0;0.0
DACT;0;1;0;1;0.0;0.0
DESAT18_5;0;0;0;0;0.0;0.0
EBP1r;0;1;0;1;0.0;9.24600771155644e-301
EBP2r;0;1;0;1;0.0;0.0
ETF;0;1;0;1;0.0;0.0
ETFQO;0;1;0;1;0.0;0.0
EX_12HPET[e];0;0;0;0;0.0;6.434667197915142e-300
EX_23cump[e];0;1;0;1;0.0;0.0
EX_3ump[e];1;0;1;0;0.0;0.0
EX_C04849[e];1;0;1;0;0.0;0.0
EX_CE0074[e];0;0;1;0;1.3478221482529607e-123;0.09854039443836453
EX_CE2510[e];0;1;0;1;0.0;0.0
EX_HC00822[e];0;1;0;1;1.7184032329771236e-195;6.362133519939033e-38
EX_HC01609[e];0;0;0;0;2.9528838889684015e-89;1.6248645200788003e-37
EX_HC01610[e];1;0;1;0;0.0;0.0
EX_HC02160[e];0;1;0;1;0.0;0.0
EX_HC02161[e];0;1;0;1;0.0;0.0
EX_M00003[e];0;1;0;1;3.53576281507761e-129;0.01596449168373523
EX_M00008[e];0;1;0;1;1.0508949271721934e-145;8.714989260341971e-07
EX_M00010[e];0;0;0;0;4.8263582078200075e-149;2.04841577215064e-166
EX_M00017[e];1;0;1;0;0.0;0.0
EX_M00019[e];1;0;1;0;2.503466008e-314;7.826204623042049e-116
EX_M00021[e];1;0;1;0;2.503466008e-314;7.826204623042049e-116
EX_M00115[e];1;0;1;0;3.26358926e-316;5.579532312102265e-253
EX_M00117[e];1;0;1;0;0.0;0.0
EX_M00234[e];1;0;1;0;0.0;0.0
EX_M00260[e];0;1;0;1;0.0;0.0
EX_M00265[e];0;0;0;0;1.6822156885339896e-225;6.11789601528292e-109
EX_M00315[e];1;0;1;0;0.0;6.65969008507075e-259
EX_M00341[e];0;0;0;0;0.005851342777221581;0.0453969527140865
EX_M00503[e];0;0;0;0;0.0;0.0
EX_M01197[e];0;1;0;1;0.0;0.0
EX_M01207[e];0;0;0;0;8.768202496402209e-141;1.0333095243401602e-149
EX_M01235[e];1;0;1;0;0.0;0.0
EX_M01238[e];0;0;0;0;8.772658447722669e-277;2.709849140031763e-226
EX_M01582[e];0;0;0;0;7.232416518952079e-15;4.5895962880689814e-20
EX_M01807[e];0;0;0;0;1.4108879570346108e-203;4.845412305235241e-187
EX_M02053[e];0;0;0;0;3.751001084692057e-54;8.294811109462125e-42
EX_M02457[e];0;0;0;0;0.009517545373510296;0.0018437289983187887
EX_M02613[e];0;0;0;0;1.466750145319181e-258;2.0254590332314656e-170
EX_M02745[e];0;0;0;0;2.7565774407983806e-21;4.121183181648762e-15
EX_M02956[e];1;0;1;0;0.0;0.0
EX_M03045[e];1;0;1;0;0.0;0.0
EX_M03051[e];0;0;0;0;0.0;6.337148884146822e-297
EX_M03153[e];0;0;0;0;9.916495683721938e-51;6.934664028347772e-45
EX_adrn[e];0;0;0;0;2.5184041670736964e-141;5.966203152599972e-18
EX_arach[e];0;1;0;1;0.0;0.0
EX_arachd[e];0;1;0;1;0.0;0.0
EX_atp[e];0;0;0;0;2.3711238075656286e-60;0.0027983190305953206
EX_clpnd[e];0;0;0;0;0.0;6.965213437704188e-268
EX_crvnc[e];1;0;1;0;0.0;0.0
EX_dcsptn1[e];1;0;1;0;0.0;0.0
EX_ddca[e];1;0;1;0;1.7381580313260417e-278;1.0395544353944137e-87
EX_dgmp[e];0;0;0;0;1.9260308777259257e-26;1.1348383875902156e-34
EX_dgtp[e];0;0;0;0;0.0;0.0
EX_dlnlcg[e];0;1;0;1;1.7755837211216375e-300;4.959857191470254e-105
EX_doco13ac[e];0;1;0;1;0.0;0.0
EX_docosac[e];0;0;0;0;3.712152225760184e-196;2.3854810907763468e-186
EX_eicostet[e];0;0;0;0;3.2460873238128746e-202;3.284537457622891e-54
EX_elaid[e];0;1;0;1;0.0;0.0
EX_fmn[e];0;0;1;0;1.6851223776986626e-110;0.9541554524519164
EX_galgluside_hs[e];0;1;0;1;6.440898050997769e-282;4.254237657710932e-111
EX_gluside_hs[e];1;0;1;0;0.0;1.2031374085512366e-144
EX_glygn2[e];1;0;1;0;0.0;0.0
EX_glygn4[e];0;1;0;1;1.3889650410789e-310;7.453463821517981e-121
EX_h2co3[e];1;0;1;0;0.0;0.0
EX_hdca[e];0;0;0;0;1.819409538936943e-18;2.8728509489567814e-14
EX_hdcea[e];0;0;0;0;0.0;3.37110653833761e-286
EX_hexc[e];1;0;1;0;0.0;0.0
EX_hpdca[e];1;0;1;0;0.0;0.0
EX_lgnc[e];0;0;0;0;7.424196197788239e-16;5.393253375279917e-21
EX_lneldc[e];0;1;0;1;1.3809780769938605e-175;1.0330790511203706e-20
EX_lnlncg[e];0;0;0;0;5.003544729491176e-137;6.5299914775667826e-133
EX_nrvnc[e];1;0;1;0;0.0;3.237379685805652e-307
EX_ocdca[e];0;0;0;0;5.769086342427726e-136;1.563304848796706e-156
EX_ocdcea[e];0;0;0;0;4.952812367128162e-110;1.2024923958263085e-125
EX_phpy;1;0;1;0;0.0;0.0
EX_ppi[e];1;0;1;0;0.0;8.99901639894528e-309
EX_prpp[e];0;1;0;1;0.0;0.0
EX_pse;0;0;0;0;6.135622275516839e-25;1.3718287754201881e-28
EX_ptdca[e];1;0;1;0;0.0;0.0
EX_ptrc[e];0;0;0;0;1.3809780769938605e-175;2.7853532201153565e-199
EX_strdnc[e];0;0;0;0;1.199077552443678e-118;8.720443947117135e-125
EX_tag_hs[e];0;0;0;0;7e-323;2.1902868744562455e-249
EX_tethex3[e];0;1;0;1;1.3580939874522726e-180;1.8727709742168362e-70
EX_tetpent3[e];0;0;0;0;2.504326800535864e-94;0.6881417825910966
EX_tetpent6[e];0;0;0;0;4.161992508718213e-121;1.3340979851359143e-20
EX_tettet6[e];0;0;0;0;1.199077552443678e-118;0.0005562293506523475
EX_tmndnc[e];0;1;0;1;0.0;4.933192523810009e-251
EX_ttdca[e];0;0;0;0;2.5592853364504158e-27;7.179857657729933e-24
EX_ttdcea[e];1;0;1;0;1.2042758931488737e-283;2.512840240875369e-104
EX_vacc[e];0;1;0;1;0.0;4.9721123651778876e-247
FACOAL1813;0;0;0;0;1.254097006210259e-119;9.47366167843118e-05
FMNALKPle;0;0;0;0;4.075715153694914e-126;4.495391949001298e-05
FOLABCCte;1;0;1;0;7.059634596342907e-191;6.068184118004896e-30
G6PDH2c;1;0;1;0;2.278575874931859e-251;2.9767436556575574e-97
GLDBRAN;0;0;0;0;1.144125758530288e-43;0.5105779279188079
H2OGLYAQPt;0;0;0;0;7.54918778107528e-09;0.3559684502090464
HMR_0001;0;1;0;1;3.1181462848998796e-226;2.695338888127334e-66
HMR_0003;0;1;0;1;0.0;0.0
HMR_0006;1;0;1;0;1.7503951606323974e-148;9.517408994730411e-158
HMR_0015;0;1;0;1;2.7705203418289188e-155;5.768385976062864e-12
HMR_0025;1;0;1;0;1.873122623647135e-177;4.620268271741684e-24
HMR_0030;1;0;1;0;7.614017713458557e-193;3.722181704386395e-45
HMR_0031;1;0;1;0;0.0;0.0
HMR_0032;1;0;1;0;0.0;1.3166953160642607e-147
HMR_0153;0;0;0;0;3.870445058153581e-83;4.217392071478616e-86
HMR_0154;1;0;1;0;0.0;0.0
HMR_0155;0;0;0;0;5.0242315663028e-61;1.6341146597336953e-50
HMR_0187;0;0;0;0;2.2033348782981715e-19;0.0005244295953383277
HMR_0188;0;0;0;0;7.453767767670823e-134;3.1520572719064034e-154
HMR_0189;0;0;0;0;3.2950477135764067e-130;0.0025179576777784214
HMR_0190;0;0;0;0;4.516976305810193e-22;1.4814059826235785e-24
HMR_0192;0;1;0;1;0.0;0.0
HMR_0193;1;0;1;0;0.0;3.414962560519198e-175
HMR_0196;0;1;0;1;2.213573496562704e-285;1.223874216548815e-104
HMR_0197;0;0;0;0;1.9473823825662797e-247;4.3180287315223e-214
HMR_0200;0;0;0;0;0.0;6.446203688461554e-277
HMR_0201;0;1;0;1;0.0;0.0
HMR_0204;1;0;1;0;1.0382586323880553e-154;1.4777562047337373e-11
HMR_0206;0;0;0;0;1.1061960311940482e-102;1.6940460409580073e-97
HMR_0209;1;0;1;0;1.6366011830854597e-284;5.8343915034393355e-102
HMR_0210;0;1;0;1;1.2259771079698105e-167;1.540161038168072e-15
HMR_0213;0;1;0;1;5.767858415953316e-227;2.5200320149746993e-49
HMR_0214;0;0;0;0;0.0;2.0250873860112197e-219
HMR_0217;1;0;1;0;0.0;1.1151146810929555e-272
HMR_0223;0;1;0;1;0.0;0.0
HMR_0226;0;1;0;1;1.466750145319181e-258;3.4594576309969656e-81
HMR_0230;0;0;0;0;3.870445058153581e-83;0.00041307440372099146
HMR_0233;0;1;0;1;2.7250127888209865e-213;1.2809377284276735e-42
HMR_0234;1;0;1;0;3.9841806433555827e-287;1.1107424985945786e-93
HMR_0237;0;0;0;0;1.873122623647135e-177;7.876302587069161e-35
HMR_0238;1;0;1;0;0.0;8.621224328484221e-195
