subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;2442;1;0;1;0
Drug metabolism;430;0;1;0;1
Eicosanoid metabolism;38;0;0;0;0
Valine, leucine, and isoleucine metabolism;18;0;0;0;0
Ubiquinone synthesis;8;0;0;0;0
Phenylalanine metabolism;6;0;0;0;0
Histidine metabolism;7;0;0;0;0
Alanine, aspartate and glutamate metabolism;11;0;1;0;1
Fatty acid oxidation;211;0;0;0;0
Pentose phosphate pathway;24;1;1;1;1
Glycine, serine and threonine metabolism;15;0;0;0;0
Lysine metabolism;16;0;0;0;0
Tyrosine metabolism;36;0;0;0;0
Purine metabolism;65;1;1;1;1
Starch and sucrose metabolism;9;1;1;1;1
Dietary fiber binding;13;0;1;0;1
ROS detoxification;8;0;1;0;1
Glycerophospholipid metabolism;40;0;0;0;0
Sphingolipid metabolism;23;0;0;0;0
Fatty acid biosynthesis;58;0;1;0;1
Cholesterol metabolism;22;0;0;0;0
N-glycan metabolism;32;0;0;0;0
CoA synthesis;3;0;1;0;1
Pyrimidine metabolism;44;0;1;0;1
Steroid metabolism;13;0;0;0;0
Exchange/demand reactions;1650;0;0;0;0
Miscellaneous;58;0;0;0;0
Acylglycerides metabolism;10;0;0;0;0
Pool reactions;47;0;0;0;0
Fatty acid activation (cytosolic);62;1;0;1;0
Carnitine shuttle (cytosolic);14;0;1;0;1
Acyl-CoA hydrolysis;4;0;0;0;0
Glycerolipid metabolism;65;1;0;1;0
Fructose and mannose metabolism;8;0;0;0;0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;32;0;0;0;0
Nicotinate and nicotinamide metabolism;12;0;1;0;1
Glycosphingolipid biosynthesis-globo series;3;0;1;0;1
Glycosphingolipid metabolism;9;0;0;0;0
Arachidonic acid metabolism;56;0;0;0;0
Artificial reactions;19;0;0;0;0
Bile acid biosynthesis;71;0;0;0;0
Leukotriene metabolism;75;0;0;0;0
Prostaglandin biosynthesis;56;0;0;0;0
Butanoate metabolism;4;0;0;0;0
Cholesterol biosynthesis 2;2;0;0;0;0
Pyruvate metabolism;19;0;0;0;0
Bile acid recycling;7;0;0;0;0
Estrogen metabolism;47;0;0;0;0
Vitamin D metabolism;27;1;0;1;0
Fatty acid biosynthesis (even-chain);29;1;1;1;1
Fatty acid elongation (even-chain);21;0;0;0;0
Fatty acid biosynthesis (odd-chain);30;0;1;0;1
Fatty acid desaturation (even-chain);13;1;0;1;0
Fatty acid desaturation (odd-chain);3;0;1;0;1
Fatty acid biosynthesis (unsaturated);33;0;1;0;1
Omega-6 fatty acid metabolism;34;0;0;0;0
Linoleate metabolism;23;0;0;0;0
Omega-3 fatty acid metabolism;57;0;0;0;0
Fatty acid activation (endoplasmic reticular);4;1;0;1;0
