subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;2198;1;0;1;0
Drug metabolism;405;0;0;0;0
Valine, leucine, and isoleucine metabolism;18;0;0;0;0
Ubiquinone synthesis;8;0;0;0;0
Phenylalanine metabolism;6;0;0;0;0
Histidine metabolism;12;0;0;0;0
Alanine, aspartate and glutamate metabolism;10;0;0;0;0
Fatty acid oxidation;237;0;0;0;0
Pentose phosphate pathway;21;1;0;1;0
Lysine metabolism;23;0;0;0;0
Tyrosine metabolism;38;0;0;0;0
Purine metabolism;74;1;0;1;0
Starch and sucrose metabolism;9;0;1;0;1
Peptide metabolism;243;0;0;0;0
Sphingolipid metabolism;31;0;0;0;0
Dietary fiber binding;13;0;1;0;1
Hippurate metabolism;3;1;0;1;0
ROS detoxification;8;0;0;0;0
Glycerophospholipid metabolism;36;0;0;0;0
Fatty acid biosynthesis;63;1;1;1;1
Cholesterol metabolism;40;0;0;0;0
N-glycan metabolism;36;0;0;0;0
CoA synthesis;3;1;0;1;0
Pyrimidine metabolism;40;1;1;1;1
Steroid metabolism;17;0;0;0;0
Exchange/demand reactions;1650;0;0;0;0
Miscellaneous;64;0;0;0;0
Glycine, serine and threonine metabolism;16;0;0;0;0
Acylglycerides metabolism;12;0;0;0;0
Pool reactions;46;0;0;0;0
Fatty acid activation (cytosolic);63;1;1;1;1
Carnitine shuttle (cytosolic);12;0;1;0;1
Acyl-CoA hydrolysis;4;1;0;1;0
Glycerolipid metabolism;65;1;0;1;0
Fructose and mannose metabolism;12;0;0;0;0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;34;0;0;0;0
Nicotinate and nicotinamide metabolism;15;0;1;0;1
Glycosphingolipid metabolism;10;0;0;0;0
Glycosphingolipid biosynthesis-globo series;2;1;0;1;0
Arachidonic acid metabolism;62;0;0;0;0
Artificial reactions;19;0;0;0;0
Bile acid biosynthesis;75;0;0;0;0
Leukotriene metabolism;92;0;0;0;0
Prostaglandin biosynthesis;55;0;0;0;0
Butanoate metabolism;5;0;0;0;0
Cholesterol biosynthesis 1 (Bloch pathway) ;19;0;0;0;0
Cholesterol biosynthesis 2;5;0;1;0;1
Pyruvate metabolism;16;0;0;0;0
Glucocorticoid biosynthesis;2;0;1;0;1
Estrogen metabolism;57;0;0;0;0
Vitamin D metabolism;24;0;1;0;1
