subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;818;1;1;1;1
Ubiquinone synthesis;11;0;1;0;1
Starch and sucrose metabolism;11;0;1;0;1
Fatty acid oxidation;154;0;0;0;0
Cholesterol metabolism;32;0;0;0;0
Glycerophospholipid metabolism;67;1;0;1;0
Oxidative phosphorylation;11;1;0;1;0
Fatty acid biosynthesis;41;0;0;1;0
Exchange/demand reactions;428;1;0;1;0
Heme synthesis;3;0;1;0;1
Sphingolipid metabolism;30;1;0;1;0
Pentose phosphate pathway;26;0;0;0;0
Acylglycerides metabolism;21;1;0;1;0
Pool reactions;13;0;0;0;0
Acyl-CoA hydrolysis;3;0;0;0;0
Fatty acid activation (cytosolic);68;0;1;0;1
Glycerolipid metabolism;74;0;0;0;0
Inositol phosphate metabolism;56;0;0;0;0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;37;0;1;0;1
Glycosphingolipid biosynthesis-globo series;4;0;0;0;0
Arachidonic acid metabolism;71;0;0;0;0
Artificial reactions;7;1;0;1;0
Steroid metabolism;14;0;0;0;0
Leukotriene metabolism;71;0;0;0;0
Prostaglandin biosynthesis;24;0;0;0;0
Butanoate metabolism;4;0;0;0;0
Cholesterol biosynthesis 1 (Bloch pathway) ;19;0;0;0;0
Cholesterol biosynthesis 2;4;0;1;0;1
Bile acid biosynthesis;84;1;0;1;0
Androgen metabolism;11;0;0;0;0
Vitamin D metabolism;17;0;1;0;1
Fatty acid elongation (even-chain);21;0;0;0;0
Fatty acid biosynthesis (odd-chain);30;0;1;0;1
Fatty acid elongation (odd-chain);13;0;1;0;1
Fatty acid desaturation (even-chain);13;0;1;0;1
Fatty acid desaturation (odd-chain);3;0;0;0;0
Fatty acid biosynthesis (unsaturated);33;0;0;0;0
Omega-6 fatty acid metabolism;34;0;0;0;0
Omega-3 fatty acid metabolism;57;0;0;0;0
Carnitine shuttle (cytosolic);30;0;0;0;0
Carnitine shuttle (mitochondrial);62;1;1;1;1
Beta oxidation of even-chain fatty acids (peroxisomal);2;0;0;0;0
Beta oxidation of odd-chain fatty acids (peroxisomal);2;0;0;0;0
Beta oxidation of even-chain fatty acids (mitochondrial);28;0;1;0;1
Beta oxidation of odd-chain fatty acids (mitochondrial);36;0;1;0;1
Propanoate metabolism;15;1;0;1;0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);13;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);15;1;0;1;0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);13;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal);5;0;0;0;0
Alanine, aspartate and glutamate metabolism;18;0;0;0;0
Arginine and proline metabolism;28;0;0;0;0
Glycine, serine and threonine metabolism;21;0;1;0;1
Pyruvate metabolism;25;0;1;0;1
Pantothenate and CoA biosynthesis;14;0;0;0;0
Cysteine and methionine metabolism;18;0;0;0;0
Glycolysis / Gluconeogenesis;34;1;0;1;0
Folate metabolism;36;0;0;0;0
Pyrimidine metabolism;52;1;1;1;1
Glutathione metabolism;17;1;0;1;0
Galactose metabolism;9;0;0;0;0
Miscellaneous;31;0;0;0;0
ROS detoxification;8;0;1;0;1
Nucleotide metabolism;98;0;0;0;0
Porphyrin metabolism;13;0;0;0;0
Purine metabolism;79;1;1;1;1
Vitamin B6 metabolism;5;0;0;0;0
Fatty acid biosynthesis (even-chain);2;0;1;0;1
Amino sugar and nucleotide sugar metabolism;20;0;0;0;0
Biopterin metabolism;23;0;0;0;0
Thiamine metabolism;5;0;0;0;0
Nicotinate and nicotinamide metabolism;22;0;0;0;0
Fructose and mannose metabolism;10;1;0;1;0
Pentose and glucuronate interconversions;10;1;0;1;0
Beta-alanine metabolism;8;0;0;0;0
Aminoacyl-tRNA biosynthesis;21;0;1;0;1
Protein assembly;7;0;0;0;0
Protein degradation;8;0;0;0;0
Histidine metabolism;10;0;0;0;0
Vitamin E metabolism;28;0;1;0;1
Riboflavin metabolism;5;0;0;0;0
Retinol metabolism;47;0;1;0;1
Phenylalanine, tyrosine and tryptophan biosynthesis;48;0;0;0;0
Terpenoid backbone biosynthesis;6;0;1;0;1
Lysine metabolism;12;0;1;0;1
Ether lipid metabolism;8;0;0;0;0
Protein modification;6;0;0;0;0
Tyrosine metabolism;23;1;0;1;0
Eicosanoid metabolism;15;0;0;0;0
Tryptophan metabolism;6;0;0;0;0
Vitamin B12 metabolism;4;0;1;0;1
Isolated;13;0;0;0;0
Xenobiotics metabolism;56;0;0;0;0
Vitamin A metabolism;6;0;1;0;1
CoA synthesis;2;1;0;1;0
Drug metabolism;64;0;0;0;0
Valine, leucine, and isoleucine metabolism;7;0;0;0;0
;3;0;0;0;0
N-glycan metabolism;34;0;0;0;0
Exchange;2;0;0;0;0
Glycosphingolipid metabolism;11;0;0;0;0
Glycosphingolipid biosynthesis-ganglio series;6;0;0;0;0
Glycosphingolipid biosynthesis-lacto and neolacto series;7;0;0;0;0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial);4;0;0;0;0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);14;0;0;0;0
Bile acid recycling;8;0;0;0;0
Estrogen metabolism;52;0;0;0;0
Linoleate metabolism;10;0;0;0;0
Carnitine shuttle (endoplasmic reticular);3;0;0;0;0
Fatty acid activation (endoplasmic reticular);56;0;0;0;0
Beta oxidation of phytanic acid (peroxisomal);3;1;0;1;0
Formation and hydrolysis of cholesterol esters;130;0;0;0;0
Serotonin and melatonin biosynthesis;7;0;0;0;0
Ascorbate and aldarate metabolism;4;0;0;0;0
Metabolism of other amino acids;2;0;0;0;0
O-glycan metabolism;5;0;0;0;0
Keratan sulfate degradation;72;0;0;0;0
Keratan sulfate biosynthesis;5;0;0;0;0
Chondroitin sulfate degradation;37;0;0;0;0
Heparan sulfate degradation;4;0;0;0;0
Blood group biosynthesis;2;0;0;0;0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;2;0;0;0;0
Heme degradation;2;0;0;0;0
Phenylalanine metabolism;2;1;0;1;0
Urea cycle;2;0;0;0;0
