subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;1325;1;0;1;0
Eicosanoid metabolism;14;0;0;0;0
Valine, leucine, and isoleucine metabolism;7;0;0;0;0
Propanoate metabolism;9;0;0;0;0
Phenylalanine metabolism;5;0;0;0;0
Drug metabolism;54;0;0;0;0
Histidine metabolism;2;0;1;0;1
Fatty acid oxidation;125;0;0;0;0
Pentose phosphate pathway;14;0;0;0;0
Lysine metabolism;16;0;0;0;0
Bile acid biosynthesis;10;0;0;0;0
Starch and sucrose metabolism;3;0;0;0;0
Sphingolipid metabolism;15;0;0;0;0
Pyrimidine metabolism;45;0;0;0;0
Cholesterol metabolism;49;0;0;0;0
ROS detoxification;7;0;0;0;0
Glycerophospholipid metabolism;35;0;0;0;0
Fatty acid biosynthesis;38;0;0;0;0
N-glycan metabolism;9;0;0;0;0
Tyrosine metabolism;6;0;0;0;0
Exchange/demand reactions;431;0;1;0;1
Miscellaneous;28;0;0;0;0
Glycine, serine and threonine metabolism;18;0;0;0;0
Dietary fiber binding;3;0;0;0;0
Pool reactions;11;0;0;0;0
Fatty acid activation (cytosolic);63;0;0;0;0
Acyl-CoA hydrolysis;2;0;1;0;1
Glycerolipid metabolism;68;0;0;0;0
Inositol phosphate metabolism;29;0;0;0;0
Acylglycerides metabolism;5;0;0;0;0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;37;0;0;0;0
Nicotinate and nicotinamide metabolism;12;0;0;0;0
Glycosphingolipid biosynthesis-globo series;3;0;0;0;0
Glycosphingolipid metabolism;8;0;0;0;0
Arachidonic acid metabolism;9;0;0;0;0
Ether lipid metabolism;3;1;0;1;0
Leukotriene metabolism;44;0;1;0;1
Prostaglandin biosynthesis;16;0;0;0;0
Butanoate metabolism;5;0;0;0;0
Cholesterol biosynthesis 1 (Bloch pathway) ;28;1;0;1;0
Cholesterol biosynthesis 2;5;0;0;0;0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);17;0;1;0;1
Steroid metabolism;7;0;0;0;0
Estrogen metabolism;4;0;1;0;1
Vitamin D metabolism;19;0;0;0;0
Fatty acid elongation (even-chain);21;0;0;0;0
Fatty acid elongation (odd-chain);13;0;0;0;0
Fatty acid desaturation (even-chain);13;0;0;0;0
Fatty acid desaturation (odd-chain);3;0;0;0;0
Fatty acid biosynthesis (unsaturated);33;0;0;0;0
Omega-6 fatty acid metabolism;36;0;0;0;0
Linoleate metabolism;11;0;0;0;0
Omega-3 fatty acid metabolism;37;1;0;1;0
Carnitine shuttle (cytosolic);8;0;0;0;0
Carnitine shuttle (mitochondrial);17;0;0;0;0
Fatty acid activation (endoplasmic reticular);55;0;1;0;1
Beta oxidation of even-chain fatty acids (mitochondrial);27;0;0;0;0
Tryptophan metabolism;6;0;0;0;0
Beta oxidation of odd-chain fatty acids (mitochondrial);17;0;1;0;1
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);14;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);10;0;0;0;0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);20;0;0;0;0
Beta oxidation of phytanic acid (peroxisomal);3;0;0;0;0
Formation and hydrolysis of cholesterol esters;163;0;1;0;1
Alanine, aspartate and glutamate metabolism;14;0;0;0;0
Arginine and proline metabolism;32;0;0;0;0
Sulfur metabolism;4;0;0;0;0
Pyruvate metabolism;20;0;0;0;0
Glutathione metabolism;11;0;0;0;0
Pantothenate and CoA biosynthesis;12;0;0;0;0
Cysteine and methionine metabolism;20;0;0;0;0
Glycolysis / Gluconeogenesis;25;0;0;0;0
Galactose metabolism;10;0;0;0;0
Nucleotide metabolism;77;0;0;0;0
Folate metabolism;25;0;0;0;0
Oxidative phosphorylation;8;1;0;1;0
Porphyrin metabolism;12;0;0;0;0
Purine metabolism;65;0;0;0;0
Thiamine metabolism;4;0;0;0;0
Fructose and mannose metabolism;4;0;0;0;0
Amino sugar and nucleotide sugar metabolism;18;0;0;0;0
Biopterin metabolism;9;0;0;0;0
Serotonin and melatonin biosynthesis;4;0;0;0;0
Pentose and glucuronate interconversions;10;0;0;0;0
Beta-alanine metabolism;3;0;0;0;0
Aminoacyl-tRNA biosynthesis;21;0;1;0;1
Protein assembly;6;0;0;0;0
Protein degradation;5;0;0;0;0
Ascorbate and aldarate metabolism;6;0;0;0;0
Lipoic acid metabolism;2;0;0;0;0
Vitamin E metabolism;24;0;0;0;0
Riboflavin metabolism;4;0;0;0;0
Retinol metabolism;43;0;0;0;0
Phenylalanine, tyrosine and tryptophan biosynthesis;10;0;1;0;1
Keratan sulfate degradation;2;0;1;0;1
O-glycan metabolism;3;0;0;0;0
Chondroitin sulfate degradation;23;1;0;1;0
Protein modification;3;0;0;0;0
C5-branched dibasic acid metabolism;5;0;0;0;0
Isolated;7;0;0;0;0
Xenobiotics metabolism;2;0;1;0;1
Artificial reactions;7;0;0;0;0
Vitamin A metabolism;3;0;0;0;0
Urea cycle;2;0;1;0;1
Phosphatidylinositol phosphate metabolism;3;0;0;0;0
Heme degradation;2;0;1;0;1
;3;0;0;0;0
Heme synthesis;3;0;0;0;0
Fatty acid biosynthesis (even-chain);29;1;0;1;0
Fatty acid biosynthesis (odd-chain);30;1;0;1;0
Vitamin B6 metabolism;3;0;0;0;0
Vitamin B12 metabolism;4;0;0;0;0
CoA synthesis;2;0;0;0;0
