subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;875;1;1;1;1
Drug metabolism;53;0;0;0;0
Bile acid biosynthesis;70;0;0;0;0
Propanoate metabolism;10;0;0;0;0
Starch and sucrose metabolism;10;0;0;0;0
Sphingolipid metabolism;29;0;0;0;0
Glycerophospholipid metabolism;47;0;0;0;0
Oxidative phosphorylation;9;0;1;0;1
Tyrosine metabolism;17;0;0;0;0
Fatty acid biosynthesis;50;0;0;0;0
Pyrimidine metabolism;49;0;0;0;0
Cholesterol metabolism;38;0;0;0;0
Fatty acid oxidation;172;0;0;0;0
Exchange/demand reactions;398;1;1;1;1
Miscellaneous;27;0;0;0;0
Pentose phosphate pathway;25;0;0;0;0
Acylglycerides metabolism;17;0;0;0;0
Pool reactions;9;0;0;0;0
Acyl-CoA hydrolysis;61;1;0;1;0
Fatty acid activation (cytosolic);60;0;1;0;1
Glycerolipid metabolism;67;0;0;0;0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;36;0;1;0;1
Glycosphingolipid biosynthesis-ganglio series;9;0;0;0;0
Steroid metabolism;13;0;0;0;0
Arachidonic acid metabolism;71;0;0;0;0
Leukotriene metabolism;86;0;0;0;0
Pyruvate metabolism;21;0;0;0;0
Bile acid recycling;11;1;0;1;0
Fatty acid biosynthesis (even-chain);29;0;0;0;0
Fatty acid elongation (even-chain);21;0;0;0;0
Fatty acid desaturation (even-chain);13;0;1;0;1
Carnitine shuttle (cytosolic);31;1;1;1;1
Carnitine shuttle (mitochondrial);56;1;1;1;1
Beta oxidation of even-chain fatty acids (mitochondrial);41;0;1;0;1
Valine, leucine, and isoleucine metabolism;17;0;0;0;0
Alanine, aspartate and glutamate metabolism;16;0;0;0;0
Glycine, serine and threonine metabolism;18;0;0;0;0
Glutathione metabolism;17;1;0;1;1
Glycolysis / Gluconeogenesis;30;1;1;1;1
Folate metabolism;52;0;0;0;0
Galactose metabolism;12;0;1;0;1
ROS detoxification;7;0;1;0;1
Nucleotide metabolism;96;0;0;0;0
Porphyrin metabolism;11;0;0;0;0
Nicotinate and nicotinamide metabolism;15;0;0;0;0
Purine metabolism;75;1;1;1;1
Biopterin metabolism;12;0;0;0;0
Fructose and mannose metabolism;11;1;0;1;0
Amino sugar and nucleotide sugar metabolism;13;0;0;0;0
Arginine and proline metabolism;32;0;0;0;0
Pentose and glucuronate interconversions;8;0;0;0;0
Protein degradation;6;0;0;0;0
Histidine metabolism;6;0;0;0;0
Vitamin E metabolism;23;0;0;0;0
Riboflavin metabolism;4;0;0;0;0
Inositol phosphate metabolism;23;1;0;1;0
Retinol metabolism;14;0;0;0;0
Phenylalanine, tyrosine and tryptophan biosynthesis;39;0;0;0;0
Keratan sulfate degradation;67;0;0;0;0
N-glycan metabolism;54;0;0;0;0
Protein modification;3;0;0;0;0
Isolated;9;0;1;0;1
Xenobiotics metabolism;46;0;0;0;0
Vitamin A metabolism;2;1;0;1;0
Eicosanoid metabolism;15;0;0;0;0
Heme synthesis;3;0;0;0;0
Glycosphingolipid metabolism;10;0;0;0;0
Glycosphingolipid biosynthesis-globo series;3;0;0;0;0
Glycosphingolipid biosynthesis-lacto and neolacto series;5;0;0;0;0
Ether lipid metabolism;9;0;0;0;0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial);4;0;0;0;0
Prostaglandin biosynthesis;20;0;0;0;0
Butanoate metabolism;4;0;0;0;0
Cholesterol biosynthesis 1 (Bloch pathway) ;28;0;0;0;0
Cholesterol biosynthesis 2;4;0;0;0;0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);16;0;0;0;0
Androgen metabolism;9;0;0;0;0
Estrogen metabolism;53;0;0;0;0
Vitamin D metabolism;7;0;0;0;0
Fatty acid biosynthesis (odd-chain);30;0;0;0;0
Fatty acid elongation (odd-chain);13;0;0;0;0
Fatty acid desaturation (odd-chain);3;0;0;0;0
Fatty acid biosynthesis (unsaturated);33;0;0;0;0
Omega-6 fatty acid metabolism;33;0;0;0;0
Linoleate metabolism;10;0;0;0;0
Omega-3 fatty acid metabolism;56;0;0;0;0
Carnitine shuttle (endoplasmic reticular);3;0;0;0;0
Fatty acid activation (endoplasmic reticular);56;0;0;0;0
Beta oxidation of odd-chain fatty acids (mitochondrial);15;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);16;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);12;0;0;0;0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);17;0;0;0;0
Beta oxidation of phytanic acid (peroxisomal);8;0;0;0;0
Formation and hydrolysis of cholesterol esters;111;0;0;0;0
Pantothenate and CoA biosynthesis;15;0;0;0;0
Cysteine and methionine metabolism;16;0;0;0;0
Tryptophan metabolism;2;0;0;0;0
Vitamin B6 metabolism;6;0;0;0;0
Beta-alanine metabolism;4;0;0;0;0
Lysine metabolism;13;0;0;0;0
Serotonin and melatonin biosynthesis;4;0;0;0;0
Aminoacyl-tRNA biosynthesis;21;0;0;0;0
Protein assembly;5;0;0;0;0
