subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Propanoate metabolism;12;0;1;0;1
Transport reactions;772;1;1;1;1
Starch and sucrose metabolism;10;0;0;0;0
Sphingolipid metabolism;37;0;0;0;0
Cholesterol metabolism;43;0;0;0;0
Fatty acid oxidation;183;0;0;0;0
Oxidative phosphorylation;9;0;0;0;0
Fatty acid biosynthesis;42;0;0;0;0
Tyrosine metabolism;15;1;1;1;1
Pyrimidine metabolism;47;1;0;1;0
Exchange/demand reactions;308;1;1;1;1
Miscellaneous;29;0;0;0;0
Pentose phosphate pathway;25;1;1;1;1
Acylglycerides metabolism;13;0;0;0;0
Pool reactions;10;0;0;0;0
Acyl-CoA hydrolysis;62;1;0;1;0
Fatty acid activation (cytosolic);60;1;1;1;1
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;31;0;0;0;0
Arachidonic acid metabolism;71;0;0;0;0
Leukotriene metabolism;83;0;0;0;0
Pyruvate metabolism;22;0;0;0;0
Bile acid biosynthesis;32;0;0;0;0
Bile acid recycling;4;0;1;0;1
Fatty acid biosynthesis (even-chain);30;1;1;1;1
Fatty acid elongation (even-chain);21;1;0;1;0
Fatty acid desaturation (even-chain);11;0;1;0;1
Fatty acid biosynthesis (unsaturated);33;0;0;0;0
Omega-6 fatty acid metabolism;31;1;0;1;0
Omega-3 fatty acid metabolism;41;0;0;0;0
Carnitine shuttle (mitochondrial);79;0;0;0;0
Carnitine shuttle (cytosolic);56;0;0;0;0
Beta oxidation of even-chain fatty acids (mitochondrial);56;0;1;0;1
Valine, leucine, and isoleucine metabolism;16;0;0;0;0
Alanine, aspartate and glutamate metabolism;18;0;0;0;0
Arginine and proline metabolism;32;0;0;0;0
Glycine, serine and threonine metabolism;18;0;0;0;0
Glutathione metabolism;17;0;0;0;0
Cysteine and methionine metabolism;22;0;0;0;0
Glycolysis / Gluconeogenesis;28;0;1;0;1
Folate metabolism;52;0;0;0;0
Galactose metabolism;10;0;0;0;0
ROS detoxification;8;0;0;0;0
Nucleotide metabolism;95;1;1;1;1
Porphyrin metabolism;10;0;0;0;0
Nicotinate and nicotinamide metabolism;12;0;0;0;0
Purine metabolism;72;0;0;0;0
Biopterin metabolism;12;1;0;1;0
Sulfur metabolism;4;0;1;0;1
Fructose and mannose metabolism;14;0;0;0;0
Amino sugar and nucleotide sugar metabolism;14;0;0;0;0
Pentose and glucuronate interconversions;9;0;0;0;0
Aminoacyl-tRNA biosynthesis;21;0;1;0;1
Protein assembly;4;0;1;0;1
Protein degradation;8;0;0;0;0
Histidine metabolism;10;0;0;0;0
Riboflavin metabolism;6;0;0;0;0
Inositol phosphate metabolism;29;0;0;0;0
Retinol metabolism;26;0;0;0;0
Phenylalanine, tyrosine and tryptophan biosynthesis;46;0;0;0;0
