subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Propanoate metabolism;11;0;0;0;0
Starch and sucrose metabolism;10;0;0;0;0
Sphingolipid metabolism;31;0;0;0;0
Transport reactions;796;1;1;1;1
Tyrosine metabolism;17;0;0;0;0
Fatty acid biosynthesis;49;0;0;0;0
Cholesterol metabolism;38;0;0;0;0
Fatty acid oxidation;166;0;0;0;0
Exchange/demand reactions;289;1;1;1;1
Miscellaneous;29;0;0;0;0
Pentose phosphate pathway;22;0;0;0;0
Acylglycerides metabolism;12;0;0;0;0
Pool reactions;9;0;0;0;0
Acyl-CoA hydrolysis;61;1;1;1;1
Fatty acid activation (cytosolic);60;1;1;1;1
Glycerolipid metabolism;67;0;0;0;0
Glycerophospholipid metabolism;48;0;0;0;0
Steroid metabolism;15;0;0;0;0
Arachidonic acid metabolism;71;0;0;0;0
Leukotriene metabolism;78;0;0;0;0
Pyruvate metabolism;21;0;1;0;1
Bile acid biosynthesis;24;0;0;0;0
Fatty acid biosynthesis (even-chain);30;0;0;0;0
Fatty acid elongation (even-chain);21;0;0;0;0
Fatty acid desaturation (even-chain);13;0;0;0;0
Valine, leucine, and isoleucine metabolism;8;0;0;0;0
Alanine, aspartate and glutamate metabolism;12;0;0;0;0
Glycine, serine and threonine metabolism;13;0;0;0;0
Glutathione metabolism;14;0;0;0;0
Pantothenate and CoA biosynthesis;5;0;0;0;0
Glycolysis / Gluconeogenesis;33;0;0;0;0
Galactose metabolism;9;0;1;0;1
ROS detoxification;7;0;0;0;0
Nucleotide metabolism;86;1;0;1;0
Pyrimidine metabolism;42;0;0;0;0
Oxidative phosphorylation;8;0;0;0;0
Amino sugar and nucleotide sugar metabolism;14;0;0;0;0
Porphyrin metabolism;4;0;0;0;0
Purine metabolism;66;0;0;0;0
Vitamin B6 metabolism;7;0;0;0;0
Sulfur metabolism;3;0;0;0;0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;37;0;0;0;0
Nicotinate and nicotinamide metabolism;13;0;0;0;0
Fructose and mannose metabolism;13;0;0;0;0
Arginine and proline metabolism;23;0;0;0;0
Folate metabolism;25;0;0;0;0
Biopterin metabolism;9;0;0;0;0
Histidine metabolism;6;0;0;0;0
Inositol phosphate metabolism;49;0;0;0;0
Phenylalanine, tyrosine and tryptophan biosynthesis;47;0;0;0;0
Protein modification;3;1;0;1;0
C5-branched dibasic acid metabolism;5;0;1;0;1
Isolated;9;1;0;1;0
Xenobiotics metabolism;41;0;0;0;0
Eicosanoid metabolism;10;0;0;0;0
Drug metabolism;14;0;0;0;0
N-glycan metabolism;52;0;0;0;0
Glycosphingolipid metabolism;10;0;0;0;0
Glycosphingolipid biosynthesis-globo series;3;0;0;0;0
Glycosphingolipid biosynthesis-ganglio series;5;0;0;0;0
Glycosphingolipid biosynthesis-lacto and neolacto series;7;0;0;0;0
Ether lipid metabolism;8;0;0;0;0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial);4;0;0;0;0
Prostaglandin biosynthesis;16;0;0;0;0
Butanoate metabolism;5;0;0;0;0
Cholesterol biosynthesis 1 (Bloch pathway) ;28;0;0;0;0
Cholesterol biosynthesis 2;5;0;0;0;0
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);16;0;0;0;0
Androgen metabolism;9;0;0;0;0
Glucocorticoid biosynthesis;2;0;0;0;0
Estrogen metabolism;51;0;0;0;0
Fatty acid biosynthesis (odd-chain);30;0;0;0;0
Fatty acid elongation (odd-chain);13;0;0;0;0
Fatty acid desaturation (odd-chain);3;0;0;0;0
Fatty acid biosynthesis (unsaturated);33;0;0;0;0
Omega-6 fatty acid metabolism;33;0;0;0;0
Linoleate metabolism;17;0;0;0;0
Omega-3 fatty acid metabolism;39;0;0;0;0
Carnitine shuttle (cytosolic);11;0;0;0;0
Carnitine shuttle (mitochondrial);29;0;0;0;0
Carnitine shuttle (endoplasmic reticular);5;0;0;0;0
Fatty acid activation (endoplasmic reticular);56;0;0;0;0
Beta oxidation of even-chain fatty acids (peroxisomal);5;0;0;0;0
Beta oxidation of even-chain fatty acids (mitochondrial);26;0;0;0;0
Beta oxidation of odd-chain fatty acids (mitochondrial);15;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);8;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);7;0;0;0;0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);16;0;0;0;0
Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal);4;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-7) (peroxisomal);2;0;0;0;0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal);3;0;0;0;0
Beta oxidation of phytanic acid (peroxisomal);2;0;0;0;0
Formation and hydrolysis of cholesterol esters;37;0;0;0;0
Cysteine and methionine metabolism;11;0;0;0;0
Tryptophan metabolism;5;0;0;0;0
Beta-alanine metabolism;5;0;0;0;0
Lysine metabolism;15;0;0;0;0
Serotonin and melatonin biosynthesis;5;0;0;0;0
Pentose and glucuronate interconversions;5;0;0;0;0
Aminoacyl-tRNA biosynthesis;21;1;0;1;0
Protein assembly;5;0;0;0;0
Protein degradation;6;0;0;0;0
Ascorbate and aldarate metabolism;4;0;0;0;0
Lipoic acid metabolism;2;0;0;0;0
Vitamin E metabolism;21;0;0;0;0
Riboflavin metabolism;5;0;0;0;0
Retinol metabolism;15;0;0;0;0
Metabolism of other amino acids;2;0;0;0;0
O-glycan metabolism;7;0;0;0;0
Keratan sulfate biosynthesis;57;0;0;0;0
Keratan sulfate degradation;54;0;0;0;0
Chondroitin sulfate degradation;34;0;0;0;0
Heparan sulfate degradation;3;0;0;0;0
Artificial reactions;2;0;0;0;0
Heme degradation;2;0;0;0;0
Vitamin A metabolism;3;0;0;0;0
Phenylalanine metabolism;2;0;0;0;0
