subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;2184;0.00011600443451601865;0.19196370552898884;0.00012687037912166116;0.189498029422829
Drug metabolism;405;0.6681018221156264;0.030411356957445915;0.662496783710283;0.030971125928029218
Valine, leucine, and isoleucine metabolism;19;0.9560132849662074;0.11868588698810283;0.9577207492351422;0.12007802258709463
Propanoate metabolism;12;0.5997027585892777;0.6544969053723266;0.6018439047076393;0.6572617048025483
Ubiquinone synthesis;8;0.9560132849662074;0.7245810801659736;0.9577207492351422;0.7170093204302154
Phenylalanine metabolism;6;0.145251241855198;0.5972471096699576;0.14278034946999998;0.5993660562943208
Histidine metabolism;7;0.9180295944873449;0.973240045695272;0.9201846012015139;0.9744463081078314
Alanine, aspartate and glutamate metabolism;16;0.07386952252775675;0.05505663261354031;0.07603937081986482;0.05576654922595408
Fatty acid oxidation;241;1.0;1.0;1.0;1.0
Pentose phosphate pathway;23;0.0011156630064074562;0.005637243130305919;0.0011564299202673212;0.005755216311953859
Lysine metabolism;27;0.8586654325842132;1.0;0.8536131804339507;1.0
Tyrosine metabolism;31;0.9650771599433499;1.0;0.9665014216007407;1.0
Purine metabolism;71;0.0015931850583655554;3.087699641047948e-05;0.0016866815125820478;3.243673161231383e-05
Starch and sucrose metabolism;8;0.00013600258792315474;0.3812249991026888;0.000139657243653676;0.38328193583824993
Dietary fiber binding;13;0.8820369613709195;0.7245810801659736;0.8855729171138627;0.7170093204302154
Hippurate metabolism;3;0.18183952580584503;0.7245810801659736;0.1785951619182501;0.7170093204302154
ROS detoxification;8;0.6681018221156264;0.3812249991026888;0.662496783710283;0.38328193583824993
Glycerophospholipid metabolism;45;0.26078168512554767;0.3812249991026888;0.26613529330382046;0.38328193583824993
Sphingolipid metabolism;27;0.6681018221156264;0.4287646756212252;0.662496783710283;0.43255064887090416
Oxidative phosphorylation;9;0.00041836085372683033;0.46547619953509417;0.0004293731269105668;0.4678446914857958
Fatty acid biosynthesis;51;0.018253922182676557;0.046721874883337046;0.018958548047278683;0.046074418333247644
Cholesterol metabolism;42;0.5997027585892777;0.8999472387978447;0.6018439047076393;0.9013433213474543
N-glycan metabolism;43;0.8830657461540811;1.0;0.8893169797216707;1.0
CoA synthesis;3;0.18183952580584503;0.7245810801659736;0.1785951619182501;0.7170093204302154
Pyrimidine metabolism;46;0.0003418713976291732;0.264436881696793;0.00036072924888580493;0.26819712024984144
Steroid metabolism;10;0.4276985918457185;0.5544544313989808;0.43138628350085634;0.5571105571597468
Exchange/demand reactions;1650;1.0;1.0;1.0;1.0
Miscellaneous;59;0.19557021139303235;1.0;0.119645878055785;1.0
Glycine, serine and threonine metabolism;21;0.007850772502272164;0.8274722779321373;0.008076042864125933;0.8206321895786574
Pool reactions;46;1.0;0.8639437744633699;1.0;0.8583953290525654
Fatty acid activation (cytosolic);63;1.2442049129868238e-07;0.0006276350043398984;1.361269481026106e-07;0.0006525625896186463
Acyl-CoA hydrolysis;4;0.04643718844132837;0.8459165832960924;0.046956475974132376;0.8374092778855712
Glycerolipid metabolism;72;7.976417963462268e-07;0.563471904503135;8.708992655925841e-07;0.5674669129541442
