subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;2442;3.291725191889583e-06;0.30134345813116087;2.6676485609833375e-06;0.3244805638755689
Drug metabolism;430;0.6864009121945168;2.7464138330213217e-06;0.7065861914970901;3.0019094663380486e-06
Eicosanoid metabolism;38;0.6758204119724248;1.0;0.6719221600095819;1.0
Valine, leucine, and isoleucine metabolism;18;0.15643848935333754;0.9892375445323759;0.15906849254789465;0.9900210248899289
Ubiquinone synthesis;8;0.11708230676385635;0.37780906924102925;0.11864185182326478;0.3791799434570159
Phenylalanine metabolism;6;0.8367023723882939;0.6164494299654918;0.8387851884846905;0.6173299567124843
Histidine metabolism;7;0.26176898335690346;0.9020865576665842;0.2653529438040332;0.9028410789198269
Alanine, aspartate and glutamate metabolism;11;0.7699297483823597;0.009689391633700861;0.7733409430756611;0.00978628877195704
Fatty acid oxidation;211;0.9999999999999987;0.7867428006714765;0.9999999999999988;0.7928822711153221
Pentose phosphate pathway;24;0.0032029991452932616;0.010978232391887666;0.0033154459114688173;0.01112918459725043
Glycine, serine and threonine metabolism;15;0.462703460586927;0.27526093213482483;0.46712112293801833;0.2767542811306947
Lysine metabolism;16;0.26176898335690346;0.7867428006714765;0.2653529438040332;0.7928822711153221
Tyrosine metabolism;36;0.9482619107232445;0.3866836955262913;0.9506114461857028;0.38942637294105537
Purine metabolism;65;0.014302020720500574;6.175263561725153e-05;0.014973218169792468;6.371360513712787e-05
Starch and sucrose metabolism;9;0.039003890376586095;0.011444894890696845;0.039669697918620364;0.011544456771654055
Dietary fiber binding;13;0.8367023723882939;0.007727293728228573;0.8387851884846905;0.007814597931819251
ROS detoxification;8;0.3305563447257085;0.008366474252480605;0.3336019118237387;0.008441504149531098
Glycerophospholipid metabolism;40;0.12449805519736734;0.7071177474536275;0.1277759773451772;0.7104390459234428
Sphingolipid metabolism;23;0.7574080604234886;0.828927436051584;0.7596512810929588;0.8308912117177877
Fatty acid biosynthesis;58;0.9396229291931812;1.9452717098200623e-05;0.9430835345845647;2.0075441508637935e-05
Cholesterol metabolism;22;0.8589564895467448;0.7867428006714765;0.8627038774993206;0.7928822711153221
