subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;2415;8.694356901095546e-09;1.288822375489218e-05;7.640655441676358e-09;2.2011694633672363e-05
Drug metabolism;407;0.3198439139213233;0.01391341140858275;0.3287379600342256;0.015962703865039972
Valine, leucine, and isoleucine metabolism;18;1.0;0.8670745551444292;1.0;0.8814858649199643
Ubiquinone synthesis;8;0.11436891534327466;0.13152816419316243;0.11504562159965578;0.1343008491905396
Phenylalanine metabolism;6;0.1868026999413467;0.22306491381879004;0.18800129673178342;0.22662618562644948
Histidine metabolism;8;1.0;0.4357017090288562;1.0;0.4419308959296843
Alanine, aspartate and glutamate metabolism;13;0.14507587775133413;0.5010982254539169;0.146039890645572;0.5094496987849053
Fatty acid oxidation;209;1.0;1.0;1.0;1.0
Pentose phosphate pathway;23;0.4051062768748272;8.830880512178396e-07;0.40762157327803616;7.141315656600256e-07
Glycine, serine and threonine metabolism;16;0.11893715735561941;0.7843909252899253;0.1198656817878405;0.7887805583602326
Lysine metabolism;22;0.9737189159602481;1.0;0.9746760962540816;1.0
Tyrosine metabolism;40;0.7632043055373012;0.8670745551444292;0.7665893548375589;0.8814858649199643
Purine metabolism;67;0.6909670595327478;5.970126939907061e-05;0.6956796788095899;6.41075796514734e-05
Isolated;65;1.0;1.0;1.0;1.0
Starch and sucrose metabolism;8;0.11436891534327466;0.004422308318906046;0.11504562159965578;0.004848870519193297
Dietary fiber binding;13;0.6909670595327478;0.0653451387688836;0.6956796788095899;0.06732524084188042
ROS detoxification;9;0.7632043055373012;0.047725840205425474;0.7665893548375589;0.04902321464184212
Glycerophospholipid metabolism;45;0.2599882250710434;0.9420552974563203;0.261353707201728;0.9490819054258803
Sphingolipid metabolism;33;0.3907901419503248;1.0;0.39371684450806377;1.0
Fatty acid biosynthesis;55;1.0;1.263323322829381e-05;1.0;1.4239146036551123e-05
Cholesterol metabolism;46;0.6523615462779669;1.0;0.6533827590139021;1.0
N-glycan metabolism;35;1.0;1.0;1.0;1.0
CoA synthesis;4;0.006456209868861418;0.9420552974563203;0.00650044927336646;0.9490819054258803
Pyrimidine metabolism;39;0.001474124964532253;0.047725840205425474;0.0015053863511935717;0.008662721981446431
Steroid metabolism;16;0.6012095467347799;0.3795575997529417;0.6037491417009756;0.38736745766868946
Exchange/demand reactions;1650;1.0;1.0;1.0;1.0
Miscellaneous;60;0.13877464807420262;0.8670745551444292;0.14066383958262796;0.8836916710609016
