subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;2319;1.5141425513398588e-06;0.2656276024051207;3.017650027081764e-06;0.2719497758528706
Drug metabolism;438;0.002225163519349506;0.000402615722954611;0.0026678552137869055;0.0003085368152504764
Valine, leucine, and isoleucine metabolism;18;0.9099010038350481;1.0;0.9127527360432159;1.0
Propanoate metabolism;10;0.868427781758432;0.24642361347595548;0.8779992572488682;0.25157889655346816
Tyrosine metabolism;40;0.5376828302864567;0.8035151214456656;0.5480392766099956;0.8107420428653472
Ubiquinone synthesis;8;0.7714530561195045;0.8303084928624245;0.776208001730919;0.832337179434264
Phenylalanine metabolism;5;0.5312417604171146;0.9858911268737269;0.535297373942451;0.9894231486340788
Histidine metabolism;13;0.9477231765291612;1.0;0.950399424675661;1.0
Alanine, aspartate and glutamate metabolism;13;0.47893145209213017;0.019680237057941072;0.4850166916380389;0.020033687285417642
Fatty acid oxidation;228;1.0;1.0;1.0;1.0
Pentose phosphate pathway;28;0.010928364234823263;0.07072666775497498;0.01140609615707078;0.07218517413281292
Lysine metabolism;25;1.0;1.0;1.0;1.0
Purine metabolism;79;0.0007347713886243668;0.00799329957313509;0.0008016272949816551;0.00835601994130826
Starch and sucrose metabolism;9;0.1949289900366628;0.0011663903603236956;0.19789983199481576;0.001189749597123424
Dietary fiber binding;13;0.09062836674106349;1.0;0.09270256266827813;1.0
ROS detoxification;9;0.06878338750038154;0.05376687500727147;0.07019171598416307;0.05481037432936853
Glycerophospholipid metabolism;55;0.212589012292878;0.3737194555609256;0.21354654096613268;0.3801665780585542
Sphingolipid metabolism;47;0.868427781758432;0.2714417354417284;0.8779992572488682;0.2762895626152423
Fatty acid biosynthesis;39;0.6295944726155301;0.05376687500727147;0.6392741079879518;0.05481037432936853
N-glycan metabolism;47;1.0;1.0;1.0;1.0
CoA synthesis;4;0.010622664517853838;0.9251361002808078;0.01082113637896387;0.9271746168782711
Pyrimidine metabolism;46;0.002956567542806099;0.08190567053243322;0.00314060000388669;0.0818859363673136
Steroid metabolism;19;0.2840210733985837;0.8303084928624245;0.281503660803399;0.832337179434264
Exchange/demand reactions;1650;1.0;1.0;1.0;1.0
Miscellaneous;58;0.6065557864847185;0.8303084928624245;0.6195653862116032;0.832337179434264
Acylglycerides metabolism;18;0.49437715490761575;0.0023065968910293425;0.5015098015622189;0.0023662883142095714
Pool reactions;48;0.9873587314603632;0.9858911268737269;0.9891512866369224;0.9894231486340788
Acyl-CoA hydrolysis;5;0.16124686249033088;0.5307267309399019;0.16413430053390904;0.5333078142173177
Fatty acid activation (cytosolic);68;0.000805836969238527;0.0;0.000872951571984267;2.1864214142889676e-10
Glycerolipid metabolism;69;1.54009915972105e-05;1.3575549573374702e-10;1.703770384205624e-05;3.507220291965041e-10
Fructose and mannose metabolism;12;0.3874637202558945;0.14869758593037224;0.39262456513581406;0.14625060466432635
