subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;2198;0.009934339151649239;0.15445759010859178;0.011537254491268016;0.15445759010859178
Drug metabolism;405;0.10307547989369559;0.5187899166940134;0.10529011538143299;0.5187899166940134
Valine, leucine, and isoleucine metabolism;18;1.0;0.7338823472454375;1.0;0.7338823472454375
Ubiquinone synthesis;8;0.6166773265049761;0.9325725828897331;0.6188314616543183;0.9325725828897331
Phenylalanine metabolism;6;0.5258451581620178;0.24121745182688187;0.1421175886317508;0.24121745182688187
Histidine metabolism;12;0.5529720018861278;0.6984394488382181;0.5539489515844792;0.6984394488382181
Alanine, aspartate and glutamate metabolism;10;0.1449505051729003;0.6315752352823163;0.1421175886317508;0.6315752352823163
Fatty acid oxidation;237;1.0;1.0;1.0;1.0
Pentose phosphate pathway;21;0.0026878592811586943;0.4050492256347971;0.002731583584422992;0.4050492256347971
Lysine metabolism;23;0.6849696908800459;0.9325725828897331;0.6874583015729817;0.9325725828897331
Tyrosine metabolism;38;0.7410770180879211;0.8711861939842925;0.7421884060895702;0.8711861939842925
Purine metabolism;74;0.0017997547119834034;0.20463734649973309;0.0006898456573628531;0.20463734649973309
Starch and sucrose metabolism;9;0.3582314593363456;0.008478179956305405;0.35217005338255186;0.008478179956305405
Peptide metabolism;243;1.0;1.0;1.0;1.0
Sphingolipid metabolism;31;0.9847361142159325;0.7766222028645662;0.985448029905718;0.7766222028645662
Dietary fiber binding;13;0.5627650846192143;0.015386644146860423;0.5652211749091927;0.015386644146860423
Hippurate metabolism;3;0.01887849711744538;0.26705374109874586;0.01898709812145505;0.26705374109874586
ROS detoxification;8;0.07472081176809864;0.444468579142027;0.07522287929667719;0.444468579142027
Glycerophospholipid metabolism;36;0.09377313082807687;0.9284291519477867;0.09492301491022496;0.9284291519477867
Fatty acid biosynthesis;63;0.03323449271679974;0.006081853516457181;0.03389339716933218;0.006081853516457181
Cholesterol metabolism;40;0.5127844124965654;0.8957971270714988;0.5066197670190021;0.8957971270714988
N-glycan metabolism;36;1.0;1.0;1.0;1.0
CoA synthesis;3;0.01887849711744538;0.26705374109874586;0.01898709812145505;0.26705374109874586
Pyrimidine metabolism;40;0.01887849711744538;1.1870644352485193e-05;0.01898709812145505;1.1870644352485193e-05
Steroid metabolism;17;0.5350832760866019;0.8702199006628709;0.5376284842766037;0.8702199006628709
Exchange/demand reactions;1650;1.0;1.0;1.0;1.0
Miscellaneous;64;0.494750880621193;0.9325725828897331;0.4896210536372692;0.9325725828897331
Glycine, serine and threonine metabolism;16;0.6703758170451032;0.05228465523429547;0.6724845528755894;0.05228465523429547
Acylglycerides metabolism;12;0.07813429840087929;0.8711861939842925;0.0787488805849758;0.8711861939842925
Pool reactions;46;0.8585976704408852;1.0;0.8595904775492784;1.0
Fatty acid activation (cytosolic);63;7.84864367248117e-07;9.988879731930617e-06;8.182616384466712e-07;9.988879731930617e-06
Carnitine shuttle (cytosolic);12;0.7566081402945444;1.0554148357141968e-05;0.7576505695297312;1.0554148357141968e-05
Acyl-CoA hydrolysis;4;0.04824828110189803;0.8394204538484936;0.04851486131752298;0.8394204538484936
Glycerolipid metabolism;65;0.00029147959074097126;0.6902491686976212;0.0003003379035135653;0.6902491686976212
Fructose and mannose metabolism;12;0.24575828036009634;0.8711861939842925;0.2414375239936843;0.8711861939842925
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;34;0.3012636587017028;0.5758747129970649;0.29698085855976725;0.5758747129970649
Nicotinate and nicotinamide metabolism;15;0.05791681890398811;0.008556430751619624;0.05845140417478278;0.008556430751619624
Glycosphingolipid metabolism;10;0.4322510603320528;0.6315752352823163;0.42540619202230523;0.6315752352823163
Glycosphingolipid biosynthesis-globo series;2;0.0;0.6902491686976212;0.0;0.6902491686976212
Arachidonic acid metabolism;62;1.0;1.0;1.0;1.0
Artificial reactions;19;0.5627650846192143;0.7766222028645662;0.5652211749091927;0.7766222028645662
Bile acid biosynthesis;75;1.0;0.8101169688935741;1.0;0.8101169688935741
Leukotriene metabolism;92;1.0;0.7911750242803336;1.0;0.7911750242803336
Prostaglandin biosynthesis;55;0.5529720018861278;0.9766387035533107;0.5539489515844792;0.9766387035533107
Butanoate metabolism;5;0.4262950893327739;0.8711861939842925;0.41877025227148285;0.8711861939842925
Cholesterol biosynthesis 1 (Bloch pathway) ;19;1.0;0.7766222028645662;1.0;0.7766222028645662
Cholesterol biosynthesis 2;5;0.7566081402945444;0.001195836780523707;0.7576505695297312;0.001195836780523707
Pyruvate metabolism;16;0.6703758170451032;0.15445759010859178;0.6724845528755894;0.15445759010859178
Glucocorticoid biosynthesis;2;0.5529720018861278;0.0;0.5539489515844792;0.0
Estrogen metabolism;57;1.0;1.0;1.0;1.0
Vitamin D metabolism;24;0.3334896441589952;9.763179127653121e-06;0.32855355717378476;9.763179127653121e-06
Fatty acid biosynthesis (even-chain);29;0.003072965072197744;1.0128148919541502e-07;0.0031296047420185614;1.0128148919541502e-07
Fatty acid elongation (even-chain);16;1.0;1.0;1.0;1.0
Fatty acid biosynthesis (odd-chain);30;0.03603747697846312;7.362760401363744e-10;0.03653576787304008;7.362760401363744e-10
Fatty acid desaturation (even-chain);13;0.03361595704687028;0.0028268454949468124;0.03394312690627094;0.0028268454949468124
Fatty acid desaturation (odd-chain);3;0.0;0.7766222028645662;0.0;0.7766222028645662
Fatty acid biosynthesis (unsaturated);26;0.605717977708435;1.0;0.6086268241964797;1.0
Omega-6 fatty acid metabolism;32;0.9881885181548592;0.788760936857343;0.9893151610832308;0.788760936857343
Linoleate metabolism;22;0.01691428161711772;0.8394204538484936;0.017147986374536073;0.8394204538484936
Omega-3 fatty acid metabolism;43;1.0;1.0;1.0;1.0
Fatty acid activation (endoplasmic reticular);56;1.0;1.0;1.0;1.0
Carnitine shuttle (mitochondrial);5;0.7566081402945444;0.15445759010859178;0.7576505695297312;0.15445759010859178
Arginine and proline metabolism;28;0.9679096908829116;0.6902491686976212;0.9687585021571459;0.6902491686976212
Cysteine and methionine metabolism;21;0.6427311063106312;0.07688358674697561;0.6458248496083817;0.07688358674697561
Glycolysis / Gluconeogenesis;23;0.0002946291763804981;0.12188378803515643;0.0003005596180619824;0.12188378803515643
Glutathione metabolism;10;0.0013254109551852356;0.9766387035533107;0.0012080030178597823;0.9766387035533107
Galactose metabolism;11;0.0026187099891959087;0.32723948536326347;0.0026512289015142875;0.32723948536326347
Nucleotide metabolism;93;5.025125652591278e-05;0.12188378803515643;5.2380976858001915e-05;0.12188378803515643
Folate metabolism;3;0.6427311063106312;0.0;0.6458248496083817;0.0
Oxidative phosphorylation;10;0.4322510603320528;0.015386644146860423;0.42540619202230523;0.015386644146860423
Amino sugar and nucleotide sugar metabolism;21;0.21207493076636577;0.8101169688935741;0.20863632031114024;0.8101169688935741
Porphyrin metabolism;13;0.30247718345927677;0.20463734649973309;0.2974090882341205;0.20463734649973309
Vitamin B6 metabolism;4;0.04824828110189803;0.8394204538484936;0.04851486131752298;0.8394204538484936
Sulfur metabolism;7;0.21207493076636577;0.7095107466133168;0.20863632031114024;0.7095107466133168
Thiamine metabolism;3;0.0;0.7766222028645662;0.0;0.7766222028645662
Phenylalanine, tyrosine and tryptophan biosynthesis;96;0.7566081402945444;0.8394204538484936;0.7576505695297312;0.8394204538484936
Propanoate metabolism;11;0.9705063151280139;0.6902491686976212;0.9712797263358892;0.6902491686976212
Biopterin metabolism;9;0.10307547989369559;0.5604546749460494;0.10529011538143299;0.5604546749460494
Serotonin and melatonin biosynthesis;10;0.9679096908829116;0.6315752352823163;0.9687585021571459;0.6315752352823163
Pentose and glucuronate interconversions;6;0.1449505051729003;0.6902491686976212;0.1421175886317508;0.6902491686976212
Aminoacyl-tRNA biosynthesis;21;0.21207493076636577;4.371609324538284e-09;0.20863632031114024;4.371609324538284e-09
Protein assembly;14;0.0475742649409408;0.5758747129970649;0.048025282741214065;0.5758747129970649
Protein degradation;35;0.6427311063106312;0.10710586375480731;0.6458248496083817;0.10710586375480731
Ascorbate and aldarate metabolism;14;0.6166773265049761;0.9254923934606257;0.6188314616543183;0.9254923934606257
Lipoic acid metabolism;3;0.6427311063106312;0.02791164671684887;0.6458248496083817;0.02791164671684887
Vitamin E metabolism;37;0.5529720018861278;0.0011872348583750394;0.5539489515844792;0.0011872348583750394
Riboflavin metabolism;5;0.0916316785140766;0.02076346978921581;0.0921174865570176;0.02076346978921581
