subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;952;0.4161309618048822;0.027233081142612;0.40971262840151945;0.03162076738953245
Ubiquinone synthesis;11;0.9999999999927108;4.155226191293604e-06;0.9999999999932792;4.312112223181508e-06
Starch and sucrose metabolism;10;0.19124132541273006;0.10115679286359724;0.193414872970349;0.027424592146167864
Sphingolipid metabolism;22;0.9999999999927108;0.0667246812211317;0.9999999999932792;0.06522929443051978
Fatty acid oxidation;181;0.9999999999927108;0.9999999999999967;0.9999999999932792;0.9999999999999971
Glycerophospholipid metabolism;45;0.4161309618048822;1.143273595848192e-05;0.40971262840151945;1.2288744052322028e-05
Oxidative phosphorylation;9;0.7448500770138412;0.9999999999999967;0.7490556205293512;0.9999999999999971
Fatty acid biosynthesis;46;0.7838163015860155;0.9999999999999967;0.7857712816599681;0.9999999999999971
Pyrimidine metabolism;43;0.01038080466498375;0.9999999999999967;0.010748095182318493;0.9351857062944207
Cholesterol metabolism;36;0.9999999999927108;0.9999999999999967;0.9999999999932792;0.9999999999999971
Exchange/demand reactions;261;0.0024835015310526692;0.10115679286359724;0.0027367029060094694;0.10961383332395189
Miscellaneous;25;0.6876612884465454;0.9999999999999967;0.6944261128994985;0.9999999999999971
Pentose phosphate pathway;23;0.9176986091452717;0.3530663433665687;0.9226113428309168;0.3591709525645512
Acylglycerides metabolism;9;0.9888835234671248;5.182909906631394e-05;0.9907979628929188;5.342284333513802e-05
Pool reactions;8;0.9166025813368424;0.8437418927961093;0.9196186266784834;0.8491674093473831
Acyl-CoA hydrolysis;61;0.5561993971510577;0.0;0.40971262840151945;0.0
Fatty acid activation (cytosolic);60;0.0022597477091970872;0.5335091406477641;0.0023705711499319992;0.5461052460008586
Inositol phosphate metabolism;34;0.9999999999927108;0.13514567273738737;0.9999999999932792;0.1388665774101312
Glycerolipid metabolism;69;0.9999999999927108;0.9999999999999967;0.9999999999932792;0.9999999999999971
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;36;0.4161309618048822;0.10932362385789383;0.40971262840151945;0.11258140561503241
