subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;960;2.8818336605951345e-09;0.019857514369892842;2.6823728423626867e-09;0.01729137856429518
Drug metabolism;53;0.7411446995972042;0.9799799231234033;0.7555585679634572;0.9893858466051206
Bile acid biosynthesis;70;0.9410404495463537;0.9999999999999346;0.9519526949346261;0.9999999999999409
Propanoate metabolism;12;0.006847917693986579;0.9999999999999346;0.007267912311555951;0.9999999999999409
Fatty acid oxidation;185;0.2236527609732159;0.9999999999999346;0.23077894879524147;0.9999999999999409
Starch and sucrose metabolism;11;0.237204147776471;0.28515119684321627;0.23312285733777247;0.28813578234276777
Sphingolipid metabolism;32;0.9999999999963074;0.1873145283327323;0.9999999999967574;0.19231856750191323
Glycerophospholipid metabolism;55;0.9999999999963074;7.309848045049124e-06;0.9999999999967574;7.813423292207295e-06
Oxidative phosphorylation;9;0.7107995094876551;0.9906753696358909;0.7169468944911983;0.9932944301480233
Tyrosine metabolism;18;0.23723484187701455;0.9999999999999346;0.23312285733777247;0.9999999999999409
Fatty acid biosynthesis;52;0.1412577422229925;0.9999999999999346;0.14157231454957986;0.9999999999999409
Cholesterol metabolism;37;0.9999999999963074;0.6866468112415305;0.9999999999967574;0.6956522108045994
Pyrimidine metabolism;51;0.006847917693986579;0.00163663124310894;0.007267912311555951;0.0017163637850351836
Exchange/demand reactions;414;0.5828922957368825;0.9999999999999346;0.6008301753297461;0.9999999999999409
Miscellaneous;29;0.8087513542010699;0.820573308344646;0.8184066755813655;0.8238357008374584
Heme synthesis;3;0.8753314507676526;0.0;0.8783022150366808;0.0
Pentose phosphate pathway;26;0.1412577422229925;0.820573308344646;0.14157231454957986;0.8238357008374584
Acylglycerides metabolism;17;0.9999999999963074;6.420148038199791e-06;0.9999999999967574;6.6704638743142475e-06
Pool reactions;11;0.5361685372957931;0.9088598727406021;0.5298862995505399;0.9128218703332304
Acyl-CoA hydrolysis;61;0.055218682116760294;0.08458338780456351;0.058081736328104476;0.08687045523807654
Fatty acid activation (cytosolic);60;0.02579978587982472;0.1873145283327323;0.027306756431154204;0.19231856750191323
Glycerolipid metabolism;67;0.9999999999963074;0.9999999999999346;0.9999999999967574;0.9999999999999409
