subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;836;1.2770017440905113e-05;0.07617083192865605;9.824585107953698e-06;0.04616967454798549
Ubiquinone synthesis;7;0.9999999950852392;0.0003616647656331359;0.9999999954037614;0.00036925188239284826
Propanoate metabolism;14;0.8780507777404223;0.00020589503922197904;0.8826543395398785;0.0002122199848822747
Starch and sucrose metabolism;11;0.059277616454817286;0.9905104454215157;0.059963830615739705;0.9926987314488013
Sphingolipid metabolism;40;0.9999999950852392;0.9999999955159337;0.9999999954037614;0.9999999957998508
Cholesterol metabolism;44;0.9999999950852392;0.9704671533410096;0.9999999954037614;0.9796062572571546
Fatty acid oxidation;195;0.9999999950852392;0.9999999955159337;0.9999999954037614;0.9999999957998508
Glycerophospholipid metabolism;55;0.021447306732875815;0.11974925007140717;0.022055249244019994;0.1235110500112112
Oxidative phosphorylation;9;0.0030211904417936086;0.9999999955159337;0.0030562794725963304;0.9999999957998508
Tyrosine metabolism;13;0.8146889989669368;0.5775627475386201;0.3868676454823585;0.583031548438402
Fatty acid biosynthesis;46;0.8794449189233828;0.9905104454215157;0.8833638098244377;0.9926987314488013
Pyrimidine metabolism;52;2.327412961403549e-07;0.9999999955159337;2.459392577211109e-07;0.9999999957998508
Exchange/demand reactions;321;0.005444030682421996;0.9110420679046011;0.005887176331487151;0.9145994374013313
Miscellaneous;31;0.02533895638101246;0.9999999955159337;0.025873527206768696;0.9999999957998508
Heme synthesis;4;0.6373348793922379;0.21242428581824616;0.622994861113402;0.21418303320869242
Pentose phosphate pathway;26;0.0003432077493540686;0.9110420679046011;0.0003533070762076429;0.9145994374013313
Acylglycerides metabolism;13;0.1417356457207902;0.9110420679046011;0.14324718479599977;0.9145994374013313
Pool reactions;9;0.9999999950852392;0.9999999955159337;0.9999999954037614;0.9999999957998508
Acyl-CoA hydrolysis;62;0.009406483552730485;0.21242428581824616;0.009718573439145617;0.21418303320869242
Fatty acid activation (cytosolic);60;0.006105748657029508;0.5227066445541945;0.006369004944305552;0.5335107578204935
Inositol phosphate metabolism;29;0.4100508654363428;0.9110420679046011;0.40318958937307814;0.9145994374013313
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;33;0.6957627886592577;0.9999999955159337;0.6844831408641899;0.9999999957998508
Artificial reactions;7;0.0032769981970393936;0.9905104454215157;0.0033211506646598113;0.9926987314488013
Arachidonic acid metabolism;71;0.9999999950852392;0.9999999955159337;0.9999999954037614;0.9999999957998508
Leukotriene metabolism;83;0.9999999950852392;0.9999999955159337;0.9999999954037614;0.9999999957998508
Butanoate metabolism;6;0.08267937769229802;0.9999999955159337;0.0833730285864458;0.9999999957998508
Cholesterol biosynthesis 1 (Bloch pathway) ;28;1.7351140191301795e-08;0.6389501897000255;1.8122262274156142e-08;0.6472145149989109
Cholesterol biosynthesis 2;5;0.0030211904417936086;0.9110420679046011;0.0030562794725963304;0.9145994374013313
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);17;6.348162678859737e-08;0.9999999955159337;6.566263383023241e-08;0.9999999957998508
Pyruvate metabolism;23;0.9999999950852392;0.9110420679046011;0.9999999954037614;0.9145994374013313
Bile acid biosynthesis;33;0.9999999950852392;0.9999999955159337;0.9999999954037614;0.9999999957998508
Bile acid recycling;5;0.24490034667024976;0.9999999955159337;0.2464014658827959;0.9999999957998508
Androgen metabolism;11;0.22907812743356853;0.9999999955159337;0.2311161148021036;0.9999999957998508
Vitamin D metabolism;19;0.9999999950852392;3.2040425868018474e-11;0.9999999954037614;3.791478242476387e-11
