subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;818;1.2980186370192826e-08;0.023738317178578217;4.6716068513585896e-09;0.03429982782917052
Ubiquinone synthesis;11;0.9999999999999751;4.0955462231472165e-06;0.9999999999999833;4.449331045572633e-06
Starch and sucrose metabolism;11;0.8435635872988875;0.00011161984182646428;0.8596273630762182;0.0001200742358736795
Fatty acid oxidation;154;0.9999999999999751;1.0;0.9999999999999833;1.0
Cholesterol metabolism;32;0.8998136487370887;0.15323124128621382;0.9230072466108871;0.16199048445857123
Glycerophospholipid metabolism;67;0.027696633676505315;0.34615257738745997;0.031181573459988052;0.3687798340690909
Oxidative phosphorylation;11;0.00529174616896097;0.9472176916175227;0.005751522594072203;0.9472561874631942
Fatty acid biosynthesis;41;0.16012738867199586;0.973846906417221;0.043182686341292076;0.9674173915570116
Exchange/demand reactions;428;0.029638454566981238;0.6228713120798911;0.041195893940883244;0.5955432188046877
Heme synthesis;3;0.8998136487370887;0.0;0.9230072466108871;0.0
Sphingolipid metabolism;30;0.001992827396590328;1.0;0.002301769570949482;1.0
Pentose phosphate pathway;26;0.154806821277359;0.5650953841676463;0.15457881858251424;0.5708646026766234
Acylglycerides metabolism;21;0.013301788350799608;0.6918313422976163;0.014682134341924478;0.682192604398524
Pool reactions;13;0.41114561207162964;1.0;0.42728652220612495;1.0
Acyl-CoA hydrolysis;3;0.8998136487370887;0.48431284032771277;0.9230072466108871;0.4908727321036581
Fatty acid activation (cytosolic);68;0.7857733125358537;4.5099442944063206e-05;0.8066578623911033;5.4271498355074055e-05
Glycerolipid metabolism;74;0.9999999999999751;1.0;0.9999999999999833;1.0
Inositol phosphate metabolism;56;0.1600151921469352;0.9472176916175227;0.16472010173550072;0.9555264505264996
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;37;0.8998136487370887;0.012106498503929758;0.9240325304899174;0.013150764573302949
Glycosphingolipid biosynthesis-globo series;4;0.9565375864789938;0.973846906417221;0.9638969969296212;0.9674173915570116
Arachidonic acid metabolism;71;0.9999999999999751;1.0;0.9999999999999833;1.0
Artificial reactions;7;0.00689971032573036;0.9472176916175227;0.007368820385780795;0.9472561874631942
Steroid metabolism;14;0.9999999999999751;0.9006345141786234;0.9999999999999833;0.9013022554242043
Leukotriene metabolism;71;0.9999999999999751;1.0;0.9999999999999833;1.0
Prostaglandin biosynthesis;24;0.9999999999999751;1.0;0.9999999999999833;1.0
Butanoate metabolism;4;0.6496836798173833;0.1824513776258133;0.6621896451517608;0.1862722899562978
Cholesterol biosynthesis 1 (Bloch pathway) ;19;0.9999999999999751;0.8349718709943607;0.9999999999999833;0.8214277446849932
Cholesterol biosynthesis 2;4;0.9565375864789938;0.023162541848871208;0.9638969969296212;0.02386873446756221
Bile acid biosynthesis;84;0.004216208318772293;1.0;0.005250040594597423;1.0
Androgen metabolism;11;0.9999999999999751;0.13962570274916017;0.9999999999999833;0.1445767649644288
Vitamin D metabolism;17;0.9999999999999751;1.3585045786714188e-09;0.9999999999999833;1.5107875268276822e-09
Fatty acid elongation (even-chain);21;0.9971357680149054;0.973846906417221;0.992394156590988;0.9674173915570116
Fatty acid biosynthesis (odd-chain);30;0.9999999999999751;0.0;0.9999999999999833;0.0
Fatty acid elongation (odd-chain);13;0.9999999999999751;0.0;0.9999999999999833;0.0
Fatty acid desaturation (even-chain);13;0.9999999999999751;0.008066633045024826;0.9999999999999833;0.008555390293039767
Fatty acid desaturation (odd-chain);3;0.8998136487370887;0.06839277113955813;0.9230072466108871;0.07034148241790018
Fatty acid biosynthesis (unsaturated);33;0.8053039165152546;0.1853146837273825;0.8326978533280337;0.19550563194203202
Omega-6 fatty acid metabolism;34;0.9999999999999751;0.973846906417221;0.9999999999999833;0.9674173915570116
Omega-3 fatty acid metabolism;57;0.05346648844505272;1.0;0.05816357082308089;1.0
Carnitine shuttle (cytosolic);30;0.3288644505688828;0.5864340379992208;0.33934793740535757;0.5872819438491079
Carnitine shuttle (mitochondrial);62;0.011427203143826298;0.03406103136346362;0.012280782640928758;0.03769491016457298
Beta oxidation of even-chain fatty acids (peroxisomal);2;0.7857733125358537;0.8489654555031725;0.8066578623911033;0.8500430728008294
Beta oxidation of odd-chain fatty acids (peroxisomal);2;0.7857733125358537;0.8489654555031725;0.8066578623911033;0.8500430728008294
Beta oxidation of even-chain fatty acids (mitochondrial);28;0.7857733125358537;0.0007554462688652167;0.8066578623911033;0.0008368782110525813
Beta oxidation of odd-chain fatty acids (mitochondrial);36;0.6790478218066429;0.008908456557651058;0.709320946071831;0.009782919957458011
Propanoate metabolism;15;0.03666813752568748;0.07681181755080568;0.041195893940883244;0.0803582295273858
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);13;0.41114561207162964;0.973846906417221;0.42728652220612495;0.9674173915570116
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);15;0.011427203143826298;1.0;0.012280782640928758;1.0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);13;0.9999999999999751;0.5864340379992208;0.9999999999999833;0.5872819438491079
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal);5;0.9971357680149054;0.8489654555031725;0.992394156590988;0.8500430728008294
Alanine, aspartate and glutamate metabolism;18;0.7857733125358537;0.46378872570149365;0.8066578623911033;0.47811208452443626
Arginine and proline metabolism;28;0.9999999999999751;0.24831540537958072;0.9999999999999833;0.2599755260807017
Glycine, serine and threonine metabolism;21;0.9971357680149054;0.012106498503929758;0.992394156590988;0.013150764573302949
Pyruvate metabolism;25;0.2675258327827348;0.023135214930462205;0.12110465417946314;0.02386873446756221
Pantothenate and CoA biosynthesis;14;0.519356682618511;0.1525434329442842;0.5386177230557683;0.1584531960980446
Cysteine and methionine metabolism;18;0.9999999999999751;0.9006345141786234;0.9999999999999833;0.9013022554242043
Glycolysis / Gluconeogenesis;34;0.0009927514253216252;0.912050986411181;0.001166468822594302;0.917335897406513
Folate metabolism;36;0.9999999999999751;0.7405183581074587;0.9999999999999833;0.7350733357867578
Pyrimidine metabolism;52;0.02494591549749292;0.007277290887843202;0.02869548573426195;0.008161788895079973
Glutathione metabolism;17;0.009335802210458377;0.8489654555031725;0.01027035922629288;0.8500430728008294
Galactose metabolism;9;0.7857733125358537;0.5129669754436542;0.8066578623911033;0.5160798426021637
Miscellaneous;31;0.37377520563930905;0.12839713603593314;0.3972156995057349;0.13601928928916654
ROS detoxification;8;0.8998136487370887;0.023738317178578217;0.9230072466108871;0.025759499635822497
Nucleotide metabolism;98;0.31074635569586184;0.9471711520920726;0.3369878612972164;0.9472561874631942
Porphyrin metabolism;13;0.7857733125358537;0.5864340379992208;0.8066578623911033;0.5872819438491079
Purine metabolism;79;0.029638454566981238;0.0007554462688652167;0.0366163164720015;0.0003845969596544263
Vitamin B6 metabolism;5;0.9971357680149054;0.06839277113955813;0.992394156590988;0.07034148241790018
Fatty acid biosynthesis (even-chain);2;0.7857733125358537;0.0;0.8066578623911033;0.0
Amino sugar and nucleotide sugar metabolism;20;0.3980702948869816;0.8489654555031725;0.4177403340412115;0.5965385129924922
Biopterin metabolism;23;0.3579826960673658;1.0;0.16472010173550072;1.0
Thiamine metabolism;5;0.7857733125358537;0.06839277113955813;0.8066578623911033;0.07034148241790018
Nicotinate and nicotinamide metabolism;22;0.8998136487370887;0.05230220283029879;0.9230072466108871;0.05544087959838307
Fructose and mannose metabolism;10;0.011427203143826298;0.9006345141786234;0.012280782640928758;0.9013012970543774
Pentose and glucuronate interconversions;10;0.0492566228744843;0.9006345141786234;0.04984466024998943;0.9013012970543774
Beta-alanine metabolism;8;0.692481893775918;1.0;0.709320946071831;1.0
Aminoacyl-tRNA biosynthesis;21;0.9999999999999751;9.423408234288111e-09;0.992394156590988;1.0814368497924498e-08
Protein assembly;7;0.9999999999999751;0.6519239793977789;0.9999999999999833;0.6363294676515641
Protein degradation;8;0.8998136487370887;0.80729521355695;0.9230072466108871;0.7885970378782174
Histidine metabolism;10;0.9999999999999751;1.0;0.9999999999999833;1.0
Vitamin E metabolism;28;0.9999999999999751;0.0007554462688652167;0.9999999999999833;0.0008368782110525813
Riboflavin metabolism;5;0.7857733125358537;1.0;0.8066578623911033;1.0
Retinol metabolism;47;0.9999999999999751;0.0;0.9999999999999833;0.0
Phenylalanine, tyrosine and tryptophan biosynthesis;48;0.9999999999999751;1.0;0.9999999999999833;1.0
Terpenoid backbone biosynthesis;6;0.7857733125358537;0.024696592727731014;0.8066578623911033;0.026613103193014465
Lysine metabolism;12;0.8998136487370887;0.003611081862898123;0.9230072466108871;0.003838309619581641
Ether lipid metabolism;8;0.692481893775918;0.973846906417221;0.709320946071831;0.9674173915570116
Protein modification;6;0.10208814824052448;1.0;0.10225875603733194;1.0
Tyrosine metabolism;23;0.027696633676505315;1.0;0.031181573459988052;1.0
Eicosanoid metabolism;15;0.9902889645538285;1.0;0.992394156590988;1.0
Tryptophan metabolism;6;0.7857733125358537;1.0;0.8066578623911033;0.5160798426021637
Vitamin B12 metabolism;4;0.9565375864789938;0.0;0.9638969969296212;0.0
Isolated;13;0.053114262983843606;0.973846906417221;0.05419374732192484;0.9674173915570116
Xenobiotics metabolism;56;0.9999999999999751;1.0;0.9999999999999833;1.0
Vitamin A metabolism;6;0.7857733125358537;0.0023088426841177956;0.8066578623911033;0.0024153357825138872
CoA synthesis;2;0.0;0.8489654555031725;0.0;0.8500430728008294
Drug metabolism;64;0.9999999999999751;1.0;0.9999999999999833;1.0
Valine, leucine, and isoleucine metabolism;7;0.8984587743389454;1.0;0.9113831671910473;1.0
;3;0.8998136487370887;0.9472176916175227;0.9230072466108871;0.9472561874631942
N-glycan metabolism;34;0.9999999999999751;1.0;0.9999999999999833;1.0
Exchange;2;0.7857733125358537;0.8489654555031725;0.8066578623911033;0.8500430728008294
Glycosphingolipid metabolism;11;0.9999999999999751;1.0;0.9999999999999833;1.0
Glycosphingolipid biosynthesis-ganglio series;6;0.9999999999999751;1.0;0.9999999999999833;1.0
Glycosphingolipid biosynthesis-lacto and neolacto series;7;0.9999999999999751;1.0;0.9999999999999833;1.0
Beta oxidation of poly-unsaturated fatty acids (mitochondrial);4;0.9565375864789938;0.973846906417221;0.9638969969296212;0.9674173915570116
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);14;0.9999999999999751;1.0;0.9999999999999833;1.0
Bile acid recycling;8;0.06781626355935957;0.973846906417221;0.06841993282773018;0.9674173915570116
Estrogen metabolism;52;0.9999999999999751;1.0;0.9999999999999833;1.0
Linoleate metabolism;10;0.9999999999999751;1.0;0.9999999999999833;1.0
Carnitine shuttle (endoplasmic reticular);3;0.8998136487370887;0.9472176916175227;0.9230072466108871;0.9472561874631942
Fatty acid activation (endoplasmic reticular);56;0.9999999999999751;1.0;0.9999999999999833;1.0
Beta oxidation of phytanic acid (peroxisomal);3;0.0;0.9472176916175227;0.0;0.9472561874631942
Formation and hydrolysis of cholesterol esters;130;0.9999999999999751;1.0;0.9999999999999833;1.0
Serotonin and melatonin biosynthesis;7;0.9999999999999751;1.0;0.9999999999999833;1.0
Ascorbate and aldarate metabolism;4;0.9565375864789938;0.973846906417221;0.9638969969296212;0.9674173915570116
Metabolism of other amino acids;2;0.7857733125358537;0.8489654555031725;0.8066578623911033;0.8500430728008294
O-glycan metabolism;5;0.9971357680149054;1.0;0.992394156590988;1.0
Keratan sulfate degradation;72;0.9999999999999751;1.0;0.9999999999999833;1.0
Keratan sulfate biosynthesis;5;0.9971357680149054;1.0;0.992394156590988;1.0
Chondroitin sulfate degradation;37;0.9999999999999751;1.0;0.9999999999999833;1.0
Heparan sulfate degradation;4;0.9565375864789938;0.973846906417221;0.9638969969296212;0.9674173915570116
Blood group biosynthesis;2;0.7857733125358537;0.8489654555031725;0.8066578623911033;0.8500430728008294
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis;2;0.7857733125358537;0.8489654555031725;0.8066578623911033;0.8500430728008294
Heme degradation;2;0.7857733125358537;0.8489654555031725;0.8066578623911033;0.8500430728008294
Phenylalanine metabolism;2;0.0;0.8489654555031725;0.0;0.8500430728008294
Urea cycle;2;0.7857733125358537;0.8489654555031725;0.8066578623911033;0.8500430728008294
