subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;861;1.327784066473825e-07;7.911784697772144e-06;2.8301377491546376e-08;9.814808713747168e-06
Ubiquinone synthesis;7;0.5393786150942446;0.005809723527231725;0.5366753874706102;0.005886996071960504
Propanoate metabolism;15;0.04492029452031657;0.38891123329896626;0.04733436757754557;0.38022148725665894
Starch and sucrose metabolism;10;0.8869919834078774;0.549141020220111;0.9000931405402418;0.5384697998156383
Sphingolipid metabolism;34;0.9999999958482448;0.41860055574112714;0.9999999965332967;0.4100612134913585
Fatty acid oxidation;177;0.9999999958482448;0.9999999977079296;0.9999999965332967;0.9999999978237955
Glycerophospholipid metabolism;55;0.9999999958482448;2.819445367429248e-05;0.9999999965332967;2.9586987122770525e-05
Oxidative phosphorylation;9;0.37610220182115345;0.8385458316214941;0.3753092842283218;0.8402234306175713
Tyrosine metabolism;17;0.9999999958482448;0.5419423798474117;0.9999999965332967;0.5320392346645705
Fatty acid biosynthesis;50;0.9999999958482448;0.9999999977079296;0.9999999965332967;0.9999999978237955
Cholesterol metabolism;38;0.9999999958482448;0.8385458316214941;0.9999999965332967;0.8402234306175713
Exchange/demand reactions;310;0.34154278345438427;0.9999999977079296;0.31635502412913497;0.9999999978237955
Miscellaneous;34;0.9999999958482448;0.41860055574112714;0.9999999965332967;0.4100612134913585
Heme synthesis;3;0.9999999958482448;0.0;0.9999999965332967;0.0
Pentose phosphate pathway;23;0.002711146315245101;0.8500476222389141;0.002956904967785266;0.8549261484522266
Acylglycerides metabolism;13;0.9999999958482448;0.9825141164291366;0.9999999965332967;0.9854716807406563
Pool reactions;12;0.9999999958482448;0.41023911038743655;0.9999999965332967;0.4013668079409804
Acyl-CoA hydrolysis;61;0.009982942890733544;0.3321549377710351;0.011265093214864103;0.3386619893828469
Fatty acid activation (cytosolic);60;0.0032733565182668472;0.005033368464632553;0.0037391755603838417;0.005220434527266774
Glycerolipid metabolism;66;7.914799926567184e-09;0.02085626740210251;9.93853477293527e-09;0.021555030021298594
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;38;0.21783661944168878;0.9484923790625729;0.23083356902244426;0.9511624263156572
Artificial reactions;7;0.9999999958482448;0.0002621373250410751;0.9999999965332967;0.0002663799299067887
Steroid metabolism;14;0.9999999958482448;0.9999999977079296;0.9999999965332967;0.9999999978237955
Arachidonic acid metabolism;71;0.9999999958482448;0.9999999977079296;0.9999999965332967;0.9999999978237955
