subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;1325;6.022233892122308e-08;0.9999966630362512;4.584043999944498e-08;0.9999967021518328
Eicosanoid metabolism;14;0.9679764088282246;0.6517252309828755;0.9700320291150897;0.6349867081008437
Valine, leucine, and isoleucine metabolism;7;0.9999998994308167;0.6517252309828755;0.9999999030156724;0.6349867081008437
Propanoate metabolism;9;0.9999998994308167;0.9999966630362512;0.9999999030156724;0.9999967021518328
Phenylalanine metabolism;5;0.9999998994308167;0.2470345786777191;0.9999999030156724;0.2381743643937816
Drug metabolism;54;0.39725337457592624;0.7242007124674747;0.40045356201910765;0.7127628731963437
Histidine metabolism;2;0.9999998994308167;0.0;0.9999999030156724;0.0
Fatty acid oxidation;125;0.9999998994308167;0.6517252309828755;0.9999999030156724;0.6349867081008437
Pentose phosphate pathway;14;0.9679764088282246;0.9999966630362512;0.9700320291150897;0.9999967021518328
Lysine metabolism;16;0.9999998994308167;0.9999966630362512;0.9999999030156724;0.9999967021518328
Bile acid biosynthesis;10;0.47859751071994633;0.9999966630362512;0.4801254512843374;0.9999967021518328
Starch and sucrose metabolism;3;0.3630185804659626;0.9999966630362512;0.3638223116418612;0.9999967021518328
Sphingolipid metabolism;15;0.9999998994308167;0.9999966630362512;0.9999999030156724;0.9999967021518328
Pyrimidine metabolism;45;0.41890888297311385;0.9999966630362512;0.4209078621711841;0.9999967021518328
Cholesterol metabolism;49;0.39725337457592624;0.9999966630362512;0.40045356201910765;0.9999967021518328
ROS detoxification;7;0.9999998994308167;0.9999966630362512;0.9999999030156724;0.9999967021518328
Glycerophospholipid metabolism;35;0.9999998994308167;0.9999966630362512;0.9999999030156724;0.9999967021518328
Fatty acid biosynthesis;38;0.25594999877253705;0.9999966630362512;0.258083246017409;0.9999967021518328
N-glycan metabolism;9;0.9752070522903633;0.9999966630362512;0.9767964716610698;0.9999967021518328
Tyrosine metabolism;6;0.9999998994308167;0.13458002001059094;0.9999999030156724;0.13504194114747103
