subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;1213;0.015035756926461863;0.14938034340719764;0.015035756926461863;0.15971967191303107
Drug metabolism;115;0.8213733941983675;0.33628883085823924;0.8213733941983675;0.24267700756233235
Eicosanoid metabolism;15;0.04669496450414042;0.8211762088166822;0.04669496450414042;0.8028549699471479
Valine, leucine, and isoleucine metabolism;8;0.08403154284308924;0.6981956878141434;0.08403154284308924;0.7021473142229122
Tyrosine metabolism;14;0.07266081879272601;0.9994001923137644;0.07266081879272601;0.9994107769479073
Histidine metabolism;4;0.686383718940906;0.8905468944244799;0.686383718940906;0.8714789804497326
Alanine, aspartate and glutamate metabolism;9;0.6074456018733773;0.9354726752603284;0.6074456018733773;0.9364935392230999
Bile acid biosynthesis;48;0.9158351251265562;0.6006654703331362;0.9158351251265562;0.6093856074229222
Fatty acid oxidation;90;0.7263603364214143;0.9675795446835604;0.7263603364214143;0.9710576309472201
Pentose phosphate pathway;18;0.5196250730255952;0.9354726752603284;0.5196250730255952;0.9364935392230999
Lysine metabolism;3;0.5620011077541195;0.9354726752603284;0.5620011077541195;0.9364935392230999
Starch and sucrose metabolism;4;0.9158351251265562;0.8905468944244799;0.9158351251265562;0.8714789804497326
Sphingolipid metabolism;12;0.8092049882704234;0.8211762088166822;0.8092049882704234;0.8028549699471479
Dietary fiber binding;3;0.5620011077541195;0.1694752922048952;0.5620011077541195;0.1704952016468489
ROS detoxification;7;0.686383718940906;0.9994001923137644;0.686383718940906;0.9994107769479073
Glycerophospholipid metabolism;30;0.999977612181883;2.3287197056465203e-05;0.999977612181883;2.419202090520045e-05
Fatty acid biosynthesis;49;0.999977612181883;0.33628883085823924;0.999977612181883;0.32809350466701626
Cholesterol metabolism;19;0.32402841559391493;0.9994001923137644;0.32402841559391493;0.9994107769479073
N-glycan metabolism;4;0.3230665232151358;0.9354726752603284;0.3230665232151358;0.9364935392230999
Pyrimidine metabolism;39;0.6074456018733773;0.9354726752603284;0.6074456018733773;0.9364935392230999
Exchange/demand reactions;470;0.999977612181883;0.9354726752603284;0.999977612181883;0.9364935392230999
Miscellaneous;27;0.21543016477002314;0.9796307879579117;0.21543016477002314;0.9813285893006286
Glycine, serine and threonine metabolism;11;0.7817966051928702;0.36600865563074614;0.7817966051928702;0.3709705965585847
Acylglycerides metabolism;10;0.8963350514419148;0.0026572262851081163;0.8963350514419148;0.0027036638793564547
Pool reactions;10;0.24403260831833348;0.9354726752603284;0.24403260831833348;0.9364935392230999
Fatty acid activation (cytosolic);60;0.6074456018733773;0.7847517133386738;0.6074456018733773;0.7957409002354012
Acyl-CoA hydrolysis;2;0.0;0.9354726752603284;0.0;0.9364935392230999
Glycerolipid metabolism;66;0.5445242915962608;0.9354726752603284;0.5445242915962608;0.9364935392230999
Inositol phosphate metabolism;6;0.6074456018733773;0.08952189869346339;0.6074456018733773;0.09036308613230637
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;30;0.5419190171034989;0.36600865563074614;0.5419190171034989;0.3711386813530846
Nicotinate and nicotinamide metabolism;12;0.8092049882704234;0.8211762088166822;0.8092049882704234;0.8028549699471479
Glycosphingolipid metabolism;12;0.21543016477002314;0.48683060397195865;0.21543016477002314;0.4908067067210946
Glycosphingolipid biosynthesis-globo series;3;0.8963350514419148;0.0;0.8963350514419148;0.0
Arachidonic acid metabolism;11;0.04875210610513907;0.9354726752603284;0.04875210610513907;0.9364935392230999
Steroid metabolism;14;0.5706323865770139;0.9354726752603284;0.5706323865770139;0.9364935392230999
Leukotriene metabolism;45;0.9158351251265562;0.07274971805013448;0.9158351251265562;0.07471701355344607
Prostaglandin biosynthesis;19;0.999977612181883;0.08952189869346339;0.999977612181883;0.09036308613230637
Butanoate metabolism;4;0.9158351251265562;0.0;0.9158351251265562;0.0
Cholesterol biosynthesis 2;2;0.8092049882704234;0.9354726752603284;0.8092049882704234;0.9364935392230999
Pyruvate metabolism;19;0.9158351251265562;0.8905468944244799;0.9158351251265562;0.8714789804497326
Bile acid recycling;6;0.08403154284308924;0.8211762088166822;0.08403154284308924;0.8028549699471479
Androgen metabolism;9;0.8277271142804715;0.42762300149184146;0.8277271142804715;0.43083447194621854
Estrogen metabolism;52;0.999977612181883;0.9994001923137644;0.999977612181883;0.9994107769479073
Vitamin D metabolism;20;0.999977612181883;0.9994001923137644;0.999977612181883;0.9994107769479073
Fatty acid biosynthesis (even-chain);29;0.2976786930873611;0.9596704170902672;0.2976786930873611;0.9619554626434103
Fatty acid elongation (even-chain);21;0.6074456018733773;0.9354726752603284;0.6074456018733773;0.8028549699471479
Fatty acid biosynthesis (odd-chain);30;0.6074456018733773;0.9354726752603284;0.6074456018733773;0.9364935392230999
Fatty acid elongation (odd-chain);13;0.686383718940906;0.9563547161178981;0.686383718940906;0.9579557455049721
Fatty acid desaturation (even-chain);13;0.28903610945252356;0.9563547161178981;0.28903610945252356;0.9579557455049721
Fatty acid desaturation (odd-chain);3;0.0;0.9354726752603284;0.0;0.9364935392230999
Fatty acid biosynthesis (unsaturated);33;0.999977612181883;0.9354726752603284;0.999977612181883;0.9364935392230999
Omega-6 fatty acid metabolism;28;0.999977612181883;0.8905468944244799;0.999977612181883;0.8714789804497326
Linoleate metabolism;8;0.27707268576079874;0.6981956878141434;0.27707268576079874;0.7021473142229122
Omega-3 fatty acid metabolism;39;0.6074456018733773;0.15648332121025246;0.6074456018733773;0.15971967191303107
Carnitine shuttle (cytosolic);8;0.5620011077541195;0.9354726752603284;0.5620011077541195;0.9364935392230999
Carnitine shuttle (mitochondrial);12;0.9158351251265562;0.9354726752603284;0.9158351251265562;0.9364935392230999
Carnitine shuttle (endoplasmic reticular);14;0.999977612181883;0.9994001923137644;0.999977612181883;0.9994107769479073
Fatty acid activation (endoplasmic reticular);9;0.9598321386486216;0.9994001923137644;0.9598321386486216;0.9994107769479073
Beta oxidation of even-chain fatty acids (mitochondrial);8;0.9158351251265562;0.9994001923137644;0.9158351251265562;0.9994107769479073
Beta oxidation of phytanic acid (peroxisomal);3;0.8963350514419148;0.9354726752603284;0.8963350514419148;0.9364935392230999
Glutathione metabolism;11;0.5620011077541195;0.9354726752603284;0.5620011077541195;0.9364935392230999
Cysteine and methionine metabolism;17;0.999977612181883;0.2152948522928843;0.999977612181883;0.21799175548728286
