subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;1366;0.40602589148299323;0.7360546706289358;0.42715483108323427;0.7368066480034763
Drug metabolism;66;0.9999983932245456;0.9478800866505157;0.9999985103415864;0.9500939516312862
Valine, leucine, and isoleucine metabolism;8;0.9999983932245456;0.9999999999998592;0.9999985103415864;0.9999999999998629
Tyrosine metabolism;17;0.9766946095077448;0.2028906953036574;0.9818239254208891;0.20447230055096405
Ubiquinone synthesis;2;0.0;0.9381827408171122;0.0;0.9386200549044245
Histidine metabolism;3;0.9999983932245456;0.9999999999998592;0.9999985103415864;0.9999999999998629
Fatty acid oxidation;94;0.8116403926120914;0.49088242377531244;0.8197909688208532;0.4993484246534134
Pentose phosphate pathway;17;0.9999983932245456;0.2028906953036574;0.9999985103415864;0.20447230055096405
Lysine metabolism;7;0.07836375612386147;0.9381827408171122;0.07960450466596745;0.9386200549044245
Purine metabolism;53;0.7822133468840196;0.596414853973938;0.7753727699778282;0.5994909356231828
Isolated;8;0.9503041523371328;0.235672296876032;0.9540062910062986;0.23640581958982929
Starch and sucrose metabolism;3;0.9999983932245456;0.9999999999998592;0.9999985103415864;0.9999999999998629
Peptide metabolism;4;0.8144828867105389;0.17322298162470587;0.8197909688208532;0.17366068972763285
Sphingolipid metabolism;18;0.9999983932245456;0.17322298162470587;0.9999985103415864;0.17366068972763285
Dietary fiber binding;3;0.9999983932245456;0.0;0.9999985103415864;0.0
Hippurate metabolism;3;0.9999983932245456;0.0;0.9999985103415864;0.0
Cholesterol metabolism;47;0.9421403982198989;0.49088242377531244;0.9442077222836636;0.49949803404782994
Glycerophospholipid metabolism;38;0.9999983932245456;0.17322298162470587;0.9999985103415864;0.17366068972763285
Fatty acid biosynthesis;50;0.9999983932245456;0.2028906953036574;0.9999985103415864;0.20447230055096405
N-glycan metabolism;4;0.9999983932245456;0.9999999999998592;0.9999985103415864;0.9999999999998629
CoA synthesis;3;0.7361405943470096;0.2437555156417491;0.7242307788413183;0.24470705143977348
Pyrimidine metabolism;37;0.6879225990689402;0.9999999999998592;0.6961620072812691;0.9999999999998629
Exchange/demand reactions;487;0.7822133468840196;0.49088242377531244;0.7753727699778282;0.49949803404782994
