subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;1306;0.749521315438117;0.9999999999999983;0.72591743848397;0.9999999999999984
Drug metabolism;133;0.999999962243247;0.0022116338877936257;0.9999999637132557;0.0022404803920380322
Beta-alanine metabolism;6;0.999999962243247;0.8736584347228284;0.9999999637132557;0.8757746427912501
Valine, leucine, and isoleucine metabolism;7;0.10305791889556634;0.9999999999999983;0.10528774452870952;0.9999999999999984
Tyrosine metabolism;23;0.08164927227375111;0.9999999999999983;0.08261822220069129;0.9999999999999984
Histidine metabolism;9;0.11656385951462765;0.9999999999999983;0.11709657001021488;0.9999999999999984
Fatty acid oxidation;124;0.999999962243247;1.6942735448896175e-06;0.9999999637132557;1.7441324042165107e-06
Pentose phosphate pathway;24;0.999999962243247;0.10451913941277467;0.9999999637132557;0.1051185033263172
Lysine metabolism;6;0.16759098230872382;0.8736584347228284;0.16845231224443058;0.8757746427912501
Bile acid biosynthesis;54;0.0910553252532618;0.9999999999999983;0.09267361194215985;0.9999999999999984
Purine metabolism;69;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Starch and sucrose metabolism;11;0.6623409523314431;0.6176578470389983;0.6650375730086167;0.6189467990728138
Peptide metabolism;3;0.23568919653435624;0.9999999999999983;0.23649635078851483;0.9999999999999984
Sphingolipid metabolism;26;0.999999962243247;0.5242332643964578;0.9999999637132557;0.5260644036095381
ROS detoxification;8;0.999999962243247;0.19122466620505518;0.9999999637132557;0.1917765560860416
Glycerophospholipid metabolism;50;0.999999962243247;0.19879524876982146;0.9999999637132557;0.2001805413429593
N-glycan metabolism;36;0.10559970814542452;0.8736584347228284;0.10706681456230162;0.8757746427912501
Exchange/demand reactions;593;0.999999962243247;0.37217923037530387;0.9999999637132557;0.3261302585776243
Miscellaneous;31;0.4171913966303628;0.9999999999999983;0.4207861138133106;0.9999999999999984
Fatty acid biosynthesis;29;0.999999962243247;0.2245233366926938;0.9999999637132557;0.2256552380243104
Dietary fiber binding;4;0.999999962243247;0.12498927672895269;0.9999999637132557;0.1252784364344451
Acylglycerides metabolism;19;0.999999962243247;0.5163932267379594;0.9999999637132557;0.5185131273654089
Pool reactions;11;0.3281812441040858;0.8736584347228284;0.3300286414006264;0.8757746427912501
Acyl-CoA hydrolysis;2;0.0;0.9999999999999983;0.0;0.9999999999999984
Fatty acid activation (cytosolic);66;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Glycerolipid metabolism;68;0.999999962243247;3.6950812779916e-11;0.9999999637132557;9.650139946397e-11
Glycine, serine and threonine metabolism;15;0.3281812441040858;0.5421390625592643;0.3300286414006264;0.5435422365918094
Inositol phosphate metabolism;40;0.5977996758705196;0.5305461093883475;0.6026865910891009;0.5328060056640412
Glycosphingolipid metabolism;13;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Glycosphingolipid biosynthesis-globo series;3;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Glycosphingolipid biosynthesis-ganglio series;13;0.999999962243247;0.0014157484234919532;0.9999999637132557;0.0014278111269490686
Arachidonic acid metabolism;15;0.999999962243247;0.0022251671110269035;0.9999999637132557;0.0022404803920380322
Steroid metabolism;20;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Leukotriene metabolism;20;0.999999962243247;4.0648568881418434e-06;0.9999999637132557;4.108530168300817e-06
Prostaglandin biosynthesis;26;0.999999962243247;0.10451913941277467;0.9999999637132557;0.1051185033263172
Cholesterol metabolism;20;0.05024324651998601;0.9999999999999983;0.05087227216371926;0.9999999999999984
Androgen metabolism;11;0.6623409523314431;0.9999999999999983;0.6650375730086167;0.9999999999999984
Estrogen metabolism;59;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Fatty acid elongation (even-chain);21;0.3086314396912989;0.9999999999999983;0.3111039401270315;0.9999999999999984
Fatty acid elongation (odd-chain);13;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Fatty acid desaturation (even-chain);4;0.5153833910654402;0.941781265631219;0.5171949255041596;0.942501062635418
Fatty acid biosynthesis (unsaturated);33;0.999999962243247;0.8736584347228284;0.9999999637132557;0.8757746427912501
Omega-6 fatty acid metabolism;29;0.999999962243247;0.001021594008220994;0.9999999637132557;0.0010322004968347602
Linoleate metabolism;16;0.22529195594582277;0.8736584347228284;0.22702009440150975;0.8757746427912501
Omega-3 fatty acid metabolism;45;0.999999962243247;0.17982987901064248;0.9999999637132557;0.18106017374223415
Carnitine shuttle (cytosolic);12;0.999999962243247;0.018821102817591195;0.9999999637132557;0.018918080219934574
Carnitine shuttle (mitochondrial);9;0.999999962243247;0.024308880488664773;0.9999999637132557;0.024413926406736886
Carnitine shuttle (endoplasmic reticular);14;0.999999962243247;0.0;0.9999999637132557;0.0
Fatty acid activation (endoplasmic reticular);56;0.0;0.9999999999999983;0.0;0.9999999999999984
Beta oxidation of even-chain fatty acids (mitochondrial);6;0.16759098230872382;0.8736584347228284;0.16845231224443058;0.8757746427912501
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);4;0.5153833910654402;0.5163932267379594;0.5171949255041596;0.5185131273654089
Beta oxidation of phytanic acid (peroxisomal);3;0.8240759147973095;0.9999999999999983;0.825610782008569;0.9999999999999984
Alanine, aspartate and glutamate metabolism;8;0.05659371673788345;0.9999999999999983;0.057012181509729726;0.9999999999999984
Arginine and proline metabolism;35;0.7784374648245882;0.5163932267379594;0.783435173032255;0.5185131273654089
Pyruvate metabolism;22;0.05024324651998601;0.9999999999999983;0.05087227216371926;0.9999999999999984
Glutathione metabolism;14;0.033665200921799636;0.9999999999999983;0.03402367544065367;0.9999999999999984
Cysteine and methionine metabolism;19;0.8240759147973095;0.9999999999999983;0.825610782008569;0.9999999999999984
Glycolysis / Gluconeogenesis;26;0.999999962243247;0.32754915871372103;0.9999999637132557;0.3261302585776243
Pyrimidine metabolism;47;0.999999962243247;0.6823223806768781;0.9999999637132557;0.6849612128318082
Galactose metabolism;9;0.999999962243247;0.6419004912955533;0.9999999637132557;0.6430719780080724
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;21;0.999999962243247;0.14588899391876048;0.9999999637132557;0.1466108063916566
Nucleotide metabolism;87;0.999999962243247;0.004146077227314363;0.9999999637132557;0.004212443480752714
Folate metabolism;12;0.999999962243247;0.7428951098706977;0.9999999637132557;0.7442670953343367
Oxidative phosphorylation;8;0.9350184495781769;0.9999999999999983;0.9374465883740667;0.9999999999999984
Amino sugar and nucleotide sugar metabolism;17;0.999999962243247;0.14588899391876048;0.9999999637132557;0.1466108063916566
Porphyrin metabolism;12;0.999999962243247;0.9874899673060658;0.9999999637132557;0.9886575788646278
Vitamin B6 metabolism;3;0.999999962243247;0.21967374153160638;0.9999999637132557;0.2200546786642283
Fatty acid biosynthesis (even-chain);2;0.0;0.9999999999999983;0.0;0.9999999999999984
Phenylalanine, tyrosine and tryptophan biosynthesis;56;0.999999962243247;0.0036064748576956707;0.9999999637132557;0.003653357345218528
Nicotinate and nicotinamide metabolism;21;0.999999962243247;0.14588899391876048;0.9999999637132557;0.1466108063916566
Fructose and mannose metabolism;12;0.4941727841546724;0.7428951098706977;0.4966846256006885;0.7442670953343367
Propanoate metabolism;6;0.16759098230872382;0.8736584347228284;0.16845231224443058;0.8757746427912501
Serotonin and melatonin biosynthesis;8;0.1974108990391659;0.8729275466043201;0.19853203973759606;0.8740905205976838
Biopterin metabolism;22;0.05024324651998601;0.9999999999999983;0.05087227216371926;0.9999999999999984
Pentose and glucuronate interconversions;9;0.3281812441040858;0.6419004912955533;0.3300286414006264;0.6430719780080724
Aminoacyl-tRNA biosynthesis;21;0.999999962243247;0.0014157484234919532;0.9999999637132557;0.0014278111269490686
Protein assembly;5;0.999999962243247;0.05997964058939105;0.9999999637132557;0.060153192809069465
Protein degradation;3;0.0;0.9999999999999983;0.0;0.9999999999999984
Butanoate metabolism;2;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Ascorbate and aldarate metabolism;6;0.0;0.9999999999999983;0.0;0.9999999999999984
Vitamin E metabolism;24;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Riboflavin metabolism;6;0.5153833910654402;0.9999999999999983;0.5171949255041596;0.9999999999999984
Retinol metabolism;52;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Xenobiotics metabolism;85;0.10305791889556634;0.17982987901064248;0.10528774452870952;0.18106017374223415
Metabolism of other amino acids;2;0.999999962243247;0.0;0.9999999637132557;0.0
O-glycan metabolism;6;0.999999962243247;0.8736584347228284;0.9999999637132557;0.8757746427912501
Chondroitin sulfate degradation;20;0.999999962243247;0.8729275466043201;0.9999999637132557;0.8740905205976838
Ether lipid metabolism;7;0.999999962243247;0.10439246890496169;0.9999999637132557;0.10472394921830973
Protein modification;7;0.999999962243247;0.6823223806768781;0.9999999637132557;0.6849612128318082
Vitamin D metabolism;21;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Tryptophan metabolism;9;0.999999962243247;0.3174758902808827;0.9999999637132557;0.31830371966186927
Eicosanoid metabolism;16;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Isolated;14;0.033665200921799636;0.9999999999999983;0.03402367544065367;0.9999999999999984
Artificial reactions;9;0.999999962243247;0.9387591979775252;0.9999999637132557;0.9398210998599568
Vitamin A metabolism;4;0.999999962243247;0.5163932267379594;0.9999999637132557;0.5185131273654089
Phenylalanine metabolism;3;0.999999962243247;0.0;0.9999999637132557;0.0
Urea cycle;2;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Phosphatidylinositol phosphate metabolism;3;0.8240759147973095;0.21967374153160638;0.825610782008569;0.2200546786642283
Vitamin C metabolism;2;0.999999962243247;0.0;0.9999999637132557;0.0
Heme degradation;3;0.8240759147973095;0.9999999999999983;0.825610782008569;0.9999999999999984
;3;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Heme synthesis;2;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Glycosphingolipid biosynthesis-lacto and neolacto series;9;0.002632489585232397;0.9999999999999983;0.002659675189015035;0.9999999999999984
Cholesterol biosynthesis 1 (Bloch pathway) ;21;0.0;0.9999999999999983;0.0;0.9999999999999984
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);17;0.0;0.9999999999999983;0.0;0.9999999999999984
Cholesterol biosynthesis 2;4;0.11656385951462765;0.9999999999999983;0.11709657001021488;0.9999999999999984
Terpenoid backbone biosynthesis;2;0.0;0.9999999999999983;0.0;0.9999999999999984
Bile acid recycling;7;0.0;0.9999999999999983;0.0;0.9999999999999984
Glucocorticoid biosynthesis;2;0.0;0.9999999999999983;0.0;0.9999999999999984
Beta oxidation of odd-chain fatty acids (mitochondrial);5;0.999999962243247;0.05997964058939105;0.9999999637132557;0.060153192809069465
Formation and hydrolysis of cholesterol esters;165;0.0;0.9999999999999983;0.0;0.9999999999999984
Pantothenate and CoA biosynthesis;5;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
Thiamine metabolism;3;0.999999962243247;0.0;0.9999999637132557;0.0
Keratan sulfate degradation;66;0.11126652707470307;0.2103847084273206;0.1133304409339916;0.21203769576856485
Vitamin B12 metabolism;4;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
CoA synthesis;2;0.999999962243247;0.9999999999999983;0.9999999637132557;0.9999999999999984
