subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;1046;0.28346241486792456;0.8746373636898221;0.28346241486792456;0.8760951808997292
Valine, leucine, and isoleucine metabolism;7;0.9658046967383167;0.5607121808706739;0.9658046967383167;0.5621680658733904
Drug metabolism;77;0.9658046967383167;0.01846146462814943;0.9658046967383167;0.01881523236030469
Histidine metabolism;7;0.8366458282664059;0.9059833580183765;0.8366458282664059;0.9066447943094617
Fatty acid oxidation;124;0.999999478824291;0.0;0.999999478824291;0.0
Pentose phosphate pathway;17;0.6960013060269749;0.9940602520173438;0.6960013060269749;0.9946614347097877
Lysine metabolism;16;0.369919922574271;0.6329611446999807;0.369919922574271;0.6349802334441237
Bile acid biosynthesis;25;0.9555133592800953;0.0015946876187412455;0.9555133592800953;0.001615702933374134
Tyrosine metabolism;19;0.6065570920685701;0.5168654131854115;0.6065570920685701;0.5191480651564114
Isolated;9;0.41490087175986506;0.19987926085414076;0.41490087175986506;0.20072902534770737
Starch and sucrose metabolism;3;0.6065570920685701;0.18228433912101988;0.6065570920685701;0.1827648777880081
Peptide metabolism;4;0.9658046967383167;0.44928843598913937;0.9658046967383167;0.4348118940956104
Sphingolipid metabolism;18;0.7945939029294167;0.7816183220446249;0.7945939029294167;0.7826155076798955
Cholesterol metabolism;39;0.9658046967383167;0.5847626610022983;0.9658046967383167;0.5880494259207586
ROS detoxification;7;0.9658046967383167;0.7970307578582362;0.9658046967383167;0.798281571503472
Glycerophospholipid metabolism;31;0.999999478824291;0.5883280321741096;0.999999478824291;0.5912428472417891
Fatty acid biosynthesis;56;0.47321271716036684;0.8161548865613655;0.47321271716036684;0.8167272745944051
N-glycan metabolism;4;0.9658046967383167;0.7816183220446249;0.9658046967383167;0.7826155076798955
Pyrimidine metabolism;41;0.7428628719152082;0.8161548865613655;0.7428628719152082;0.8167272745944051
Exchange/demand reactions;457;0.01144869316684458;0.4716990580910006;0.01144869316684458;0.43390664655666916
Miscellaneous;34;0.24037021995394775;0.8161548865613655;0.24037021995394775;0.8167272745944051
Acylglycerides metabolism;7;0.999999478824291;0.07039948761231779;0.999999478824291;0.07074676184690283
Pool reactions;11;0.9658046967383167;0.6681558840527118;0.9658046967383167;0.6698508126200552
Fatty acid activation (cytosolic);60;0.999999478824291;0.9999953044394895;0.999999478824291;0.9999953989138338
Acyl-CoA hydrolysis;3;0.9658046967383167;0.0;0.9658046967383167;0.0
Glycerolipid metabolism;68;0.10724141669730324;0.9999953044394895;0.10724141669730324;0.9999953989138338
Glycine, serine and threonine metabolism;16;0.031034710903055974;0.9732830413477294;0.031034710903055974;0.9739879920106295
Inositol phosphate metabolism;28;0.47321271716036684;0.5844821495647082;0.47321271716036684;0.5873044747845024
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;31;0.34007091610024076;0.15915805471898653;0.34007091610024076;0.1604904208055062
Nicotinate and nicotinamide metabolism;16;0.8366458282664059;0.04523263370904336;0.8366458282664059;0.045586306432093916
Glycosphingolipid metabolism;11;0.9658046967383167;0.8161548865613655;0.9658046967383167;0.8167272745944051
Glycosphingolipid biosynthesis-globo series;2;0.9204636527463529;0.8161548865613655;0.9204636527463529;0.8167272745944051
Glycosphingolipid biosynthesis-ganglio series;6;0.9658046967383167;0.11202475217882353;0.9658046967383167;0.11247978295219979
Arachidonic acid metabolism;18;0.999999478824291;0.8460369372577468;0.999999478824291;0.8486159912462453
Steroid metabolism;17;0.999999478824291;0.026139593899849392;0.999999478824291;0.026366667850589207
Leukotriene metabolism;46;0.31302880015527235;0.9999953044394895;0.31302880015527235;0.9999953989138338
Prostaglandin biosynthesis;18;0.999999478824291;0.04523263370904336;0.999999478824291;0.045586306432093916
Butanoate metabolism;4;0.369919922574271;0.7816183220446249;0.369919922574271;0.7826155076798955
Cholesterol biosynthesis 1 (Bloch pathway) ;28;0.9658046967383167;0.6828848622891358;0.9658046967383167;0.6841195427614727
Cholesterol biosynthesis 2;5;0.999999478824291;0.20493582942910277;0.999999478824291;0.20559107375139338
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);17;0.999999478824291;0.07485088151698131;0.999999478824291;0.07540840728078267
Pyruvate metabolism;16;0.999999478824291;0.10552499637284941;0.999999478824291;0.10622092493829333
Androgen metabolism;9;0.229849802049003;0.5168654131854115;0.229849802049003;0.5191480651564114
Glucocorticoid biosynthesis;2;0.0;0.8161548865613655;0.0;0.8167272745944051
Estrogen metabolism;59;0.9204636527463529;0.9999953044394895;0.9204636527463529;0.9999953989138338
Fatty acid biosynthesis (even-chain);29;0.999999478824291;0.500858076954447;0.999999478824291;0.5036612816880016
Fatty acid elongation (even-chain);21;0.9658046967383167;0.6329611446999807;0.9658046967383167;0.6349802334441237
Fatty acid biosynthesis (odd-chain);30;0.9204636527463529;0.9999953044394895;0.9204636527463529;0.9999953989138338
Fatty acid elongation (odd-chain);13;0.5898499109697538;0.8056599599555939;0.5898499109697538;0.8072904358429693
Fatty acid desaturation (even-chain);13;0.8366458282664059;0.9999953044394895;0.8366458282664059;0.9999953989138338
Fatty acid desaturation (odd-chain);3;0.9658046967383167;0.8746373636898221;0.9658046967383167;0.8760951808997292
Fatty acid biosynthesis (unsaturated);33;0.999999478824291;0.9694941369293557;0.999999478824291;0.9705699834878014
Omega-6 fatty acid metabolism;29;0.999999478824291;0.8746373636898221;0.999999478824291;0.8760951808997292
Linoleate metabolism;8;0.9204636527463529;0.3828694725070613;0.9204636527463529;0.3841768025044455
Omega-3 fatty acid metabolism;36;0.34007091610024076;0.9999953044394895;0.34007091610024076;0.9999953989138338
Carnitine shuttle (cytosolic);10;0.5397123010240632;0.8746373636898221;0.5397123010240632;0.8760951808997292
Carnitine shuttle (mitochondrial);8;0.6065570920685701;0.6329611446999807;0.6065570920685701;0.6349802334441237
Carnitine shuttle (endoplasmic reticular);14;0.999999478824291;0.6828848622891358;0.999999478824291;0.6841195427614727
Fatty acid activation (endoplasmic reticular);9;0.999999478824291;0.9891218029566347;0.999999478824291;0.9895937211745579
Beta oxidation of even-chain fatty acids (mitochondrial);9;0.009839732423362418;0.8599323658498749;0.009839732423362418;0.8609232804770647
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);4;0.8336802288850895;0.08729339568825865;0.8336802288850895;0.08760049644845508
Beta oxidation of phytanic acid (peroxisomal);3;0.6065570920685701;0.18228433912101988;0.6065570920685701;0.1827648777880081
Alanine, aspartate and glutamate metabolism;7;0.23122882848739462;0.7970307578582362;0.23122882848739462;0.798281571503472
Arginine and proline metabolism;17;0.9658046967383167;0.5607121808706739;0.9658046967383167;0.5621680658733904
Glutathione metabolism;10;0.5397123010240632;0.6035003261645001;0.5397123010240632;0.6051996057480854
Pantothenate and CoA biosynthesis;10;0.5397123010240632;0.8746373636898221;0.5397123010240632;0.8760951808997292
Cysteine and methionine metabolism;19;0.4037779242364699;0.6594445724663429;0.4037779242364699;0.6616570763448155
Glycolysis / Gluconeogenesis;22;0.17582593275077515;0.8148646934319207;0.17582593275077515;0.8167272745944051
Galactose metabolism;9;0.009839732423362418;0.8599323658498749;0.009839732423362418;0.8609232804770647
Nucleotide metabolism;75;0.999999478824291;0.9999953044394895;0.999999478824291;0.9999953989138338
Oxidative phosphorylation;8;0.9204636527463529;0.9585572688051395;0.9204636527463529;0.9591259774560735
Amino sugar and nucleotide sugar metabolism;17;0.9658046967383167;0.5607121808706739;0.9658046967383167;0.5621680658733904
Porphyrin metabolism;8;0.9204636527463529;0.6329611446999807;0.9204636527463529;0.6349802334441237
Purine metabolism;65;0.369919922574271;0.8161548865613655;0.369919922574271;0.8167272745944051
Vitamin B6 metabolism;4;0.8336802288850895;0.7816183220446249;0.8336802288850895;0.7826155076798955
Beta-alanine metabolism;6;0.34007091610024076;0.6828848622891358;0.34007091610024076;0.6841195427614727
Sulfur metabolism;3;0.9658046967383167;0.6329611446999807;0.9658046967383167;0.6349802334441237
Phenylalanine, tyrosine and tryptophan biosynthesis;55;0.24037021995394775;0.8460369372577468;0.24037021995394775;0.8486159912462453
Propanoate metabolism;4;0.9658046967383167;0.08729339568825865;0.9658046967383167;0.08760049644845508
Fructose and mannose metabolism;13;0.18963011896933238;0.8056599599555939;0.18963011896933238;0.8072904358429693
Folate metabolism;4;0.9658046967383167;0.08729339568825865;0.9658046967383167;0.08760049644845508
Serotonin and melatonin biosynthesis;6;0.34007091610024076;0.9999953044394895;0.34007091610024076;0.9999953989138338
Biopterin metabolism;8;0.3376166743902179;0.6329611446999807;0.3376166743902179;0.6349802334441237
Pentose and glucuronate interconversions;2;0.9204636527463529;0.0;0.9204636527463529;0.0
Aminoacyl-tRNA biosynthesis;21;0.23435241876234225;0.7816183220446249;0.23435241876234225;0.7826155076798955
Protein assembly;4;0.9658046967383167;0.44928843598913937;0.9658046967383167;0.4348118940956104
Protein degradation;2;0.9204636527463529;0.0;0.9204636527463529;0.0
Ascorbate and aldarate metabolism;6;0.11849952345899434;0.6828848622891358;0.11849952345899434;0.6841195427614727
Lipoic acid metabolism;2;0.9204636527463529;0.0;0.9204636527463529;0.0
Vitamin E metabolism;23;0.999999478824291;0.9999953044394895;0.999999478824291;0.9999953989138338
Riboflavin metabolism;4;0.8336802288850895;0.08729339568825865;0.8336802288850895;0.08760049644845508
Retinol metabolism;51;0.999999478824291;0.9999953044394895;0.999999478824291;0.9999953989138338
Xenobiotics metabolism;3;0.9658046967383167;0.6329611446999807;0.9658046967383167;0.6349802334441237
Metabolism of other amino acids;8;0.999999478824291;0.8161548865613655;0.999999478824291;0.8167272745944051
O-glycan metabolism;4;0.0983292827292977;0.7816183220446249;0.0983292827292977;0.7826155076798955
Chondroitin sulfate degradation;20;0.7012161190415989;0.5844821495647082;0.7012161190415989;0.5873044747845024
Ether lipid metabolism;2;0.0;0.8161548865613655;0.0;0.8167272745944051
Protein modification;3;0.6065570920685701;0.18228433912101988;0.6065570920685701;0.1827648777880081
Vitamin D metabolism;20;0.999999478824291;0.9999953044394895;0.999999478824291;0.9999953989138338
Tryptophan metabolism;5;0.23122882848739462;0.8161548865613655;0.23122882848739462;0.8167272745944051
Eicosanoid metabolism;12;0.9555133592800953;0.8592559460948705;0.9555133592800953;0.8604387443330103
Artificial reactions;8;0.999999478824291;0.9999953044394895;0.999999478824291;0.9999953989138338
Vitamin A metabolism;4;0.0983292827292977;0.9585572688051395;0.0983292827292977;0.9591259774560735
Phenylalanine metabolism;3;0.9658046967383167;0.18228433912101988;0.9658046967383167;0.1827648777880081
Phosphatidylinositol phosphate metabolism;3;0.0;0.8746373636898221;0.0;0.8760951808997292
Heme degradation;2;0.0;0.8161548865613655;0.0;0.8167272745944051
;3;0.9658046967383167;0.8746373636898221;0.9658046967383167;0.8760951808997292
Heme synthesis;3;0.9658046967383167;0.8746373636898221;0.9658046967383167;0.8760951808997292
Glycosphingolipid biosynthesis-lacto and neolacto series;6;0.0;0.9999953044394895;0.0;0.9999953989138338
Thiamine metabolism;2;0.9204636527463529;0.8161548865613655;0.9204636527463529;0.8167272745944051
Vitamin B12 metabolism;4;0.9658046967383167;0.9585572688051395;0.9658046967383167;0.9591259774560735
Dietary fiber binding;3;0.0;0.8746373636898221;0.0;0.8760951808997292
CoA synthesis;2;0.9204636527463529;0.8161548865613655;0.9204636527463529;0.8167272745944051
