subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;875;3.6754021379703516e-06;0.015578850518216085;4.5611660087985225e-06;0.017169663409487206
Drug metabolism;53;0.18303421631738762;0.05963074107438997;0.18803813848988593;0.05787125321037914
Bile acid biosynthesis;70;0.8682231933132956;0.9999999948637041;0.878786262445087;0.9999999953272629
Propanoate metabolism;10;0.8064741364573005;0.13450715669757832;0.811237890021223;0.13641510847054084
Starch and sucrose metabolism;10;0.8064741364573005;0.8369149363566705;0.811237890021223;0.8423122679454416
Sphingolipid metabolism;29;0.9999990933997055;0.8330243782781231;0.9999991671815666;0.8421558753446631
Glycerophospholipid metabolism;47;0.9999990933997055;0.9999999948637041;0.9999991671815666;0.9999999953272629
Oxidative phosphorylation;9;0.7980902500226346;0.0021878155181884;0.8010813210371399;0.002240094407880052
Tyrosine metabolism;17;0.06532284062034738;0.9966877986661169;0.06668363339278388;0.9999999953272629
Fatty acid biosynthesis;50;0.9999990933997055;0.8369149363566705;0.9999991671815666;0.8423122679454416
Pyrimidine metabolism;49;0.062107244362445524;0.06970309007031623;0.06421234616345517;0.06938874308972084
Cholesterol metabolism;38;0.9999990933997055;0.9999999948637041;0.9999991671815666;0.9999999953272629
Fatty acid oxidation;172;0.9999990933997055;0.9999999948637041;0.9999991671815666;0.9999999953272629
Exchange/demand reactions;398;1.66896246392767e-05;9.192631535833348e-06;4.5611660087985225e-06;5.229261621349697e-06
Miscellaneous;27;0.7252605327377935;0.8369149363566705;0.7281618074642486;0.8435189003397374
Pentose phosphate pathway;25;0.9999990933997055;0.13450715669757832;0.9999991671815666;0.13641510847054084
Acylglycerides metabolism;17;0.9999990933997055;0.5803934569589015;0.9999991671815666;0.5869977896816593
Pool reactions;9;0.0856855417159324;0.9999999948637041;0.08697459867191765;0.9999999953272629
Acyl-CoA hydrolysis;61;0.004987372733534408;0.26630763645955174;0.005247703947172678;0.273454057157227
Fatty acid activation (cytosolic);60;0.10422230861485506;0.00018549810685445736;0.10768943587186063;0.0001976772953607616
Glycerolipid metabolism;67;0.9999990933997055;0.9999999948637041;0.9999991671815666;0.9999999953272629
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;36;0.8585465216721915;0.002065889870773663;0.8631255721465418;0.0021564591458402838
Glycosphingolipid biosynthesis-ganglio series;9;0.9999990933997055;0.9999999948637041;0.9999991671815666;0.9999999953272629
Steroid metabolism;13;0.9999990933997055;0.8653146748797398;0.9999991671815666;0.8695150349236516
Arachidonic acid metabolism;71;0.9999990933997055;0.9999999948637041;0.9999991671815666;0.9999999953272629
Leukotriene metabolism;86;0.9999990933997055;0.9999999948637041;0.9999991671815666;0.9999999953272629
Pyruvate metabolism;21;0.061172844739739905;0.0614782351247036;0.06262156647615212;0.05918698109971955
Bile acid recycling;11;1.5635169662668128e-07;0.9999999948637041;1.6315334638861145e-07;0.9999999953272629
Fatty acid biosynthesis (even-chain);29;0.9999990933997055;0.9999999948637041;0.9999991671815666;0.9999999953272629
Fatty acid elongation (even-chain);21;0.890856385253947;0.9999999948637041;0.89377566964291;0.9999999953272629
Fatty acid desaturation (even-chain);13;0.9999990933997055;6.003950031052696e-05;0.9999991671815666;6.221958004348771e-05
Carnitine shuttle (cytosolic);31;0.0166710531120951;0.0003709008365297655;0.017224016127520645;0.0003881343327444751
Carnitine shuttle (mitochondrial);56;0.00015994203307615842;2.474433575816448e-07;0.00017035280428874996;2.6919279916270966e-07
Beta oxidation of even-chain fatty acids (mitochondrial);41;0.9999990933997055;1.0475442735469187e-10;0.9999991671815666;0.0
Valine, leucine, and isoleucine metabolism;17;0.9999990933997055;0.9999999948637041;0.9999991671815666;0.9999999953272629
Alanine, aspartate and glutamate metabolism;16;0.7980902500226346;0.1769093437482699;0.8010813210371399;0.17975854549034684
Glycine, serine and threonine metabolism;18;0.2281416414248615;0.8369149363566705;0.2317481499343495;0.8423122679454416
Glutathione metabolism;17;0.0166710531120951;0.06970309007031623;0.017224016127520645;0.017187622224317065
Glycolysis / Gluconeogenesis;30;0.0009178268465701023;0.015578850518216085;0.0009577399142801646;0.017105306855813573
