subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Propanoate metabolism;12;0.8081210898062172;0.0021510676912552262;0.8221060368457266;0.00223993914792997
Transport reactions;772;0.012052225849550569;0.0004478861184371944;0.003627127323353463;0.00038258838936762186
Starch and sucrose metabolism;10;0.11916981719791556;0.8038404088693992;0.12477993955013608;0.44160415008213816
Sphingolipid metabolism;37;0.9927142250874449;0.9325988139736795;0.9999998750354239;0.9443852116259317
Cholesterol metabolism;43;0.8060343159707731;0.9974184927747612;0.8150367276670362;0.9934067514244659
Fatty acid oxidation;183;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Oxidative phosphorylation;9;0.0828011034525405;0.9999999528764427;0.08680680508737972;0.9999999579113455
Fatty acid biosynthesis;42;0.20636704351956447;0.9999999528764427;0.22238737151599816;0.9841340815611536
Tyrosine metabolism;15;0.03646198671674033;0.010162043724622582;0.03903715648967185;0.010559519048432596
Pyrimidine metabolism;47;0.01606275025744116;0.24184387090608683;0.016750438586789238;0.25086470486535234
Exchange/demand reactions;308;8.079295010787746e-10;1.3490158910685797e-06;1.4980320317548035e-09;1.576854715024112e-06
Miscellaneous;29;0.613601788806547;0.7445942292555988;0.6336909100393667;0.7389995890645759
Pentose phosphate pathway;25;0.03745907128678521;0.004035414521525215;0.0407226507774254;0.004250865897882557
Acylglycerides metabolism;13;0.8485060429125595;0.6892199208134909;0.8581061913242836;0.6759407413476268
Pool reactions;10;0.3821905181179832;0.9999999528764427;0.38102527287208626;0.9999999579113455
Acyl-CoA hydrolysis;62;0.0008054777942780126;0.1765087106931721;0.00037424443764377813;0.18483459333168703
Fatty acid activation (cytosolic);60;0.018011165973781496;1.368550745131647e-05;0.02062450586886122;1.5285687406191295e-05
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;31;0.8510254564220859;0.9473419840224345;0.8712206596400301;0.9566087902702068
Arachidonic acid metabolism;71;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Leukotriene metabolism;83;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Pyruvate metabolism;22;0.3821905181179832;0.9999999528764427;0.38102527287208626;0.9999999579113455
Bile acid biosynthesis;32;0.9999998436542403;0.9473419840224345;0.9999998750354239;0.9566087902702068
Bile acid recycling;4;0.30217948708520936;0.045104173354893605;0.3097194171510968;0.04593254251901466
Fatty acid biosynthesis (even-chain);30;0.0011201109014782884;1.3490158910685797e-06;0.0012823348684573577;1.576854715024112e-06
Fatty acid elongation (even-chain);21;0.01606275025744116;0.6955918985408454;0.016750438586789238;0.6888431176350718
Fatty acid desaturation (even-chain);11;0.9999998436542403;0.045104173354893605;0.9999998750354239;0.04593254251901466
Fatty acid biosynthesis (unsaturated);33;0.8706122210186769;0.9780098136981564;0.8837778578016973;0.9841340815611536
Omega-6 fatty acid metabolism;31;0.01606275025744116;0.9999999528764427;0.016750438586789238;0.9999999579113455
Omega-3 fatty acid metabolism;41;0.613601788806547;0.9999999528764427;0.6336909100393667;0.9999999579113455
Carnitine shuttle (mitochondrial);79;0.9999998436542403;0.8038404088693992;0.9999998750354239;0.8086248261314525
Carnitine shuttle (cytosolic);56;0.8485060429125595;0.8038404088693992;0.8581061913242836;0.8193192874746348
Beta oxidation of even-chain fatty acids (mitochondrial);56;0.613601788806547;0.0007146372197147168;0.38102527287208626;0.0007780407608533681
Valine, leucine, and isoleucine metabolism;16;0.9999998436542403;0.7915333167282543;0.9999998750354239;0.7796454029932559
Alanine, aspartate and glutamate metabolism;18;0.08118947394368861;0.8349217528214532;0.0865772747445922;0.8438743523884652
Arginine and proline metabolism;32;0.9999998436542403;0.9473419840224345;0.9999998750354239;0.9566087902702068
Glycine, serine and threonine metabolism;18;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Glutathione metabolism;17;0.45313672615713985;0.24184387090608683;0.4548585460760681;0.25086470486535234
Cysteine and methionine metabolism;22;0.9999998436542403;0.45329073188639574;0.9999998750354239;0.44725410489495854
Glycolysis / Gluconeogenesis;28;0.07433471761901495;0.036365377532693414;0.08047971749217916;0.03796188865439811
Folate metabolism;52;0.8060343159707731;0.8851615616406189;0.8150367276670362;0.8992272281591918
Galactose metabolism;10;0.9999998436542403;0.45068899054584216;0.9999998750354239;0.44160415008213816
ROS detoxification;8;0.613601788806547;0.2929889559425797;0.6336909100393667;0.29766906664621606
Nucleotide metabolism;95;0.0008054777942780126;0.0004478861184371944;0.0010164858381973934;0.0005009606964334797
Porphyrin metabolism;10;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Nicotinate and nicotinamide metabolism;12;0.8081210898062172;0.6476082573342478;0.8221060368457266;0.6353297106423283
Purine metabolism;72;0.26455957131164987;0.13333319638447197;0.2894892048114103;0.14050415082467196
Biopterin metabolism;12;0.01606275025744116;0.24184387090608683;0.016750438586789238;0.25086470486535234
Sulfur metabolism;4;0.8060343159707731;0.045104173354893605;0.8150367276670362;0.04593254251901466
Fructose and mannose metabolism;14;0.29898300118779114;0.35463542172154483;0.3097194171510968;0.3613860463447772
Amino sugar and nucleotide sugar metabolism;14;0.8687947392301401;0.9999999528764427;0.8823978185920629;0.9999999579113455
Pentose and glucuronate interconversions;9;0.9999998436542403;0.35738394930092;0.9999998750354239;0.3628876887145286
Aminoacyl-tRNA biosynthesis;21;0.3392068646958259;7.42117811647347e-10;0.35535088427947004;0.0
Protein assembly;4;0.8060343159707731;0.045104173354893605;0.8150367276670362;0.04593254251901466
Protein degradation;8;0.613601788806547;0.2929889559425797;0.6336909100393667;0.29766906664621606
Histidine metabolism;10;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Riboflavin metabolism;6;0.1309671098378087;0.9473419840224345;0.1358479797696085;0.9566087902702068
Inositol phosphate metabolism;29;0.8172053968423005;0.9999999528764427;0.8381194453374559;0.9999999579113455
Retinol metabolism;26;0.9999998436542403;0.35738394930092;0.9999998750354239;0.3628876887145286
Phenylalanine, tyrosine and tryptophan biosynthesis;46;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Keratan sulfate degradation;67;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
N-glycan metabolism;57;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Protein modification;3;0.2036062123981487;0.01798467566298312;0.20890454290160665;0.018326148750627103
Biotin metabolism;3;0.01606275025744116;0.24184387090608683;0.016750438586789238;0.2477704982909648
Isolated;9;0.0828011034525405;0.7915333167282543;0.08680680508737972;0.7796454029932559
Xenobiotics metabolism;63;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Eicosanoid metabolism;14;0.29898300118779114;0.9999999528764427;0.3097194171510968;0.9999999579113455
Drug metabolism;23;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Blood group biosynthesis;8;0.9927142250874449;0.9999999528764427;0.9999998750354239;0.9999999579113455
Steroid metabolism;20;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Glycerophospholipid metabolism;43;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Glycerolipid metabolism;67;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Glycosphingolipid metabolism;11;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Glycosphingolipid biosynthesis-globo series;3;0.7446263138575046;0.7915333167282543;0.75348518580886;0.7796454029932559
Glycosphingolipid biosynthesis-ganglio series;10;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Glycosphingolipid biosynthesis-lacto and neolacto series;7;0.9516389921605318;0.9974184927747612;0.9603729759342773;0.9934067514244659
Ether lipid metabolism;8;0.9927142250874449;0.9999999528764427;0.9999998750354239;0.9999999579113455
Beta oxidation of poly-unsaturated fatty acids (mitochondrial);5;0.849212304911026;0.9407648434348729;0.8581061913242836;0.9452778487794113
Prostaglandin biosynthesis;22;0.613601788806547;0.9999999528764427;0.6336909100393667;0.9999999579113455
Butanoate metabolism;6;0.8706122210186769;0.9473419840224345;0.8837778578016973;0.9566087902702068
Cholesterol biosynthesis 1 (Bloch pathway) ;28;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Cholesterol biosynthesis 2;5;0.849212304911026;0.9407648434348729;0.8581061913242836;0.9452778487794113
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);17;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Androgen metabolism;11;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Estrogen metabolism;52;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Vitamin D metabolism;9;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
Fatty acid biosynthesis (odd-chain);30;0.9999998436542403;0.9999999528764427;0.9999998750354239;0.9999999579113455
