subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Transport reactions;742;5.847179022941715e-07;2.960570424370701e-07;1.32357510340686e-07;6.474913782916758e-08
Starch and sucrose metabolism;10;0.33290360030303556;0.00042395762686123613;0.35317851266550004;0.0004216286324241203
Fatty acid oxidation;136;0.9999999999986197;0.9999999999891538;0.999999999999248;0.999999999993218
Oxidative phosphorylation;10;0.739294242503414;0.11694223079768161;0.7524939724863744;0.1253897865615113
Exchange/demand reactions;420;0.08352066160847567;0.008688048871599055;0.07541513244352971;0.012649893869074764
Fatty acid biosynthesis;33;0.4438566811133781;0.9999999999891538;0.4853730931088332;0.999999999993218
Sphingolipid metabolism;28;0.0015441139259307901;0.9378706303375245;0.0019260746952409018;0.9576839321271218
Acylglycerides metabolism;21;0.9999999999986197;0.0006250835376664932;0.999999999999248;0.00014065453332867683
Pool reactions;12;0.9999999999986197;0.9999999999891538;0.999999999999248;0.999999999993218
Fatty acid activation (cytosolic);68;0.38423942683850026;0.0;0.32033296419940127;0.0
Glycerolipid metabolism;74;0.9999999999986197;0.9999999999891538;0.999999999999248;0.999999999993218
Glycerophospholipid metabolism;65;0.3196461408257249;0.977281726826192;0.35317851266550004;0.9951770240663746
Inositol phosphate metabolism;56;0.05684086613025845;0.6888468127442506;0.06960128953184032;0.7538453117796616
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;34;0.9999999999986197;0.003043850141494343;0.999999999999248;0.0036872014905777245
Glycosphingolipid biosynthesis-globo series;4;0.9722748258240985;0.008688048871599055;0.9860421899697617;0.010133338325492035
Arachidonic acid metabolism;71;0.9999999999986197;0.9999999999891538;0.999999999999248;0.999999999993218
Steroid metabolism;14;0.9492431240622216;0.9999999999891538;0.9860421899697617;0.999999999993218
Leukotriene metabolism;71;0.9999999999986197;0.9999999999891538;0.999999999999248;0.999999999993218
Prostaglandin biosynthesis;24;0.9999999999986197;0.8748896210515269;0.999999999999248;0.8678670881973696
Bile acid biosynthesis;84;0.02615266482476993;0.011949290963724402;0.016304787090548587;0.014320092077390741
Fatty acid elongation (even-chain);21;2.0870359851432596e-07;0.6888468127442506;2.4998591192155254e-07;0.7414588654665426
Fatty acid elongation (odd-chain);13;4.860240781263363e-09;0.9999999999891538;6.3422460299429005e-09;0.999999999993218
Fatty acid desaturation (even-chain);13;4.860240781263363e-09;0.9999999999891538;6.3422460299429005e-09;0.999999999993218
Fatty acid biosynthesis (unsaturated);33;4.9157566905932975e-11;0.9999999999891538;1.3386776132051635e-10;0.999999999993218
Omega-6 fatty acid metabolism;33;0.0009173031964542828;0.9999999999891538;0.001175673558100211;0.999999999993218
Omega-3 fatty acid metabolism;56;0.013582876652082819;0.9504082851654807;0.002689412564549627;0.8678670881973696
Carnitine shuttle (mitochondrial);31;0.9999999999986197;0.00024783657117444235;0.999999999999248;0.00026501281616196436
Carnitine shuttle (cytosolic);12;0.9999999999986197;0.24479162208138436;0.999999999999248;0.26108493113770526
Beta oxidation of even-chain fatty acids (mitochondrial);19;0.9999999999986197;0.005495627774231382;0.999999999999248;0.006321333593699396
Alanine, aspartate and glutamate metabolism;17;0.8289598030831158;0.6888468127442506;0.8620818327001574;0.7424523943485581
Arginine and proline metabolism;28;0.9999999999986197;0.10358427137320514;0.999999999999248;0.1160019759247589
Glycine, serine and threonine metabolism;19;0.9999999999986197;0.5054813896392996;0.999999999999248;0.5391405900180724
