subsystem;sizes;up_MW;down_MW;up_KS;down_KS
Propanoate metabolism;11;0.9999999788796874;0.7917667735079567;0.9999999829568528;0.7985011153517373
Starch and sucrose metabolism;10;0.8383439346987445;0.553965266902575;0.85035592540141;0.5582124981724357
Sphingolipid metabolism;31;0.8383439346987445;0.7917667735079567;0.85035592540141;0.7985011153517373
Transport reactions;796;1.3836531920219386e-10;5.348471665556075e-10;1.7133294782922803e-10;5.10127939890026e-10
Tyrosine metabolism;17;0.05519339777662913;0.07607114194014686;0.058467691862200466;0.08023536279595211
Fatty acid biosynthesis;49;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Cholesterol metabolism;38;0.9999999788796874;0.7917667735079567;0.9999999829568528;0.7985011153517373
Fatty acid oxidation;166;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Exchange/demand reactions;289;4.641850878672748e-08;5.293983701615267e-05;3.2352213408248783e-09;7.538943420987153e-05
Miscellaneous;29;0.9573139998602533;0.9508966546958352;0.964716988422705;0.962950054158335
Pentose phosphate pathway;22;0.7381803539139641;0.7391840189321314;0.7648021051935326;0.7517439324412855
Acylglycerides metabolism;12;0.8383439346987445;0.27000754319852904;0.85035592540141;0.27973150277788816
Pool reactions;9;0.08692933777607907;0.9736317660927265;0.08980612395969158;0.9800576667834534
Acyl-CoA hydrolysis;61;0.0009570808595804772;2.957709416384624e-06;0.0011141486896026342;3.598065884569124e-06
Fatty acid activation (cytosolic);60;0.0009129938038525909;1.5119353269366087e-08;0.001059316109115227;1.9146372487455207e-08
Glycerolipid metabolism;67;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Glycerophospholipid metabolism;48;0.7381803539139641;0.9442616485282072;0.768238555879159;0.9509118402160727
Steroid metabolism;15;0.7381803539139641;0.9999899208992301;0.7648021051935326;0.9999915953851918
Arachidonic acid metabolism;71;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Leukotriene metabolism;78;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Pyruvate metabolism;21;0.8383439346987445;0.0025823408116147917;0.85035592540141;0.0028091850751366665
Bile acid biosynthesis;24;0.9999999788796874;0.8457608370683808;0.9999999829568528;0.8590535470999321
Fatty acid biosynthesis (even-chain);30;0.22149623853657652;0.7917667735079567;0.22841830413551278;0.7985011153517373
Fatty acid elongation (even-chain);21;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Fatty acid desaturation (even-chain);13;0.9999999788796874;0.7391840189321314;0.9999999829568528;0.7517439324412855
Valine, leucine, and isoleucine metabolism;8;0.9573139998602533;0.36083819086198754;0.964716988422705;0.34626098909206227
Alanine, aspartate and glutamate metabolism;12;0.9999999788796874;0.07607114194014686;0.9999999829568528;0.08023536279595211
Glycine, serine and threonine metabolism;13;0.7381803539139641;0.9999899208992301;0.7648021051935326;0.9999915953851918
Glutathione metabolism;14;0.8383439346987445;0.4000334475211419;0.85035592540141;0.3878271080185232
Pantothenate and CoA biosynthesis;5;0.08692933777607907;0.7917667735079567;0.08980612395969158;0.7985011153517373
Glycolysis / Gluconeogenesis;33;0.3203464648904202;0.7391840189321314;0.33803659822711807;0.7517439324412855
Galactose metabolism;9;0.9873593959557273;0.01840371675464755;0.9945485081765887;0.019343458030768104
ROS detoxification;7;0.9573139998602533;0.9038778410810848;0.964716988422705;0.9106638503383353
Nucleotide metabolism;86;0.0009570808595804772;0.16530236657787817;0.0011346658310824756;0.181669092603832
Pyrimidine metabolism;42;0.9999999788796874;0.8345426347944864;0.9999999829568528;0.8522758254881632
Oxidative phosphorylation;8;0.9573139998602533;0.7391840189321314;0.964716988422705;0.7517439324412855
Amino sugar and nucleotide sugar metabolism;14;0.8383439346987445;0.9999899208992301;0.85035592540141;0.9999915953851918
Porphyrin metabolism;4;0.8383439346987445;0.7917667735079567;0.85035592540141;0.7985011153517373
Purine metabolism;66;0.9999999788796874;0.553965266902575;0.9999999829568528;0.34626098909206227
Vitamin B6 metabolism;7;0.22149623853657652;0.7391840189321314;0.22841830413551278;0.7517439324412855
Sulfur metabolism;3;0.8383439346987445;0.7917667735079567;0.85035592540141;0.7985011153517373
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;37;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Nicotinate and nicotinamide metabolism;13;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Fructose and mannose metabolism;13;0.8383439346987445;0.7917667735079567;0.85035592540141;0.7985011153517373
Arginine and proline metabolism;23;0.8383439346987445;0.9999899208992301;0.85035592540141;0.9999915953851918
Folate metabolism;25;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Biopterin metabolism;9;0.9873593959557273;0.11527316606104739;0.9945485081765887;0.11976152943844809
Histidine metabolism;6;0.9198783219544127;0.8628399207263916;0.9278808405044402;0.8697384204097743
Inositol phosphate metabolism;49;0.9573139998602533;0.7391840189321314;0.964716988422705;0.7517439324412855
Phenylalanine, tyrosine and tryptophan biosynthesis;47;0.9999999788796874;0.7917667735079567;0.9999999829568528;0.7985011153517373
Protein modification;3;0.0;0.7917667735079567;0.0;0.7985011153517373
C5-branched dibasic acid metabolism;5;0.515585713751252;0.0002932949881038649;0.5262683570830543;0.00030954022407509997
Isolated;9;0.011950525777255331;0.7917667735079567;0.012605858015021175;0.7985011153517373
Xenobiotics metabolism;41;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Eicosanoid metabolism;10;0.515585713751252;0.7917667735079567;0.5262683570830543;0.7985011153517373
Drug metabolism;14;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
N-glycan metabolism;52;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Glycosphingolipid metabolism;10;0.9999999788796874;0.9999899208992301;0.9999999829568528;0.9999915953851918
Glycosphingolipid biosynthesis-globo series;3;0.8383439346987445;0.7917667735079567;0.85035592540141;0.7985011153517373
Glycosphingolipid biosynthesis-ganglio series;5;0.8383439346987445;0.7917667735079567;0.85035592540141;0.7985011153517373
