Reaction,Tinit_NHBE_H,Tinit_293T_H,Tinit_A549_H,Tinit_CALU_H,Tinit_Lung_H,Tinit_NHBE_I,Tinit_293T_I,Tinit_A549_I,Tinit_CALU_I,Tinit_Lung_I
10FTHFtm,1,1,1,1,1,0,1,0,0,1
12DHCHOLabc,0,0,1,0,0,0,0,1,0,1
12DHCHOLt,0,0,1,0,0,0,0,1,0,1
12HTACRhr,0,0,0,0,1,0,0,0,0,0
13DAMPPOX,0,1,0,0,1,1,0,0,0,1
14HMDZALThr,0,0,0,0,1,0,0,0,0,0
14HMDZhr,0,0,0,0,1,0,0,0,0,0
15KPROSTGF2c,0,0,1,0,0,0,0,1,0,1
15KPROSTGF2t,0,0,1,0,0,0,0,0,0,0
1A25DHVITD3t2e,0,0,0,0,0,1,0,0,0,1
1A25DHVITD3te,1,0,1,1,0,1,0,1,1,1
1OHMDZhr,0,0,0,0,1,0,0,0,0,0
2H3MVc,1,1,1,1,1,1,1,1,1,1
2HATVACIDOXDhc,0,0,0,0,1,0,0,0,0,0
2HATVACIDhc,0,0,0,0,0,0,0,1,0,0
2HATVACIDteb,0,0,1,0,0,0,0,1,0,0
2HATVACIDtep,0,0,1,0,0,0,0,0,0,0
2HATVLACOXDhc,0,0,0,0,1,0,0,0,0,0
2HATVLACteb,0,0,1,0,0,0,0,1,0,0
2HATVLACtep,0,0,1,0,0,0,0,1,0,0
2HIVc,1,1,1,1,1,1,1,1,1,1
2HYOXPLCte,1,1,0,0,0,1,1,0,0,0
2M3OVCOAm,1,1,1,1,1,1,1,1,1,1
2MB2COAc,1,1,1,1,1,1,1,1,1,1
34DHPEAR,1,0,1,1,1,1,0,1,1,1
34DHPHELAT1tc,1,0,1,1,1,0,0,1,1,0
34HPLFM,1,1,0,1,1,0,0,0,0,0
35DSMVhep,0,0,0,0,1,0,0,0,0,0
3DHCDCHOLabc,0,0,1,0,0,0,0,1,0,1
3DHCDCHOLt,0,0,1,0,0,0,0,1,0,1
3DHCHOLabc,0,0,1,0,0,0,0,1,0,1
3DHCHOLt,0,0,1,0,0,0,0,1,0,1
3DHDCAabc,0,0,1,0,0,0,0,1,0,1
3DHDCAt,0,0,1,0,0,0,0,1,0,1
3DHLCAabc,0,0,1,0,0,0,0,1,0,1
3DHLCAt,0,0,1,0,0,0,0,1,0,1
3DPHBH1,1,1,0,1,1,0,0,0,0,0
3HBCOARc,1,1,1,1,1,1,1,1,1,1
3HPPt,1,0,0,0,0,1,0,0,0,0
3HPPtm,1,0,0,0,0,1,0,0,0,0
3HPVSCOAhc,1,1,1,1,1,1,1,1,1,1
3HPVSCOAitm,1,1,1,1,1,1,1,1,1,1
3HPVSCOAitx,1,1,1,1,1,1,1,1,1,1
3HPVSTETCOAhcm,1,1,1,1,1,1,1,1,1,1
3HPVSTETCOAhcx,1,1,1,1,1,1,1,1,1,1
3HPVSTETteb,0,0,1,0,0,0,0,1,0,0
3HPVSTETtev,0,0,1,0,0,0,0,1,0,0
3HPVSteb,0,0,1,0,0,0,0,1,0,0
3HPVStep,1,1,1,1,1,1,1,1,1,1
3HSMVhep,0,0,0,0,1,0,0,0,0,0
3ISPVSteb,0,0,1,0,0,0,0,1,0,0
3ISPVStep,0,0,1,0,0,0,0,1,0,0
4HATVACIDOXDhc,0,0,0,0,1,0,0,0,0,0
4HATVACIDhc,0,0,0,0,0,0,0,1,0,0
4HATVACIDteb,0,0,1,0,0,0,0,1,0,0
4HATVACIDtep,0,0,1,0,0,0,0,0,0,0
4HATVLACOXDhc,0,0,0,0,1,0,0,0,0,0
4HATVLACteb,0,0,1,0,0,0,0,1,0,0
4HATVLACtep,0,0,1,0,0,0,0,1,0,0
4HBZCOAFm,1,1,0,1,1,0,0,0,0,0
4HBZFm,1,1,0,1,1,0,0,0,0,0
4OHMDZhr,0,0,0,0,1,0,0,0,0,0
56DHPVSteb,0,0,1,0,0,0,0,1,0,0
56DHPVStev,0,0,1,0,0,0,0,1,0,0
56EPPVSteb,0,0,1,0,0,0,0,1,0,0
56EPPVStev,0,0,1,0,0,0,0,1,0,0
5AOPt2,0,0,0,0,0,0,0,0,0,1
5EIPENCm,1,1,1,1,0,1,0,1,1,0
5FTHFt2,0,1,0,0,0,0,0,0,0,1
5HPETtd,1,1,1,1,0,1,1,1,1,0
6CSMVhep,0,0,0,0,1,0,0,0,0,0
6EPSteb,0,0,1,0,0,0,0,1,0,0
6EPVStep,0,0,1,0,0,0,0,1,0,0
6HMSMVhep,0,0,0,0,1,0,0,0,0,0
6HSMVhep,0,0,0,0,1,0,0,0,0,0
6MSMVhep,0,0,0,0,1,0,0,0,0,0
7DHCDCHOLabc,0,0,1,0,0,0,0,1,0,1
7DHCDCHOLt,0,0,1,0,0,0,0,1,0,1
7DHCHOLabc,0,0,1,0,0,0,0,1,0,1
7DHCHOLt,0,0,1,0,0,0,0,1,0,1
7DHCHSTEROLtd,0,0,1,0,1,0,0,0,0,0
7DHCHSTEROLtr,0,0,1,0,0,0,0,1,0,0
7HPVSteb,0,0,1,0,0,0,0,1,0,0
7HPVStev,0,0,1,0,0,0,0,1,0,0
7KILTCHOLATP,0,0,1,0,0,0,0,1,0,1
7KLITCHOLc,0,0,1,0,0,0,0,1,0,1
AACTte,0,0,0,0,1,0,0,0,0,0
ACCOAL,1,0,1,1,0,1,0,1,0,1
ACCOAtr,0,0,0,0,0,0,0,0,1,0
ACMPGLUTtep,0,0,1,0,0,0,0,1,0,1
ACMPGLUTthc,0,0,1,0,0,0,0,1,0,1
ACMPGLUtep,0,0,1,0,0,0,0,1,0,1
ACMPGLUthc,0,0,1,0,0,0,0,1,0,1
ACMPShc,0,0,1,0,0,0,0,1,0,0
ACMPthc,0,0,1,0,0,0,0,1,0,1
ACNAMt2,1,1,1,0,0,1,0,1,0,1
ACt2m,0,0,0,0,1,0,1,0,0,0
ADRNCRNt,0,0,0,0,0,0,1,0,0,0
AK2LGCHOLABCt,1,0,0,0,0,1,0,0,0,0
ALAALACNc,1,0,1,1,1,1,0,1,1,1
ALAyLATthc,0,1,0,0,1,0,1,0,0,0
ALDD21,0,0,1,0,0,0,0,1,0,1
AM19CSALThr,0,0,0,0,1,0,0,0,0,0
AM1CSAhr,0,0,0,0,1,0,0,0,0,0
AM4N9CShc,0,0,0,1,0,0,0,0,0,0
AM9CSAhr,0,0,0,0,1,0,0,0,0,0
AM9CSAtep,0,0,0,1,0,0,0,0,0,0
AMACR2p,1,0,0,1,0,1,0,0,0,0
AMY2e,1,1,1,1,1,1,1,1,1,1
ANDRSTANDRtr,1,0,1,1,1,1,0,1,1,1
ARACHCOAtx,1,1,0,1,1,0,1,1,1,1
ARACHCRNt,0,0,0,0,0,0,0,0,0,1
ARGN1ASPMDte,0,1,0,0,0,0,1,0,0,0
ASNATB0tc,0,0,0,0,1,1,0,0,0,1
ATPtg,1,0,0,0,0,1,0,0,0,1
ATVACIDMCTtu,1,1,0,0,0,1,1,0,0,0
ATVACIDitr,0,0,0,0,1,0,0,0,0,0
ATVACIDtdu,0,0,0,0,1,0,0,0,0,0
ATVACYLGLUChc,0,0,0,0,1,0,0,0,0,0
ATVLACh2r,0,0,0,0,1,0,0,0,0,0
B3GNT312g,0,0,0,0,0,0,0,0,1,0
BGAL1e,1,1,1,1,0,1,0,1,1,0
BGAL1l,1,1,1,1,1,1,1,1,1,1
BGAL2l,1,1,1,1,1,1,1,1,1,1
BGAL3l,0,0,1,0,0,0,0,0,1,0
BGLYte,1,0,1,1,1,1,0,1,1,0
BILDGLCURtr,0,0,1,0,0,0,0,1,0,1
BILGLCURtr,0,0,1,0,0,0,0,1,0,0
BTNTe,0,0,0,0,0,1,0,0,0,0
BTNt3i,0,1,1,0,1,0,1,1,0,0
BTNt4i,0,0,0,1,0,0,0,0,0,0
BUTt2m,1,1,0,0,0,1,1,0,0,0
BUTt2r,1,1,0,0,0,1,1,0,0,0
C03990ATP,0,0,1,0,0,0,0,1,0,1
C03990t,0,0,1,0,0,0,0,1,0,0
C04483t1,0,0,1,0,0,0,0,1,0,1
C04483t2,0,0,1,0,0,0,0,1,0,1
C04717td,0,1,1,1,1,0,1,1,1,1
C05463t1,0,0,1,0,0,0,0,1,0,1
C05463t2,0,0,1,0,0,0,0,1,0,1
C05769te,0,0,1,0,0,0,0,1,0,0
C05769te3,0,0,1,0,0,0,0,1,0,0
C05770te,0,0,1,0,0,0,0,1,0,0
C05770te4,0,0,1,0,0,0,0,1,0,0
C05957t,1,0,0,0,0,0,0,0,0,0
C05957td,0,0,0,0,0,1,0,0,0,0
C100CPT1,0,0,0,0,0,0,0,0,1,0
C10DCc,0,0,0,0,0,0,0,0,1,0
C10OHc,0,0,0,0,0,0,0,0,1,0
C120CPT1,0,0,0,0,0,0,0,0,1,0
C12OHc,0,0,0,0,0,0,0,0,1,0
C13856te,0,0,0,0,1,0,0,0,1,1
C140CPT1,0,0,0,0,0,0,0,0,1,0
C141ACBP,1,1,1,1,1,1,1,1,1,1
C141OHc,0,0,0,0,0,0,0,0,1,0
C142ACBP,1,1,1,1,1,1,1,1,1,1
C142CPT1,0,0,0,0,0,0,0,0,1,0
C142OHc,0,0,0,0,0,0,0,0,1,0
C14770UPKt,0,1,0,1,0,0,1,0,0,0
C14771UPKt,0,1,0,1,0,0,1,0,0,0
C14OHc,0,0,0,0,0,0,0,0,1,0
C14STRr,1,1,1,1,0,1,0,1,0,0
C161CPT12,0,0,0,0,0,0,0,0,1,0
C161CPT22,1,1,1,1,1,1,1,1,1,1
C161CRN2t,0,1,0,0,0,1,0,0,0,1
C161OHc,0,0,0,0,0,0,0,0,1,0
C162ACBP,1,1,1,1,1,1,1,1,1,1
C162OHc,0,0,0,0,0,0,0,0,1,0
C16DCc,0,1,1,1,0,0,1,1,1,0
C16DCtr,0,1,1,1,0,0,1,1,1,0
C16OHc,0,0,0,0,0,0,0,0,1,0
C181CPT1,0,0,1,0,0,0,1,1,1,0
C181CPT2,1,1,0,0,0,1,0,0,0,0
C181CPT2rbc,1,1,0,1,1,1,0,0,0,1
C181CRNt,0,0,0,0,0,0,0,0,0,1
C182OHc,0,0,0,0,0,0,0,0,1,0
C18OHc,0,0,0,0,0,0,0,0,1,0
C226CRNt,1,1,1,1,1,1,1,1,0,1
C3DCtr,0,0,1,0,0,0,0,1,0,0
C3STDH1Pr,1,1,1,1,1,1,1,1,0,0
C3STDH1r,1,1,1,1,0,1,1,1,1,1
C3STKR2r,1,1,1,1,1,1,1,1,1,1
C4OHc,0,0,0,0,0,0,0,0,1,0
C4STMO1r,1,1,1,1,1,1,1,1,1,1
C4STMO2Pr,1,1,1,1,0,1,1,1,0,0
C4STMO2r,1,1,1,1,1,1,1,1,1,1
C50CPT1,0,0,0,0,0,0,0,0,1,0
C51CPT1,0,0,0,0,0,0,0,0,1,0
C60CPT1,0,1,0,0,0,0,0,0,1,0
C6DCc,0,0,0,0,0,0,0,0,1,0
C8DCc,0,0,0,0,0,0,0,0,1,0
CA24GSc,0,0,1,0,0,0,0,1,0,1
CA24Gte,0,0,1,0,0,0,0,1,0,1
CA2t,0,1,0,0,0,0,1,0,0,0
CA3Sabc,0,0,1,0,0,0,0,1,0,1
CA3St,0,0,1,0,0,0,0,1,0,1
CAATPS,1,1,1,0,1,1,1,1,1,1
CARNtr,1,0,0,1,1,1,0,0,1,1
CDCA24GSc,0,0,1,0,0,0,0,1,0,1
CDCA24Gte,0,0,1,0,0,0,0,1,0,1
CDCA3GSc,0,0,1,0,0,0,0,1,0,1
CDCA3Gte,0,0,1,0,0,0,0,1,0,1
CDS,0,0,1,1,1,0,0,1,0,1
CDSm,0,0,1,0,0,0,0,1,0,1
CE1273t1,0,0,1,0,0,0,0,1,0,1
CE1273t2,0,0,1,0,0,0,0,1,0,1
CE1918te,0,0,1,0,0,0,0,1,0,0
CE2510ABCt,0,0,1,0,0,0,0,1,0,0
CE2537ABCt,0,0,0,0,0,0,0,1,0,0
CE2705t,0,1,1,1,1,0,1,1,1,0
CE5025t,1,0,0,1,0,1,0,0,0,1
CE5304t,0,0,0,1,0,0,0,0,0,0
CE7081tr,0,0,1,0,0,0,0,0,0,0
CE7090te,0,0,0,0,0,0,0,0,0,1
CHSTEROLt2,0,0,0,0,0,0,0,0,0,1
CITtam,1,1,1,1,0,1,1,1,1,0
CLOHtex2,0,0,1,0,0,0,0,0,0,0
CLS_hs,1,1,1,1,1,0,0,0,0,1
COKEte,1,0,0,0,1,1,0,0,0,1
COKEtr,1,0,0,0,0,1,0,0,0,0
COPROSTabc,0,0,1,0,0,0,0,1,0,1
COPROSTt,0,0,1,0,0,0,0,1,0,1
COQ3m,0,1,0,0,1,0,0,0,0,0
COQ5m,0,1,0,0,1,0,0,0,0,0
COQ6m,0,1,0,0,1,0,0,0,0,0
COQ7m,0,1,0,0,1,0,0,0,0,0
COUCOAFm,1,1,0,1,1,0,0,0,0,0
CRMPte,0,0,0,0,0,0,0,0,1,0
CRNATBtc,0,0,0,0,1,1,0,0,0,1
CRVSM1hr,0,0,0,1,0,0,0,0,0,0
CRVSM23hr,0,0,0,1,0,0,0,0,0,0
CSAitr,0,0,0,0,1,0,0,0,0,0
CSAtd,0,0,0,0,1,0,0,0,0,0
CVM1GLUChc,0,0,0,1,0,0,0,0,0,0
CVM23GLUChc,0,0,0,1,0,0,0,0,0,0
CYOOm3i,1,1,1,1,1,1,1,1,1,1
CYSSNAT5tc,1,0,0,0,1,1,0,0,0,0
Coqe,1,1,0,0,0,1,1,1,1,1
Cov2VBOF,0,0,0,0,0,1,1,1,1,1
DACGST,1,1,0,0,1,1,1,0,0,0
DACT,1,0,1,1,0,1,0,0,0,0
DAGKn_hs,0,0,0,0,0,1,0,0,0,0
DCA24GSc,0,0,1,0,0,0,0,1,0,1
DCA24Gte,0,0,1,0,0,0,0,1,0,1
DCA3GSc,0,0,1,0,0,0,0,1,0,1
DCA3Gte,0,0,1,0,0,0,0,1,0,1
DCA3Sabc,0,0,1,0,0,0,0,1,0,1
