Reaction,iMAT_NHBE_H,iMAT_293T_H,iMAT_A549_H,iMAT_CALU_H,iMAT_Lung_H,iMAT_NHBE_I,iMAT_293T_I,iMAT_A549_I,iMAT_CALU_I,iMAT_Lung_I
10FTHFtm,0,1,1,0,1,0,1,1,1,1
12HTACRhr,0,0,0,0,1,0,0,0,0,0
12HTACRitr,0,0,0,0,1,0,0,0,0,0
12HTACRtep,0,0,0,0,1,0,0,0,0,0
12PPDRte,1,1,1,1,1,1,1,1,1,1
13DAMPPOX,0,0,0,0,1,0,0,0,0,1
13DMThr,0,0,0,1,0,0,0,0,0,0
13DMTitr,0,0,1,1,0,0,0,0,0,0
13DMTtep,0,0,1,1,0,0,0,0,0,0
13_CIS_RETNte,1,1,1,1,1,1,1,1,1,1
14HMDZALThr,0,0,0,0,1,0,0,0,0,0
14HMDZhr,0,0,0,0,1,0,0,0,0,0
14HMDZitr,0,0,0,0,1,0,0,0,0,0
14MDZtev,0,0,0,0,1,0,0,0,0,0
1513DTACRhr,0,0,1,0,0,0,0,0,0,0
1513DTALThr,0,0,1,0,0,0,0,0,0,0
1513TACRitr,0,0,1,0,0,0,0,0,0,0
1513TACRtep,0,0,1,0,0,0,0,0,0,0
15DMThr,0,0,0,0,0,0,0,1,0,0
15DMTitr,0,0,1,0,0,0,0,1,0,0
15DMTtep,0,0,1,0,0,0,0,1,0,0
15HPETATP,0,0,0,0,0,0,0,0,0,1
15KPROSTGF2c,0,1,1,0,0,0,0,1,0,0
15KPROSTGF2t,1,1,1,0,0,1,1,1,1,1
1A25DHVITD3t2e,0,0,1,0,0,0,0,1,0,0
1A25DHVITD3te,0,0,1,0,0,0,0,1,0,0
1OHMDZhr,0,0,0,0,1,0,0,0,0,0
2H3MVc,1,1,1,1,1,1,1,1,1,1
2H3MVte,1,1,1,1,1,1,1,1,1,1
2HATVACIDOXDhc,0,0,0,0,1,0,0,0,0,0
2HATVACIDitr,0,0,0,0,1,0,0,0,0,0
2HATVACIDteb,0,0,1,0,0,0,0,1,0,0
2HATVACIDtep,0,0,1,0,1,0,0,1,0,0
2HATVLACteb,0,0,1,0,0,0,0,1,0,0
2HATVLACtep,0,0,1,0,0,0,0,1,0,0
2HIVc,1,1,1,1,1,1,1,1,1,1
2HIVte,1,1,1,1,1,1,1,1,1,1
2HYOXPLCte,0,1,0,0,0,0,1,0,0,0
2M3HVACc,0,1,0,0,0,0,1,0,0,1
2M3HVACte,0,1,0,0,0,0,1,0,0,1
2M3OVACm,0,1,0,0,0,0,1,0,0,1
2M3OVACtm,0,1,0,0,0,0,1,0,0,1
2M3OVCOAm,0,1,0,0,0,0,1,0,0,1
2OXOADPt,1,1,1,1,1,1,1,1,1,1
2PGtr,0,0,1,1,1,0,0,0,1,1
31DMThr,1,0,0,0,0,0,0,0,0,1
31DMTitr,1,0,0,0,0,0,0,0,0,1
31DMTtep,1,0,0,0,0,0,0,0,0,1
34DHPEAR,0,0,1,1,1,0,0,0,0,0
34DHPEt,0,0,1,1,1,0,0,0,0,0
34DHPHELAT1tc,0,0,1,1,0,0,0,1,1,0
34HPLFM,0,0,0,1,0,0,0,0,0,0
34HPLte,1,0,0,1,0,0,1,0,0,0
34HPLtm,0,0,0,1,0,0,0,0,0,0
34HPPte,1,1,1,1,0,1,1,1,1,0
35DSMVhep,0,0,0,0,1,0,0,0,0,0
35DSMVitr,0,0,0,0,1,0,0,0,0,0
35DSMVteb,0,0,0,0,1,0,0,0,0,0
3AIBSYMPt,1,1,1,1,1,1,1,1,1,1
3AIB_Dtm,0,1,0,0,0,1,0,1,0,1
3AIBt1,1,1,1,1,1,1,1,1,1,1
3ANTHRNtr,0,0,1,0,0,1,0,1,1,1
3DDCRNtr,1,1,1,0,1,0,1,1,1,0
3DECCRNtr,1,1,0,0,1,1,1,0,0,0
3DHCDCHOLabc,0,0,0,0,0,0,0,0,0,1
