subsystem;Gimme;imat;Tinit;init
Exchange/demand reactions;0;0;1;0
Nicotinate and nicotinamide metabolism;-1;0;1;0
Cholesterol biosynthesis 2;0;0;0;-1
Oxidative phosphorylation;-1;0;-1;0
Protein modification;0;0;1;0
Vitamin A metabolism;1;0;1;0
Vitamin D metabolism;1;0;0;-1
Dietary fiber binding;-1;0;0;0
Amino sugar and nucleotide sugar metabolism;0;0;1;0
Bile acid recycling;0;0;1;0
Vitamin C metabolism;-1;0;0;0
Carnitine shuttle (cytosolic);-1;0;1;0
Heme synthesis;0;0;0;-1
Carnitine shuttle (peroxisomal);0;0;0;-1
Beta oxidation of odd-chain fatty acids (mitochondrial);0;0;0;1
Starch and sucrose metabolism;1;0;0;1
Androgen metabolism;0;0;0;-1
Pyrimidine metabolism;-1;0;0;-1
Pentose and glucuronate interconversions;-1;-1;0;0
Porphyrin metabolism;0;0;0;1
Retinol metabolism;-1;0;0;-1
Cholesterol metabolism;0;1;0;0
Fatty acid biosynthesis (even-chain);1;0;0;0
Riboflavin metabolism;1;0;0;0
ROS detoxification;-1;0;-1;1
Fatty acid biosynthesis (unsaturated);-1;0;0;0
Fructose and mannose metabolism;0;0;1;-1
Vitamin E metabolism;0;0;0;-1
Propanoate metabolism;0;-1;0;1
Pyruvate metabolism;0;0;1;0
Biopterin metabolism;0;0;1;0
Artificial reactions;0;0;0;-1
Thiamine metabolism;-1;0;0;0
Carnitine shuttle (mitochondrial);-1;0;1;0
C5-branched dibasic acid metabolism;0;0;1;1
Aminoacyl-tRNA biosynthesis;1;0;0;-1
Fatty acid activation (cytosolic);1;0;-1;1
Galactose metabolism;-1;0;0;0
Omega-6 fatty acid metabolism;0;0;0;-1
Beta oxidation of even-chain fatty acids (mitochondrial);0;0;-1;-1
Cholesterol biosynthesis 1 (Bloch pathway) ;0;1;0;-1
Vitamin B6 metabolism;0;0;0;-1
Transport reactions;0;0;1;1
Nucleotide metabolism;0;0;1;1
CoA synthesis;-1;0;0;1
Fatty acid elongation (odd-chain);0;0;0;1
Glycolysis / Gluconeogenesis;1;0;1;1
Acylglycerides metabolism;0;-1;0;-1
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;-1;0;-1;0
Fatty acid desaturation (even-chain);0;0;-1;1
Fatty acid desaturation (odd-chain);0;1;0;1
Butanoate metabolism;0;0;0;-1
Fatty acid oxidation;1;0;0;0
Alanine, aspartate and glutamate metabolism;-1;0;0;1
Glutathione metabolism;0;0;-1;1
Acyl-CoA hydrolysis;0;1;1;1
Cysteine and methionine metabolism;1;0;0;0
Arachidonic acid metabolism;0;1;0;0
Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal);0;0;0;1
Heme degradation;0;1;0;0
Glycerophospholipid metabolism;0;-1;0;-1
Protein degradation;-1;0;0;0
Purine metabolism;1;0;1;1
Vitamin B12 metabolism;0;0;0;-1
Ether lipid metabolism;0;0;0;-1
Drug metabolism;-1;0;-1;0
Isolated;0;0;-1;0
Pantothenate and CoA biosynthesis;0;0;0;1
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);0;0;0;-1
Fatty acid activation (endoplasmic reticular);1;0;0;0
Glycosphingolipid biosynthesis-globo series;-1;-1;0;0
Glycerolipid metabolism;1;0;0;0
Miscellaneous;0;1;0;0
Folate metabolism;-1;0;0;0
Terpenoid backbone biosynthesis;0;0;0;1
Formation and hydrolysis of cholesterol esters;0;1;0;0
Metabolism of other amino acids;0;1;0;0
Fatty acid biosynthesis (odd-chain);-1;0;0;1
Inositol phosphate metabolism;0;0;1;0
Fatty acid biosynthesis;-1;0;0;0
Pentose phosphate pathway;1;0;0;1
Protein assembly;-1;0;0;0
