subsystem;Gimme;imat;Tinit;init
Exchange/demand reactions;0;0;1;1
Nicotinate and nicotinamide metabolism;-1;0;0;0
Cholesterol biosynthesis 2;-1;0;0;1
Oxidative phosphorylation;0;0;0;1
Protein modification;0;0;-1;0
Vitamin A metabolism;-1;0;0;1
Vitamin D metabolism;-1;0;0;-1
Dietary fiber binding;-1;-1;0;0
Bile acid recycling;0;-1;-1;0
Vitamin C metabolism;1;1;0;0
Carnitine shuttle (cytosolic);-1;0;0;0
Hippurate metabolism;0;-1;0;0
Beta oxidation of odd-chain fatty acids (mitochondrial);0;0;0;-1
Starch and sucrose metabolism;-1;0;0;0
Xenobiotics metabolism;0;1;0;0
Pyrimidine metabolism;1;0;1;1
Serotonin and melatonin biosynthesis;0;-1;0;0
Pentose and glucuronate interconversions;1;-1;0;0
Retinol metabolism;1;0;0;-1
Fatty acid biosynthesis (even-chain);-1;-1;1;-1
Ascorbate and aldarate metabolism;0;1;0;0
ROS detoxification;-1;0;0;0
Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial);0;0;0;-1
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);0;0;0;-1
Vitamin E metabolism;-1;0;0;-1
Propanoate metabolism;0;0;-1;-1
Pyruvate metabolism;1;0;0;0
Biopterin metabolism;1;0;1;1
Artificial reactions;0;0;0;1
Thiamine metabolism;1;0;0;-1
Aminoacyl-tRNA biosynthesis;1;0;-1;0
Fatty acid activation (cytosolic);1;0;1;1
Galactose metabolism;-1;0;0;0
Omega-6 fatty acid metabolism;0;0;1;0
Beta oxidation of even-chain fatty acids (mitochondrial);0;0;-1;-1
Cholesterol biosynthesis 1 (Bloch pathway) ;0;0;0;1
Vitamin B6 metabolism;0;1;0;-1
Transport reactions;0;0;1;1
Nucleotide metabolism;1;0;1;1
CoA synthesis;0;0;0;-1
Glycolysis / Gluconeogenesis;-1;0;-1;1
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);0;-1;0;1
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;-1;0;0;0
Fatty acid desaturation (even-chain);1;0;-1;0
Fatty acid desaturation (odd-chain);1;0;0;0
Sulfur metabolism;0;1;-1;0
Fatty acid oxidation;1;0;0;0
Biotin metabolism;0;0;1;0
Leukotriene metabolism;0;1;0;0
Beta oxidation of even-chain fatty acids (peroxisomal);0;1;0;1
Acyl-CoA hydrolysis;0;-1;1;1
Tyrosine metabolism;0;0;1;0
Arachidonic acid metabolism;0;1;0;0
Heme degradation;1;1;0;0
Protein degradation;0;1;0;0
Purine metabolism;-1;0;-1;1
Vitamin B12 metabolism;1;0;0;-1
Ether lipid metabolism;0;-1;0;0
Lysine metabolism;0;0;0;-1
Ubiquinone synthesis;0;1;0;-1
Drug metabolism;-1;0;0;0
Fatty acid elongation (even-chain);0;0;1;0
Pantothenate and CoA biosynthesis;0;0;0;-1
Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial);0;0;0;-1
Fatty acid activation (endoplasmic reticular);-1;0;0;1
Glycosphingolipid biosynthesis-globo series;1;-1;0;0
Glycerolipid metabolism;1;0;0;0
Folate metabolism;-1;0;0;0
Terpenoid backbone biosynthesis;0;0;0;-1
Beta oxidation of odd-chain fatty acids (peroxisomal);0;0;0;1
Formation and hydrolysis of cholesterol esters;0;1;0;-1
Metabolism of other amino acids;0;1;0;0
Fatty acid biosynthesis (odd-chain);1;-1;0;0
Fatty acid biosynthesis;-1;0;0;0
Pentose phosphate pathway;-1;0;-1;1
Protein assembly;1;0;-1;0
Glycine, serine and threonine metabolism;1;-1;0;0
Arginine and proline metabolism;0;1;0;0
