subsystem;CALU;NHBE;Lung;A549;293T
Oxidative phosphorylation;1;-1;0;0;1
Nicotinate and nicotinamide metabolism;1;-1;-1;1;-1
Cholesterol biosynthesis 2;0;0;-1;0;-1
Lipoic acid metabolism;-1;0;0;0;-1
Vitamin A metabolism;-1;1;-1;0;-1
Vitamin D metabolism;-1;1;-1;-1;-1
Dietary fiber binding;0;-1;-1;0;-1
Vitamin C metabolism;-1;-1;1;1;-1
Carnitine shuttle (cytosolic);1;-1;-1;-1;-1
Hippurate metabolism;-1;0;0;0;1
Glucocorticoid biosynthesis;0;0;0;-1;-1
Starch and sucrose metabolism;1;1;-1;-1;-1
Pyrimidine metabolism;1;-1;1;1;1
Pentose and glucuronate interconversions;-1;-1;1;0;0
CoA catabolism;0;0;0;-1;0
Retinol metabolism;-1;-1;1;1;1
Fatty acid biosynthesis (even-chain);1;1;-1;0;1
Riboflavin metabolism;0;1;0;-1;-1
ROS detoxification;0;-1;-1;0;0
Fatty acid biosynthesis (unsaturated);-1;-1;0;0;0
Vitamin E metabolism;-1;0;-1;-1;-1
Pyruvate metabolism;1;0;1;0;0
Biopterin metabolism;0;0;1;-1;0
Thiamine metabolism;1;-1;1;0;1
Carnitine shuttle (mitochondrial);0;-1;0;0;0
C5-branched dibasic acid metabolism;1;0;0;0;0
Aminoacyl-tRNA biosynthesis;1;1;1;-1;-1
Fatty acid activation (cytosolic);1;1;1;1;1
Galactose metabolism;-1;-1;-1;-1;1
Omega-6 fatty acid metabolism;-1;0;0;0;0
Transport reactions;0;0;0;1;0
Nucleotide metabolism;1;0;1;-1;1
CoA synthesis;0;-1;0;1;1
Fatty acid elongation (odd-chain);1;0;0;0;0
Glycolysis / Gluconeogenesis;1;1;-1;0;1
Acylglycerides metabolism;0;0;0;-1;0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;-1;-1;-1;0;0
Fatty acid desaturation (even-chain);-1;0;1;0;1
Fatty acid desaturation (odd-chain);-1;0;1;0;1
Fatty acid oxidation;-1;1;1;0;1
Alanine, aspartate and glutamate metabolism;-1;-1;0;0;0
Glutathione metabolism;-1;0;0;1;0
Cysteine and methionine metabolism;-1;1;0;0;0
Heme degradation;1;0;1;1;1
Protein degradation;-1;-1;0;0;0
Purine metabolism;1;1;-1;1;1
Vitamin B12 metabolism;-1;0;1;0;-1
Drug metabolism;-1;-1;-1;-1;1
Omega-3 fatty acid metabolism;-1;0;0;0;0
Fatty acid elongation (even-chain);1;0;0;0;0
Fatty acid activation (endoplasmic reticular);0;1;-1;0;0
Glycosphingolipid biosynthesis-globo series;-1;-1;1;-1;1
Glycerolipid metabolism;1;1;1;1;1
Bile acid biosynthesis;0;0;0;-1;0
Folate metabolism;0;-1;-1;0;-1
Fatty acid biosynthesis (odd-chain);1;-1;1;0;1
Fatty acid biosynthesis;0;-1;-1;0;-1
Linoleate metabolism;0;0;0;0;1
Pentose phosphate pathway;1;1;-1;1;1
Protein assembly;0;-1;1;-1;0
Glycine, serine and threonine metabolism;1;0;1;1;-1
