subsystem;Gimme;imat;Tinit;init
Exchange/demand reactions;0;-1;1;1
Oxidative phosphorylation;0;0;0;1
Cholesterol biosynthesis 2;0;0;0;-1
Nicotinate and nicotinamide metabolism;1;0;-1;-1
Vitamin A metabolism;0;0;0;-1
Vitamin D metabolism;-1;0;0;-1
Amino sugar and nucleotide sugar metabolism;0;0;0;1
Bile acid recycling;0;1;1;0
Vitamin C metabolism;1;-1;0;0
Carnitine shuttle (cytosolic);-1;-1;0;0
Heme synthesis;0;0;0;-1
Glucocorticoid biosynthesis;-1;1;0;0
Beta oxidation of odd-chain fatty acids (mitochondrial);0;0;0;-1
Starch and sucrose metabolism;-1;0;-1;-1
Sphingolipid metabolism;0;0;1;1
Pyrimidine metabolism;1;0;-1;1
Pentose and glucuronate interconversions;0;0;0;1
CoA catabolism;-1;0;0;0
Retinol metabolism;1;0;0;-1
Fatty acid biosynthesis (even-chain);0;1;0;-1
Riboflavin metabolism;-1;0;-1;0
Ascorbate and aldarate metabolism;0;1;0;0
ROS detoxification;0;0;0;-1
Fatty acid biosynthesis (unsaturated);0;0;1;0
Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial);0;0;0;1
Fructose and mannose metabolism;0;0;0;1
Vitamin E metabolism;-1;0;0;-1
Propanoate metabolism;0;0;1;1
Pyruvate metabolism;0;0;-1;-1
Biopterin metabolism;-1;0;0;0
Artificial reactions;0;0;0;1
Thiamine metabolism;0;-1;0;0
Carnitine shuttle (mitochondrial);0;-1;-1;1
Aminoacyl-tRNA biosynthesis;-1;-1;0;-1
Fatty acid activation (cytosolic);1;0;-1;-1
Galactose metabolism;-1;0;0;0
Omega-6 fatty acid metabolism;0;-1;1;0
Beta oxidation of even-chain fatty acids (mitochondrial);0;1;-1;-1
Cholesterol biosynthesis 1 (Bloch pathway) ;0;1;0;0
Prostaglandin biosynthesis;0;-1;0;0
Beta oxidation of phytanic acid (peroxisomal);0;0;1;1
Transport reactions;1;0;1;1
Nucleotide metabolism;-1;-1;-1;0
CoA synthesis;1;0;0;1
Glycosphingolipid biosynthesis-ganglio series;0;-1;0;0
Fatty acid elongation (odd-chain);0;0;1;-1
Glycolysis / Gluconeogenesis;0;0;1;1
Acylglycerides metabolism;-1;0;-1;1
Cholesterol biosynthesis 3 (Kandustch-Russell pathway);0;1;0;0
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism;0;0;-1;-1
Fatty acid desaturation (even-chain);0;0;1;-1
Fatty acid desaturation (odd-chain);0;0;1;0
Glutathione metabolism;1;1;1;1
Leukotriene metabolism;0;-1;0;0
Acyl-CoA hydrolysis;0;1;1;1
Glycosphingolipid biosynthesis-lacto and neolacto series;0;1;0;0
Arachidonic acid metabolism;0;-1;0;0
Heme degradation;1;0;0;0
Glycerophospholipid metabolism;0;0;1;-1
Protein degradation;0;1;0;0
Purine metabolism;1;0;-1;1
Phenylalanine metabolism;0;-1;0;1
Vitamin B12 metabolism;0;0;0;-1
Ether lipid metabolism;0;0;1;0
Lysine metabolism;0;0;0;-1
Ubiquinone synthesis;0;0;0;-1
Drug metabolism;-1;-1;0;0
Omega-3 fatty acid metabolism;0;0;1;1
Isolated;0;1;0;1
Fatty acid elongation (even-chain);0;0;1;0
Phenylalanine, tyrosine and tryptophan biosynthesis;0;-1;0;0
Fatty acid activation (endoplasmic reticular);0;1;0;0
Glycosphingolipid biosynthesis-globo series;-1;0;-1;0
Glycerolipid metabolism;1;-1;0;0
Carnitine shuttle (endoplasmic reticular);0;-1;0;0
Miscellaneous;0;0;1;0
Bile acid biosynthesis;-1;0;1;1
Terpenoid backbone biosynthesis;0;1;0;-1
Formation and hydrolysis of cholesterol esters;0;1;0;0
Metabolism of other amino acids;0;-1;0;0
Fatty acid biosynthesis (odd-chain);0;0;0;-1
Fatty acid biosynthesis;0;0;0;1
Pentose phosphate pathway;1;0;0;0
Protein assembly;-1;0;0;0
Glycine, serine and threonine metabolism;1;0;0;-1
