reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;5.116749797069174e-24;2.2225028444372976e-17
12HPETATP;0;0;0;0;2.033804446348061e-10;3.342095887985823e-11
12HPETUPKt;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
12HTACRtep;0;0;0;0;1.091667200202759e-12;3.983558072147711e-14
12HTACRtu;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
12PPDRte;0;0;0;0;1.2833068105609089e-07;4.279101821172346e-08
1331TAALThr;0;0;0;0;1.0096989661813195e-22;1.9040479948941133e-18
1331TACRhr;0;0;0;0;8.70364757036345e-17;1.514238612631719e-14
1331TACRteb;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
1331TACRtev;0;0;0;0;0.0013721202844857667;0.006845428682255005
13DMThr;0;0;0;0;9.408054475516145e-12;2.5374021248576897e-07
13DMTitr;0;0;0;0;3.2399021137395006e-12;2.812084341219021e-15
13DMTtep;0;0;0;0;8.70364757036345e-17;1.237495180579743e-18
13DMTtu;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
13HTACRitr;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
13_CIS_RETNte;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
1513DTACRhr;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
1513DTALThr;0;0;0;0;2.033804446348061e-10;3.0037577396874627e-05
1513TACRitr;1;0;1;0;6.190735543493342e-39;4.9507819421268084e-33
1513TACRtep;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
1513TACRtu;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
1531TACRhr;0;0;0;0;7.130963255851345e-35;3.1532978930395035e-32
1531TACRitr;0;0;0;0;8.965982459143306e-40;9.631386442831375e-33
1531TACRteb;0;0;0;0;3.221673654688769e-43;6.5582307134499525e-34
1531TACRtev;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
1531TALThr;0;0;0;0;1.769192534472081e-41;8.022937982012077e-34
15DMThr;0;0;0;0;4.34946507498374e-22;5.741602549911989e-10
15DMTitr;0;0;0;0;3.0442965331637905e-16;3.068542848686807e-05
15DMTtep;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
15DMTtu;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
15HPETATP;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
15HPETUPKt;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
15KPROSTGF2t;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
21HPRGNLONEt1;0;1;0;1;1.769192534472081e-41;1.2111025402753486e-33
21HPRGNLONEt2;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
2H3MVc;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
2H3MVte;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
2HATVACIDtep;0;0;0;0;1.2833068105609089e-07;3.724866177521731e-08
2HATVLAChc;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
2HATVLACtep;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
2HIVc;0;1;0;1;4.246076680223068e-44;5.1937847677945025e-34
2HIVte;1;0;1;0;2.732567484772165e-30;1.588265988271945e-17
2HXIC_Lt1e;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
2HXIC_Lt2e;0;0;0;0;9.408054475516145e-12;2.1261051664374626e-16
2M3HVACc;1;0;1;0;1.5304957679929972e-32;9.667286997218528e-27
2M3HVACte;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
2M3OVACm;0;0;0;0;1.1522477174066376e-14;1.4075001787072228e-08
2M3OVACtm;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
2M3OVCOAm;0;0;0;0;5.86380237584977e-05;0.001106173186045548
2OXOADPt;0;0;0;0;3.6560687348687467e-09;1.981086031802608e-08
2PGtr;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
31DMThr;0;0;0;0;2.4138319210853503e-42;5.666750587465944e-34
31DMTitr;0;0;0;0;2.970631821578244e-07;0.6094437444882959
31DMTtep;0;1;0;1;1.1165442918432393e-24;2.4427884241778045e-24
31DMTtu;0;0;0;0;2.062062828867104e-27;1.212090987184389e-18
34HPLFM;0;0;0;0;6.8792858228796886e-06;3.7912860978698566e-06
34HPLte;0;0;0;0;1.2742619709321418e-40;2.0488455605191385e-32
34HPLtm;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
34HPPte;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3AIBSYMPt;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
3AIBt1;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3BCRNtr;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3DDCRNtr;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3DECCRNtr;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
3H3MGLTc;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3H3MGLTte;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3HCINNMsec;0;0;0;0;8.790286566949461e-32;7.82994062627519e-26
3HCINNMup;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
3HDECECRNtr;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3HEXDCRNtr;0;0;0;0;8.790286566949461e-32;1.1520446056666447e-30
3HPPAsec;0;0;0;0;1.2833068105609089e-07;0.002212898076255144
3HPPAup;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3HPPNOHGLUCte;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3HPPPNOHGLUCc;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3HPPPNOHc;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3HPVSCOAhc;0;0;0;0;4.725371208817503e-19;4.220468940975e-21
3HPVSCOAitm;0;0;0;0;2.258665800246552e-08;0.5054704024629473
3HPVSCOAitx;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3HPVSTETCOAhcm;0;0;0;0;2.970631821578244e-07;0.018786365265059498
3HPVSTETCOAhcx;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3HPVSTETCOAitm;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3HPVSTETCOAitx;1;0;1;0;2.6101341994345973e-33;2.297197764507078e-21
3HPVSTEThc;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3HPVSTETtev;0;1;0;1;2.4138319210853503e-42;2.5381244503058625e-30
3HPVStep;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3ISPVShc;0;0;0;0;4.358274513018296e-34;9.98057069784739e-32
3ISPVStep;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3IVCRNtr;0;0;0;0;4.9977028418090516e-26;3.0625937933257487e-23
3MHISc;0;0;0;0;4.181588272792281e-38;1.9390491332672914e-33
3MHISt1;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3MHISt2;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3MHISt3;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3MOBt2im;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3MOBte;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3MOPte;0;0;0;0;2.297553525358966e-23;7.082655223084335e-20
3MOXTYRESSte;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3MOXTYRt;0;0;0;0;7.572292866638314e-21;4.342004548866325e-24
3MTPte;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3OCTDEC2CRNtr;0;0;0;0;5.440921498767354e-08;7.049925058593509e-06
3OCTDECCRNtr;0;0;0;0;2.4138319210853503e-42;9.09326822409245e-33
3OCTDECE1CRNtr;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3PGtr;0;1;0;1;4.246076680223068e-44;5.1937847677945025e-34
3TDCRNtr;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
3TETD7ECOACRNtr;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
3THEXDDCOACRNtr;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
3TTETDDCOACRNtr;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
4BHGLZABCt;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
4BHGLZhr;0;0;0;0;2.062062828867104e-27;2.296704865736498e-28
4BHGLZitr;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
4BHGLZtev;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
4HATVACIDtep;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
4HATVLAChc;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
4HATVLACtep;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
4HBZCOAFm;0;0;0;0;0.447444286660788;0.21834997938876094
4HBZFm;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
4HBZte;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
4OHBUTm;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
4OHBUTtce;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
4OHBUTtmc;0;0;0;0;1.1522477174066376e-14;7.960964444155487e-14
4TMEABUTNt1;0;0;0;0;4.725371208817503e-19;8.932775752892976e-19
4TMEABUTNt2;0;0;0;0;5.504695819294202e-45;4.523765529186324e-34
56DTHMt;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
56DTHMtd;0;1;0;1;5.504695819294202e-45;4.523765529186324e-34
56DURAt;1;0;1;0;5.504695819294202e-45;4.523765529186324e-34
