reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;1.442239870079741e-09;2.2692650428340918e-07
12HPETATP;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
12HPETUPKt;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
12HTACRtep;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
12HTACRtu;0;0;0;0;0.11086218284887492;0.07163641148239501
12PPDRte;0;0;0;0;0.04845193426416936;0.04406297685349868
1331TAALThr;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
1331TACRhr;0;0;0;0;5.931118013402549e-05;3.861383977060083e-08
1331TACRteb;0;0;0;0;5.266300225953771e-24;3.102621722706858e-24
1331TACRtev;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
13DMThr;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
13DMTitr;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
13DMTtep;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
13DMTtu;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
13HTACRitr;0;0;0;0;5.444502112939845e-45;4.478833678868651e-34
13_CIS_RETNte;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
1513DTACRhr;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
1513DTALThr;0;0;0;0;5.444502112939845e-45;4.478833678868651e-34
1513TACRitr;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
1513TACRtep;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
1513TACRtu;0;0;0;0;0.45181544359887277;1.0
1531TACRhr;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
1531TACRitr;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
1531TACRteb;0;0;0;0;5.444502112939845e-45;4.478833678868651e-34
1531TACRtev;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
1531TALThr;0;1;0;1;3.1848883937266587e-43;1.2369114837067631e-33
15DMThr;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
15DMTitr;0;0;0;0;5.444502112939845e-45;4.478833678868651e-34
15DMTtep;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
15DMTtu;0;0;0;0;1.8863073582051237e-21;5.414079612151562e-22
15HPETATP;0;0;0;0;1.1166649087226565e-12;0.012080589518058899
15HPETUPKt;0;0;0;0;3.690785194817916e-13;2.5652566663542684e-14
15KPROSTGF2c;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
15KPROSTGF2t;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
1A25DHVITD3t2e;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
1A25DHVITD3te;0;0;0;0;0.23326493558275688;0.5489847507006702
21HPRGNLONEt1;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
21HPRGNLONEt2;1;0;1;0;5.1522129343187784e-26;6.961020714682751e-27
2H3MVc;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
2H3MVte;1;0;1;0;4.841947424762228e-19;8.007491871074126e-16
2HATVACIDteb;0;0;0;0;1.5135368750117673e-29;2.7201805762004464e-28
2HATVACIDtep;0;0;0;0;5.4921839522959636e-08;3.1375064651321725e-08
2HATVLAChc;0;0;0;0;5.444502112939845e-45;4.478833678868651e-34
2HATVLACteb;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
2HATVLACtep;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
2HIVc;0;0;0;0;1.5619370997534556e-32;2.519878642020908e-29
2HIVte;0;0;0;0;5.4921839522959636e-08;0.00025535565608328966
2HXIC_Lt1e;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
2HXIC_Lt2e;0;0;0;0;5.444502112939845e-45;4.478833678868651e-34
2OXOADPt;0;0;0;0;0.0007713965879012088;0.11456284326778467
2PGtr;0;0;0;0;5.444502112939845e-45;4.478833678868651e-34
31DMThr;0;0;0;0;5.266300225953771e-24;1.7852348712251025e-19
31DMTitr;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
31DMTtep;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
31DMTtu;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
34DHPHELAT1tc;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
34HPLFM;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
34HPLte;0;0;0;0;5.444502112939845e-45;4.478833678868651e-34
34HPLtm;0;0;0;0;0.0007713965879012088;0.16221377788435473
34HPPte;0;0;0;0;1.442239870079741e-09;0.11510937900257928
3AIBSYMPt;0;0;0;0;5.517964345729687e-10;3.3979973340174587e-07
3AIBt1;0;0;0;0;1.1166649087226565e-12;4.025034593168912e-08
3ANTHRNtr;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
3BCRNtr;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
3DDCRNtr;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
3DECCRNtr;0;0;0;0;2.9651977468437047e-05;8.070925594885899e-05
3H3MGLTc;0;1;0;1;4.165088060459053e-28;8.638544022620344e-15
3H3MGLTte;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
3HCINNMsec;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
3HCINNMup;1;0;1;0;1.755760271663847e-41;6.39130137518201e-31
3HDECECRNtr;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
3HEXDCRNtr;0;0;0;0;7.794272930093137e-21;3.8965376828212296e-23
3HPPAsec;0;0;0;0;1.818878913800304e-36;4.341585261520547e-32
3HPPAup;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
3HPPNOHGLUCte;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
3HPPPNOHGLUCc;1;0;1;0;5.444502112939845e-45;4.478833678868651e-34
3HPPPNOHc;0;1;0;1;5.444502112939845e-45;4.478833678868651e-34
