reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
12HPETATP;0;0;0;1;1.1118965897837685e-12;0.06818758700702925
12HPETUPKt;0;0;0;0;2.5253187217345175e-42;2.1538008842816338e-32
12HTACRtep;0;0;0;0;2.4996179207449387e-25;3.358647679194641e-28
12HTACRtu;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
12PPDRte;0;0;0;0;1.0713501609813396e-26;3.487667312972509e-24
1331TAALThr;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
1331TACRhr;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
1331TACRteb;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
1331TACRtev;0;1;0;1;5.773504736918958e-45;4.746688430733078e-34
13DMThr;0;0;0;0;5.773504736918958e-45;4.746688430733078e-34
13DMTitr;0;0;0;0;5.773504736918958e-45;4.746688430733078e-34
13DMTtep;0;0;0;0;5.773504736918958e-45;4.746688430733078e-34
13DMTtu;0;1;0;1;5.773504736918958e-45;4.746688430733078e-34
13HTACRitr;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
13_CIS_RETNte;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
1513DTACRhr;0;0;0;0;2.8739484361790957e-30;4.50357610783418e-25
1513DTALThr;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
1513TACRitr;1;0;1;0;2.742841369663709e-33;1.7553122124494424e-19
1513TACRtep;0;0;0;0;0.00011836712421057;0.5070211258016497
1513TACRtu;0;1;0;1;1.6101523779122953e-32;2.799843101831551e-19
1531TACRhr;1;0;1;0;2.742841369663709e-33;9.715439474497906e-27
1531TACRitr;0;0;0;0;3.022885733671621e-07;1.0
1531TACRteb;0;0;0;0;0.001422068806087287;0.6051611751749434
1531TACRtev;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
1531TALThr;0;0;0;0;0.001422068806087287;0.6051611751749434
15DMThr;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
15DMTitr;0;1;0;1;5.773504736918958e-45;4.746688430733078e-34
15DMTtep;0;0;0;0;3.3819962071618873e-43;6.454622373870455e-34
15DMTtu;0;0;0;0;4.601710193019959e-34;2.2873888569617016e-30
15HPETATP;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
15HPETUPKt;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
15KPROSTGF2t;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
21HPRGNLONEt1;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
21HPRGNLONEt2;0;0;0;0;7.517495190811517e-35;1.899181929915148e-28
2H3MVc;0;0;0;0;1.2524148744738862e-19;4.687288765760387e-18
2H3MVte;1;0;1;0;2.5253187217345175e-42;6.644671004199333e-34
2HATVACIDtep;0;0;0;0;7.071205482120941e-06;8.377064309578267e-05
2HATVLAChc;0;1;0;1;5.773504736918958e-45;4.746688430733078e-34
2HATVLACtep;0;0;0;0;3.3819962071618873e-43;6.090585189952549e-34
2HIVc;0;0;0;0;4.513180231645392e-22;1.3478696850074805e-25
2HIVte;1;0;1;0;5.773504736918958e-45;4.746688430733078e-34
2HXIC_Lt1e;0;0;0;0;0.00737554178254913;0.3882018936708172
2HXIC_Lt2e;0;0;0;0;3.683335473640548e-13;8.227704143487404e-13
2OXOADPt;1;0;1;0;1.1630992047010692e-24;4.1026007800038615e-26
2PGtr;0;0;0;1;1.1955480536446817e-13;0.07783126257587293
31DMThr;0;0;0;0;5.3237929968693676e-24;3.786330037590975e-21
31DMTitr;0;1;0;1;9.372782712275107e-40;1.6495126312735296e-33
31DMTtep;0;0;0;0;8.91686092111095e-17;4.758339634388014e-15
31DMTtu;0;1;0;1;3.3819962071618873e-43;1.2654521997661522e-33
