reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
12HPETATP;0;0;0;0;8.773898429007425e-17;0.00020323376237425954
12HPETUPKt;0;0;0;0;6.238471746142719e-39;1.2258797353295895e-33
12HTACRhr;1;0;1;0;5.5579995572114977e-45;2.0820966967317019e-38
12HTACRitr;0;1;0;1;5.5579995572114977e-45;2.0820966967317019e-38
12HTACRtep;0;0;0;0;5.0857844620210814e-26;3.909519214984638e-17
12HTACRtu;0;0;0;0;2.6664310248630965e-33;2.588997310148761e-24
12PPDRte;0;0;0;0;5.5579995572114977e-45;4.558436678881935e-34
1331TAALThr;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
1331TACRhr;0;0;0;0;5.503083232441404e-08;7.446545821531605e-12
1331TACRteb;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
1331TACRtev;0;1;0;1;5.5579995572114977e-45;4.558436678881935e-34
13DMThr;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
13DMTitr;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
13DMTtep;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
13DMTtu;0;1;0;1;5.5579995572114977e-45;4.558436678881935e-34
13HTACRitr;0;1;0;1;5.5579995572114977e-45;4.558436678881935e-34
13_CIS_RETNte;1;0;1;0;4.277283794752327e-44;5.543492992489031e-34
14HMDZALThr;0;1;0;1;5.5579995572114977e-45;2.0820966967317019e-38
14HMDZhr;1;0;1;0;2.6664310248630965e-33;7.862269590272263e-21
14HMDZitr;1;0;1;0;4.445613196918246e-34;6.41369379913677e-22
14MDZtev;0;1;0;1;4.445613196918246e-34;6.41369379913677e-22
1513DTACRhr;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
1513DTALThr;0;0;0;0;1.8258700582638233e-36;4.2666668756809414e-24
1513TACRitr;0;0;0;0;5.040852069061784e-31;1.0646690537778164e-21
1513TACRtep;0;0;0;0;4.392001059378908e-22;1.6069563152353014e-07
1513TACRtu;0;1;0;1;1.0449160099872377e-26;4.716319110234434e-11
1531TACRhr;0;0;0;0;3.6897488111980837e-09;0.07537364269221225
1531TACRitr;0;1;0;1;5.5579995572114977e-45;4.558436678881935e-34
1531TACRteb;0;1;0;1;5.5579995572114977e-45;4.558436678881935e-34
1531TACRtev;0;0;0;0;7.277274710995911e-35;1.2005021191874441e-26
1531TALThr;0;0;0;0;4.445613196918246e-34;1.959733252280895e-32
15DMThr;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
15DMTitr;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
15DMTtep;0;0;0;0;2.2818223545330738e-08;5.819460767828416e-08
15DMTtu;0;1;0;1;5.5579995572114977e-45;4.558436678881935e-34
15HPETATP;0;0;0;0;4.277283794752327e-44;4.805537571958255e-34
15HPETUPKt;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
15KPROSTGF2t;0;1;0;1;5.5579995572114977e-45;4.558436678881935e-34
1OHMDZhr;0;1;0;1;5.5579995572114977e-45;2.0820966967317019e-38
1OHMDZitr;0;1;0;1;5.5579995572114977e-45;2.0820966967317019e-38
1OHMDZtep;0;1;0;1;5.5579995572114977e-45;2.0820966967317019e-38
21HPRGNLONEt1;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
21HPRGNLONEt2;0;1;0;1;5.5579995572114977e-45;4.558436678881935e-34
2H3MVc;0;0;0;0;3.5222342880181677e-15;1.748893525844247e-21
2H3MVte;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
2HATVACIDOXDhc;0;1;0;1;5.5579995572114977e-45;2.0820966967317019e-38
2HATVACIDitr;1;0;1;0;5.5579995572114977e-45;2.0820966967317019e-38
2HATVACIDtep;1;0;1;0;5.5579995572114977e-45;4.558436678881935e-34
2HATVLAChc;0;0;0;0;5.5579995572114977e-45;4.558436678881935e-34
