reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
12HPETATP;0;0;0;0;3.153744655775608e-16;1.0172154456978824e-13
12HPETUPKt;1;0;1;0;5.657660430916895e-45;4.658036031581889e-34
12HTACRtep;0;0;0;0;0.020053664172541796;0.017895484215208198
12HTACRtu;0;0;0;0;1.583199884758723e-32;4.754830523732064e-25
12PPDRte;1;0;1;0;1.8072803118807361e-41;5.118995360094889e-33
1331TAALThr;0;0;0;0;5.657660430916895e-45;4.658036031581889e-34
1331TACRhr;0;0;0;0;9.56006406797884e-09;1.126616163047829e-07
1331TACRteb;0;1;0;1;5.657660430916895e-45;4.658036031581889e-34
1331TACRtev;0;0;0;0;3.153744655775608e-16;2.1711197432023967e-16
13DMThr;0;0;0;0;1.0;0.430300754113076
13DMTitr;0;0;0;0;3.8543767875975114e-14;2.929138095720265e-11
13DMTtep;0;0;0;0;5.657660430916895e-45;4.658036031581889e-34
13DMTtu;0;1;0;1;5.657660430916895e-45;4.658036031581889e-34
13HTACRitr;0;0;0;0;5.657660430916895e-45;4.658036031581889e-34
13_CIS_RETNte;0;0;0;0;1.3026141593586149e-40;9.88641240499316e-34
1513DTACRhr;0;0;0;0;1.533060677014844e-29;9.003759626176962e-27
1513DTALThr;1;0;1;0;5.657660430916895e-45;4.658036031581889e-34
1513TACRitr;0;1;0;1;3.3102485894097e-43;9.60925691500958e-34
1513TACRtep;1;0;1;0;4.348303628170578e-44;4.899981118190019e-34
1513TACRtu;0;1;0;1;2.8429431722477996e-37;5.067005146567925e-28
1531TACRhr;1;0;1;0;1.2566601709867521e-19;9.143006194033688e-07
1531TACRitr;0;0;0;0;8.115517247595663e-29;9.385917510435356e-28
1531TACRteb;0;0;0;0;3.3102485894097e-43;9.60925691500958e-34
1531TACRtev;0;1;0;1;5.657660430916895e-45;4.658036031581889e-34
1531TALThr;0;1;0;1;5.657660430916895e-45;4.658036031581889e-34
15DMThr;0;1;0;1;2.6995781144980625e-33;1.4485797154601798e-21
15DMTitr;0;0;0;0;4.2846635073260374e-38;1.881466312209553e-31
15DMTtep;0;1;0;1;5.657660430916895e-45;4.658036031581889e-34
15DMTtu;0;1;0;1;5.657660430916895e-45;4.658036031581889e-34
15HPETATP;0;0;0;0;8.115517247595663e-29;1.598183299619192e-24
15HPETUPKt;1;0;1;0;4.5068140847275695e-34;1.7849141309858658e-26
15KPROSTGF2t;1;0;1;0;1.3026141593586149e-40;1.112528425656609e-33
21HPRGNLONEt1;1;0;1;0;5.657660430916895e-45;4.658036031581889e-34
21HPRGNLONEt2;1;0;1;0;5.657660430916895e-45;4.658036031581889e-34
2H3MVc;0;0;0;0;5.657660430916895e-45;4.658036031581889e-34
2H3MVte;0;0;0;0;1.9017788817908752e-21;2.0600319240991857e-21
2HATVACIDtep;0;0;0;0;9.011338737153319e-17;2.558179248568665e-09
2HATVLAChc;0;1;0;1;5.657660430916895e-45;4.658036031581889e-34
2HATVLACtep;0;0;0;0;5.657660430916895e-45;4.658036031581889e-34
2HIVc;0;1;0;1;5.657660430916895e-45;4.658036031581889e-34
2HIVte;0;0;0;0;0.00439112595752728;0.0435997379387108
2HXIC_Lt1e;0;0;0;0;5.657660430916895e-45;4.658036031581889e-34
2HXIC_Lt2e;0;0;0;0;5.657660430916895e-45;4.658036031581889e-34
2OXOADPt;0;0;0;0;0.03191745965752988;0.006719010265820968
2PGtr;0;0;0;0;5.657660430916895e-45;4.658036031581889e-34
31DMThr;0;0;0;0;4.5068140847275695e-34;2.3036126881075642e-32
31DMTitr;0;0;0;0;0.46461412788087303;1.0
31DMTtep;0;1;0;1;5.657660430916895e-45;4.658036031581889e-34
31DMTtu;1;0;1;0;5.657660430916895e-45;4.658036031581889e-34
34HPLFM;0;0;0;0;5.320984458236896e-24;6.4693983795035975e-16
34HPLte;1;0;1;0;5.657660430916895e-45;4.658036031581889e-34
