reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;2.0028550984353234e-05;1.926836595871383e-05
34HPLFM;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
3DPHBH1;1;0;1;0;4.038598747905331e-45;1.5887763313074014e-38
4HBZCOAFm;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
4HBZFm;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
5FTHFt2;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
ALAyLATthc;0;0;0;0;9.4162457158719e-41;1.6512393957118408e-33
AMY2e;0;1;0;1;4.038598747905331e-45;3.3036627813355963e-34
ARACHCOAtx;1;0;1;0;4.038598747905331e-45;3.3036627813355963e-34
BGAL1e;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
BTNt3i;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
BUTt2r;1;0;1;0;4.038598747905331e-45;3.3036627813355963e-34
C161CPT22;1;0;1;0;4.038598747905331e-45;3.3036627813355963e-34
C161CRN2t;1;0;1;0;4.038598747905331e-45;1.5887763313074014e-38
C181CPT2;1;0;1;0;5.375099143346321e-35;3.4585749015259226e-23
C181CPT2rbc;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
C226CRNt;0;0;0;0;3.4018311971653045e-19;9.504923223645688e-05
CA2t;0;0;0;0;4.038598747905331e-45;3.3036627813355963e-34
CAATPS;0;1;0;1;4.038598747905331e-45;3.3036627813355963e-34
CITtam;1;0;1;0;4.038598747905331e-45;3.3036627813355963e-34
CLS_hs;0;0;0;1;8.10543316337703e-15;0.052849534830206345
COQ3m;0;0;1;0;8.10543316337703e-15;0.052849534830206345
COQ5m;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
COQ6m;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
COQ7m;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
COUCOAFm;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
CYOOm3i;0;0;0;0;6.225528706802975e-17;9.033659323025028e-14
Coqe;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
DCSPTN1CRNt;0;1;0;1;4.038598747905331e-45;3.3036627813355963e-34
DESAT16_2;0;0;0;0;1.781379475099162e-42;7.988722445578338e-33
DESAT18_10;0;0;0;0;4.038598747905331e-45;3.3036627813355963e-34
DESAT18_3;1;0;1;0;1.3493009383663149e-36;2.4101650412944035e-32
DESAT18_4;1;0;1;0;4.038598747905331e-45;3.3036627813355963e-34
DESAT18_5;1;0;1;0;4.038598747905331e-45;3.3036627813355963e-34
DESAT18_6;0;1;0;1;4.038598747905331e-45;3.3036627813355963e-34
DESAT18_7;0;1;0;1;4.038598747905331e-45;3.3036627813355963e-34
DESAT18_8;1;0;1;0;4.038598747905331e-45;3.3036627813355963e-34
DESAT18_9;0;1;0;1;3.1120295541127903e-44;3.7926742870488643e-34
DESAT20_1;0;0;0;0;4.038598747905331e-45;3.3036627813355963e-34
DESAT20_2;0;1;0;1;4.038598747905331e-45;3.3036627813355963e-34
DLNLCGCRNt;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
DTMPKm;0;1;0;1;4.038598747905331e-45;3.3036627813355963e-34
EBP1r;1;0;1;0;3.6954959975345584e-31;4.930411653422837e-25
EBP2r;1;0;1;0;3.6954959975345584e-31;4.930411653422837e-25
EICOSTETCRNt;0;0;0;0;0.20915973523160916;0.01912679061841115
ELAIDCPT2;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
ETF;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
ETFQO;0;1;0;1;4.038598747905331e-45;1.5887763313074014e-38
EX_12HPET;0;0;0;0;5.77913048588302e-29;2.7543132773226296e-27
EX_C04849;0;0;0;0;3.1120295541127903e-44;3.688842713877563e-34
EX_CE0074;0;0;0;0;4.038598747905331e-45;3.3036627813355963e-34
EX_CE2510;0;0;0;0;4.038598747905331e-45;3.3036627813355963e-34
EX_CE2915;0;1;0;1;4.038598747905331e-45;3.3036627813355963e-34
EX_CE2916;1;0;1;0;4.038598747905331e-45;3.3036627813355963e-34
EX_CE2917;1;0;1;0;8.780589516519768e-20;4.5554758184902114e-23
EX_CE4722;0;0;0;0;1.0;0.5545106896452305
EX_CE4723;1;0;1;0;4.038598747905331e-45;3.3036627813355963e-34
EX_CE4724;1;0;1;0;1.0930015108967771e-29;1.6153892031901417e-29
EX_CE5867;0;0;0;0;4.038598747905331e-45;3.3036627813355963e-34
EX_CE5868;0;0;0;0;4.038598747905331e-45;3.3036627813355963e-34
EX_CE5869;1;0;1;0;4.038598747905331e-45;3.3036627813355963e-34
EX_HC01609;0;0;0;0;2.0260843234834208e-30;1.27224080651653e-27
EX_HC01610;0;0;0;0;4.038598747905331e-45;3.3036627813355963e-34
EX_HC01944;1;0;1;0;4.038598747905331e-45;1.5887763313074014e-38
EX_M00003;0;1;0;1;4.038598747905331e-45;3.3036627813355963e-34
EX_M00008;0;0;0;0;3.6554958178972376e-26;5.923290971391461e-24
EX_M00010;1;0;1;0;4.038598747905331e-45;3.3036627813355963e-34
EX_M00017;0;1;0;1;4.038598747905331e-45;3.3036627813355963e-34
