reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;1;0;1;4.063654234706056e-45;2.0554722100017418e-38
12DHCHOLabc;0;0;0;0;2.2750990580672337e-16;3.0458987985399166e-16
12DHCHOLt;0;0;0;0;1.34419984388264e-18;2.0038290450469056e-14
1A25DHVITD3te;0;1;0;1;4.063654234706056e-45;2.0554722100017418e-38
2HATVACIDteb;0;0;0;0;6.713252749920913e-09;1.8139554034037366e-08
2HATVACIDtep;0;1;0;1;1.781594809641956e-42;3.328757040009976e-34
2HATVLACteb;0;0;0;0;7.798450144680039e-16;2.872251549494841e-13
2HATVLACtep;0;0;0;0;1.8112105886580392e-25;1.3336304660681106e-15
3DHCDCHOLabc;0;0;0;0;1.0;0.8011169664932205
3DHCDCHOLt;0;0;0;0;1.3535513957855206e-36;8.223548199571075e-29
3DHCHOLabc;0;0;0;0;4.063654234706056e-45;3.328757040009976e-34
3DHCHOLt;0;0;0;0;4.063654234706056e-45;3.328757040009976e-34
3DHDCAabc;1;0;1;0;4.063654234706056e-45;3.328757040009976e-34
3DHDCAt;0;0;0;0;9.140379215791068e-20;1.4160415967375434e-22
3DHLCAabc;0;1;0;1;4.063654234706056e-45;3.328757040009976e-34
3DHLCAt;1;0;1;0;4.063654234706056e-45;3.328757040009976e-34
3HPVSTETteb;0;0;0;0;4.063654234706056e-45;3.328757040009976e-34
3HPVSTETtev;0;0;0;0;1.965060774743628e-11;6.7773929259883166e-12
3HPVSteb;0;1;0;1;4.063654234706056e-45;3.328757040009976e-34
3HPVStep;1;0;1;0;4.063654234706056e-45;3.328757040009976e-34
3ISPVSteb;0;0;0;0;4.063654234706056e-45;3.328757040009976e-34
3ISPVStep;1;0;1;0;4.063654234706056e-45;3.328757040009976e-34
4HATVACIDteb;1;0;1;0;4.063654234706056e-45;3.328757040009976e-34
4HATVACIDtep;0;1;0;1;4.063654234706056e-45;2.0554722100017418e-38
4HATVLACteb;1;0;1;0;4.063654234706056e-45;3.328757040009976e-34
4HATVLACtep;0;0;0;0;3.1300247214991164e-44;3.5262779504137043e-34
