reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
1A25DHVITD3te;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
34HPLFM;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
3DPHBH1;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
4HBZCOAFm;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
4HBZFm;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
ACCOAL;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
AMY2e;0;0;0;0;1.4063707016430235e-21;1.0783167329579065e-20
ANDRSTANDRtr;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
ARACHCOAtx;0;0;0;0;4.4118986218699725e-45;3.593711922799035e-34
BGAL1e;0;0;0;0;4.4118986218699725e-45;3.593711922799035e-34
BTNt4i;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
C14STRr;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
C161CPT22;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
C181CPT2rbc;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
C226CRNt;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
CDS;1;0;1;0;4.4118986218699725e-45;1.5684649489825658e-38
CE2705t;1;0;1;0;4.4118986218699725e-45;1.5684649489825658e-38
CE5025t;1;0;1;0;4.4118986218699725e-45;1.5684649489825658e-38
CITtam;0;0;0;0;4.4118986218699725e-45;3.593711922799035e-34
CLS_hs;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
COUCOAFm;0;1;0;1;1.0033604663438363e-40;8.669246630967729e-32
CYOOm3i;1;0;1;0;1.0033604663438363e-40;2.5319103207781937e-31
DACT;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
DCMPtr;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
DESAT16_2;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
DESAT18_3;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
DESAT18_5;1;0;1;0;5.646154979412396e-35;5.725162192851986e-28
DESAT20_1;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
DESAT20_2;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
DOPAc;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
DTMPKm;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
EBP1r;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EBP2r;0;0;0;0;7.841989515422421e-16;8.24219623883907e-16
ELAIDCPT2;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
ETF;0;0;0;0;3.8580232811974183e-31;2.2118628083535104e-24
ETFQO;0;0;0;0;3.3090242408871757e-38;2.7430798299839923e-33
EX_12HPET;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_1a25dhvitd3;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_23cump;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
EX_3ump;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_C04849;0;1;0;1;1.3971963915504303e-41;5.376528965377446e-33
EX_CE0074;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_CE2510;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
EX_CE2705;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_CE5025;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_HC00955;0;0;0;0;2.7014745847969236e-13;5.268524230414661e-10
EX_HC01577;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_HC01609;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_HC01610;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_HC01700;0;0;1;0;2.7784393675650322e-14;0.0805439110055798
EX_HC01939;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_HC01943;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_HC02160;0;0;1;0;8.163689518910308e-13;0.09388552303003804
EX_HC02161;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
EX_M00003;0;0;0;0;4.4118986218699725e-45;3.593711922799035e-34
EX_M00008;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
EX_M00010;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_M00017;0;0;0;0;2.631280661664563e-15;9.606609788568042e-19
EX_M00019;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_M00021;0;0;0;0;1.0033604663438363e-40;2.2599311931191473e-31
EX_M00115;0;0;0;0;2.1272909072517663e-30;1.3255348592810986e-29
EX_M00117;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
EX_M00234;0;0;0;0;6.906930191254022e-32;1.0785470211192438e-31
EX_M00260;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_M00265;0;0;0;0;1.4063707016430235e-21;1.9887964172508428e-21
EX_M00315;0;0;0;0;6.557510764556351e-17;2.7100221191230107e-13
EX_M00341;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_M00503;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_M01197;0;0;0;0;0.11576377879382929;0.05820698637088315
EX_M01207;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_M01235;0;0;0;0;5.057619874404842e-06;0.0003022703989578473
EX_M01238;0;0;0;0;1.0561908566121932e-09;1.2532476685192368e-05
EX_M01582;0;0;0;0;4.038958768399104e-08;2.912844913107168e-11
EX_M01807;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_M02053;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_M02457;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_M02613;0;0;0;0;7.075625062047624e-40;1.0123757940922229e-33
EX_M02745;0;1;0;1;7.075625062047624e-40;1.4622886210836454e-30
EX_M02956;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
EX_M03045;0;0;0;0;3.967408141152252e-24;1.4703561096632724e-11
EX_M03051;1;0;1;0;2.0634922734186273e-33;1.5561458871989927e-20
EX_M03153;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
EX_adrn;0;0;0;0;3.8580232811974183e-31;6.285182287681735e-23
EX_arach;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_arachd;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
EX_atp;0;0;0;0;2.191712958873638e-07;7.321999880080775e-09
EX_clpnd;0;0;0;0;4.4118986218699725e-45;3.593711922799035e-34
EX_crvnc;0;0;0;0;8.647600858764766e-15;1.956426702947711e-07
EX_dcmp;0;0;0;0;3.157613303224858e-28;7.095234158761471e-29
EX_dcsptn1;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_ddca;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_dgmp;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_dgtp;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_dlnlcg;0;0;0;0;1.422095890531626e-36;2.165197902783994e-30
EX_doco13ac;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_docosac;0;0;0;0;2.631280661664563e-15;2.330537795105457e-16
EX;0;1;0;1;2.960459704895358e-86;5.044621785672484e-64
EX;0;1;0;1;2.960459704895358e-86;5.044621785672484e-64
EX_fad;0;0;0;0;1.422095890531626e-36;2.3492397379197843e-32
EX_fmn;0;0;0;0;0.0001612373981276065;5.374930552470435e-06
EX_galgluside_hs;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_gluside_hs;0;0;0;0;2.3365533940661743e-20;7.766483623922401e-20
EX_glyc3p;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_glygn2;0;0;0;0;8.653512106484364e-25;1.3128102787567643e-27
EX_glygn4;0;0;0;0;0.008611340079600687;0.03816552653294684
EX_h2co3;0;0;0;0;6.8113541520437666e-09;4.258482583279436e-11
EX_hdca;0;0;0;0;1.0;0.6771228492517471
EX_hdcea;0;0;0;0;1.3558984162946369e-18;1.2404822111492035e-19
EX_hdd2crn;1;0;1;0;4.4118986218699725e-45;1.5684649489825658e-38
EX_hexc;0;1;0;1;5.646154979412396e-35;1.006145343576685e-21
EX_hpdca;0;0;0;0;1.5153404014238557e-10;5.897189601552397e-12
EX_lgnc;0;0;0;0;1.0561908566121932e-09;0.04178188250839322
EX_lneldc;0;0;0;0;0.4317051804550369;0.4768350147701862
EX_lneldccrn;1;0;1;0;4.4118986218699725e-45;1.5684649489825658e-38
EX_lnlccrn;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_lnlncg;0;0;0;0;7.771825447380466e-23;4.2524345852583927e-26
EX_mlthf;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
EX_nrvnc;0;0;0;0;1.0965219726254818e-06;2.1301188307930092e-06
EX_ocdca;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
EX_ocdcea;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_phpy;0;0;0;0;1.6016454659743907e-27;4.362351342731208e-26
EX_ppi;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
EX_prpp;0;1;0;1;9.080485385161558e-36;1.142964738931707e-32
EX_ptdca;0;0;0;0;1.054243577205253e-05;0.0004327109348393333
EX_ptrc;0;0;0;0;2.7784393675650322e-14;4.55999151200923e-15
EX_sphings;0;0;0;0;2.1523726001908602e-05;0.07703852882079121
EX_strdnc;0;0;0;0;1.150159640397316e-29;1.4622886210836454e-30
EX_sucsal;0;0;0;0;1.0965219726254818e-06;1.6675118759398866e-05
EX_tag_hs;0;0;0;0;2.294604029569643e-16;2.165015538118579e-19
EX_tethex3;0;0;0;0;1.6016454659743907e-27;8.944962011777306e-25
EX_tetpent3;0;0;0;0;4.4118986218699725e-45;3.593711922799035e-34
EX_tetpent6;0;0;0;0;2.54518576686081e-43;4.3696795537038844e-34
EX_tettet6;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_tmndnc;0;0;0;0;1.3558984162946369e-18;2.212527144640392e-15
EX_ttdca;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
EX_ttdcea;0;0;0;0;1.0561908566121932e-09;0.07780332047959601
EX_vacc;0;0;0;0;5.049301882302087e-18;6.924376642017626e-23
FACOAL1813;1;0;1;0;4.4118986218699725e-45;1.5684649489825658e-38
FAEL183;0;0;0;0;8.422690386582316e-05;1.3632788479229597e-06
FAEL184;0;0;0;0;3.3362779738333843e-22;2.3868665894192743e-11
FAEL204;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
FAEL205;0;0;0;0;0.0017741179092014571;0.00010427890551372355
FAOXC101C8m;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
FAOXC102C101m;1;0;1;0;1.6016454659743907e-27;7.264153998329537e-14
FAOXC10C10OHm;1;0;1;0;2.0634922734186273e-33;8.798920612546934e-31
FAOXC122C101m;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
FAOXC122m;0;0;0;0;0.4317051804550369;0.4768350147701862
FAOXC12C12OHm;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
FAOXC142C122m;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
FAOXC14C12m;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
FAOXC14C14OHm;0;0;0;0;7.771825447380466e-23;2.630098912876878e-20
FAOXC160;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
FAOXC162C142m;0;0;0;0;0.0001612373981276065;0.018132028916723764
FAOXC163C164Gm;0;0;0;0;5.5626708988633834e-11;1.0716726134158816e-10
FAOXC163GC142m;0;0;0;0;0.005195531826641421;0.5232756739928928
FAOXC163Gm;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
FAOXC164GC163m;0;1;0;1;1.893892823519045e-42;4.7590686355177105e-34
FAOXC16C14m;0;0;0;0;4.4118986218699725e-45;3.593711922799035e-34
FAOXC17C15m;0;0;0;0;0.0003026991123579303;9.177084782519854e-06
FAOXC182C162m;0;0;0;0;2.631280661664563e-15;2.7412477242654503e-09
FAOXC183C163Gm;1;0;1;0;3.368942586181711e-44;3.89594449374937e-34
FAOXC184C163m;0;1;0;1;1.7779030172288476e-23;7.301110054142622e-08
FAOXC184m;0;0;0;0;8.163689518910308e-13;2.7359433771556455e-07
FAOXC204C184m;0;1;0;1;3.8580232811974183e-31;1.9226441448317607e-17
FAOXC2051843m;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
FAOXC225C204m;0;0;0;0;5.789204636488975e-21;5.959389330891953e-10
FAOXC225C226m;0;0;0;0;1.0;0.3382163517132314
FAOXC225m;0;0;0;0;1.054243577205253e-05;0.0008209279555452187
FAOXC226205m;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
FAOXC226C225m;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
FAOXC240200x;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
FAOXC241181x;0;0;0;0;3.967408141152252e-24;2.0022294037338036e-26
FAOXC2452256x;1;0;1;0;4.881634605668667e-39;2.593804628378113e-26
FAOXC246226x;0;0;0;0;3.8826099673384877e-26;5.707516398779698e-23
FAOXC260240x;0;0;0;0;5.049301882302087e-18;2.6936113011383655e-19
FAOXC80;1;0;1;0;2.1272909072517663e-30;6.723195500979085e-29
FAOXTC101TC102m;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
FAOXTC102C101m;0;0;0;0;3.3362779738333843e-22;5.5406638027300116e-24
FAOXTC122TC101m;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
FAOXTC122m;1;0;1;0;3.157613303224858e-28;4.0768225134385936e-14
FAOXTC142TC122m;1;0;1;0;9.080485385161558e-36;2.016979813292988e-31
FAOXTC162TC142m;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
FAOXTC182TC162m;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
FAS140COA;0;0;0;0;5.789204636488975e-21;2.9001183504956158e-18
FCLTm;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
FMNALKPle;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
FOLt2;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
G6PDH2c;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
GLDBRAN;0;0;0;0;4.4118986218699725e-45;3.593711922799035e-34
GLYC3tr;1;0;1;0;4.4118986218699725e-45;1.5684649489825658e-38
GNDc;0;1;0;1;2.19050687870573e-37;3.6788300948030658e-25
HDD2CRNte2;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
HMR_0001;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0003;1;0;1;0;5.646154979412396e-35;4.847681675106568e-31
HMR_0006;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0015;0;0;0;0;0.1661705462049662;0.3694325732075787
HMR_0025;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0030;0;0;0;0;2.191712958873638e-07;2.4006061018861484e-06
HMR_0031;0;0;0;0;2.631280661664563e-15;8.918529984970168e-16
HMR_0032;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
HMR_0153;0;1;0;1;4.4118986218699725e-45;1.5684649489825658e-38
HMR_0154;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
HMR_0155;1;0;1;0;1.4063707016430235e-21;2.6065631645738597e-06
HMR_0187;0;0;0;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0188;0;1;0;1;7.771825447380466e-23;1.07870118747125e-07
HMR_0189;0;0;0;0;6.557510764556351e-17;2.648779570808e-14
HMR_0190;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0191;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0192;0;1;0;1;2.54518576686081e-43;4.3696795537038844e-34
HMR_0193;0;0;0;0;2.7014745847969236e-13;6.934170547763933e-11
HMR_0195;0;0;0;0;1.0561908566121932e-09;3.842518432629184e-12
HMR_0196;0;0;0;0;7.841989515422421e-16;4.631913205910731e-16
HMR_0197;0;0;0;0;8.760077975760663e-14;2.8130925721282024e-08
HMR_0199;0;0;0;0;0.0001612373981276065;1.6319445506045084e-05
HMR_0200;0;0;0;0;4.300410502318064e-05;0.013504726694872888
HMR_0201;0;0;0;0;1.5153404014238557e-10;1.3472928051261296e-06
HMR_0203;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
HMR_0204;0;0;0;0;5.789204636488975e-21;1.6954649496934815e-19
HMR_0206;0;0;0;0;0.005195531826641421;0.1679337476057806
HMR_0208;0;0;0;0;1.2099920658598146e-32;9.094365549561083e-24
HMR_0209;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0210;0;1;0;1;7.075625062047624e-40;1.213199058357922e-27
HMR_0212;0;0;0;1;2.7014745847969236e-13;0.18484060814929817
HMR_0213;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0214;1;0;1;0;5.789204636488975e-21;1.0148527603194291e-05
HMR_0216;0;0;0;0;0.0010057513924425115;0.0001412625469584193
HMR_0217;0;0;0;0;2.54518576686081e-43;9.549591886826886e-34
HMR_0223;0;0;0;0;1.5153404014238557e-10;0.0026009083095238556
HMR_0225;0;0;0;0;8.647600858764766e-15;1.4136024854432328e-06
HMR_0226;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
HMR_0230;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
HMR_0232;0;0;0;0;0.03463144362491883;0.7480392313810477
HMR_0233;1;0;1;0;8.760077975760663e-14;2.468145002690731e-19
HMR_0234;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0236;1;0;1;0;5.646154979412396e-35;1.280434921108301e-32
HMR_0237;1;0;1;0;1.3971963915504303e-41;6.732971489392339e-34
HMR_0238;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0240;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
HMR_0241;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
HMR_0242;1;0;1;0;7.075625062047624e-40;3.975722837236543e-31
HMR_0244;0;1;0;1;7.974358234185217e-27;3.001121929920754e-22
HMR_0245;1;0;1;0;2.54518576686081e-43;5.655565984347971e-34
HMR_0246;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
HMR_0248;1;0;1;0;2.1272909072517663e-30;2.1458227716844908e-18
HMR_0249;0;0;0;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0250;1;0;1;0;1.893892823519045e-42;5.655565984347971e-34
HMR_0254;1;0;1;0;4.4118986218699725e-45;3.593711922799035e-34
HMR_0255;0;0;0;0;3.967408141152252e-24;2.0935417894650736e-12
HMR_0256;0;1;0;1;4.4118986218699725e-45;3.593711922799035e-34
HMR_0258;1;0;1;0;4.4118986218699725e-45;1.5684649489825658e-38
