reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;0.005491662591990688;0.05463529192981423
34HPLFM;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
3DPHBH1;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
4HBZCOAFm;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
4HBZFm;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
7DHCHSTEROLtd;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
AACTte;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
ACt2m;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
ALAyLATthc;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
AMY2e;0;1;0;1;4.506334667547977e-45;3.6391829212113e-34
ANDRSTANDRtr;1;0;1;0;4.506334667547977e-45;1.260249518459203e-38
ARACHCOAtx;0;1;0;1;4.506334667547977e-45;3.6391829212113e-34
ASNATB0tc;0;1;0;1;5.601512591491897e-35;4.4308078985530656e-29
BTNt3i;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
C161CPT22;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
C181CPT2rbc;0;0;0;0;1.110055697534572e-05;5.45259694850305e-05
C226CRNt;0;0;0;0;2.320691210837587e-16;3.046653549547958e-20
C3STDH1Pr;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
C3STKR2r;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
C4STMO1r;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
C4STMO2r;1;0;1;0;4.506334667547977e-45;1.260249518459203e-38
CDS;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
CE2705t;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
CLS_hs;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
COQ3m;1;0;1;0;4.506334667547977e-45;1.260249518459203e-38
COQ5m;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
COQ6m;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
COQ7m;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
COUCOAFm;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
CRNATBtc;0;0;0;0;1.9403191952669e-42;9.482840445137095e-34
CYOOm3i;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
CYSSNAT5tc;0;1;0;1;4.506334667547977e-45;1.260249518459203e-38
DCMPtr;0;0;1;0;8.325150011016992e-13;0.3905283014721165
DESAT16_2;0;0;1;0;4.162023945261814e-10;0.6537949298347755
DESAT18_7;1;0;1;0;4.506334667547977e-45;3.6391829212113e-34
