reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
34HPLFM;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
3DPHBH1;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
3HPPt;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
3HPPtm;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
4HBZCOAFm;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
4HBZFm;1;0;1;0;4.676315348906671e-45;1.8672092240965256e-38
ACCOAL;0;1;0;1;2.0408498699220322e-42;1.9283084905383117e-32
AMY2e;0;1;0;1;4.676315348906671e-45;3.8270760160653317e-34
ANDRSTANDRtr;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
ARACHCOAtx;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
BGAL1e;0;1;0;1;4.676315348906671e-45;3.8270760160653317e-34
BUTt2r;0;0;0;0;4.676315348906671e-45;3.8270760160653317e-34
C161CPT22;1;0;1;0;4.676315348906671e-45;3.8270760160653317e-34
C181CPT2;0;0;0;0;4.676315348906671e-45;3.8270760160653317e-34
C181CPT2rbc;1;0;1;0;4.676315348906671e-45;3.8270760160653317e-34
C226CRNt;0;0;0;0;0.005131880483114226;0.002167595472707294
CE5025t;1;0;1;0;4.676315348906671e-45;3.8270760160653317e-34
CITtam;0;0;1;0;2.739326442162874e-13;0.07795399522363118
CLS_hs;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
COUCOAFm;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
CYOOm3i;1;0;1;0;2.361348858218484e-16;2.7496937699601e-15
CYSSNAT5tc;0;1;0;1;4.676315348906671e-45;3.8270760160653317e-34
Coqe;0;1;0;1;4.676315348906671e-45;1.8672092240965256e-38
DACT;0;1;0;1;4.676315348906671e-45;3.8270760160653317e-34
DESAT16_2;0;0;0;0;1.5218897417238437e-10;0.56008924284181
DESAT18_10;0;0;0;0;4.676315348906671e-45;3.8270760160653317e-34
DESAT18_3;0;0;0;0;2.4533467285778073e-12;1.745484701555842e-06
DESAT18_4;0;1;0;1;8.772705829106729e-15;0.04412065144890249
