reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;2.296359790909502e-45;1.890449306135117e-34
12PPDRte;0;0;0;0;1.2027600522676649e-37;1.5107756197845454e-33
13_CIS_RETNte;0;0;0;0;3.1169907032894777e-35;2.1224547729818204e-31
15KPROSTGF2c;0;1;0;1;2.296359790909502e-45;8.457737558177355e-39
15KPROSTGF2t;1;0;1;0;2.296359790909502e-45;1.890449306135117e-34
2H3MVc;0;1;0;1;2.296359790909502e-45;1.890449306135117e-34
2H3MVte;0;0;0;0;1.6574371110022513e-14;2.0566889084263843e-08
2HIVc;0;0;0;0;7.533655062400809e-42;3.6790079941220803e-34
2HIVte;0;0;0;0;7.827925651544083e-37;1.1427057420765481e-29
2HYOXPLCte;0;1;0;1;7.827925651544083e-37;1.0374069501747468e-32
2M3HVACc;0;0;0;0;1.5648595681314175e-15;6.205682602398348e-20
2M3HVACte;1;0;1;0;2.296359790909502e-45;1.890449306135117e-34
2M3OVACm;0;1;0;1;2.296359790909502e-45;1.890449306135117e-34
2M3OVACtm;1;0;1;0;2.296359790909502e-45;1.890449306135117e-34
2M3OVCOAm;0;0;0;0;2.104494625373755e-19;1.622659761622732e-22
2OXOADPt;0;0;0;0;1.6574371110022513e-14;4.241279711353987e-16
34HPPte;1;0;1;0;2.296359790909502e-45;1.890449306135117e-34
3AIBSYMPt;0;0;0;0;3.4574585977337255e-29;1.1580213222093968e-30
3AIB_Dtm;0;1;0;1;2.296359790909502e-45;8.457737558177355e-39
3AIBt1;0;0;0;0;0.021709547493339476;0.356920117579206
3DDCRNtr;0;1;0;1;4.975666812452963e-36;2.9114730283402817e-29
3DECCRNtr;0;0;0;0;2.296359790909502e-45;1.890449306135117e-34
3HDECECRNtr;1;0;1;0;2.296359790909502e-45;1.890449306135117e-34
3HEXDCRNtr;0;1;0;1;2.296359790909502e-45;1.890449306135117e-34
