reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
10FTHFtm;0;0;0;0;5.130373046384305e-16;1.1307093529737498e-13
12PPDRte;0;0;0;0;1.3744482532529597e-30;7.705597229721335e-30
13DMTitr;0;1;0;1;2.7870730889789076e-45;2.1468869087494744e-38
13DMTtep;1;0;1;0;2.7870730889789076e-45;2.1468869087494744e-38
13_CIS_RETNte;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
1513DTACRhr;0;1;0;1;2.7870730889789076e-45;2.1468869087494744e-38
1513DTALThr;0;1;0;1;2.7870730889789076e-45;2.1468869087494744e-38
1513TACRitr;0;1;0;1;2.7870730889789076e-45;2.1468869087494744e-38
1513TACRtep;0;1;0;1;2.7870730889789076e-45;2.1468869087494744e-38
15DMTitr;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
15DMTtep;1;0;1;0;2.7870730889789076e-45;2.286328203138707e-34
15KPROSTGF2c;1;0;1;0;2.7870730889789076e-45;2.286328203138707e-34
15KPROSTGF2t;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
1A25DHVITD3t2e;1;0;1;0;2.7870730889789076e-45;2.286328203138707e-34
1A25DHVITD3te;1;0;1;0;2.7870730889789076e-45;2.286328203138707e-34
2H3MVc;0;1;0;1;8.818260164119192e-42;7.844434353956131e-32
2H3MVte;0;0;0;0;2.7870730889789076e-45;2.286328203138707e-34
2HATVACIDteb;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
2HATVACIDtep;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
2HATVLACteb;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
2HATVLACtep;0;0;0;0;2.1283607410575546e-44;2.408158443546291e-34
2HIVc;1;0;1;0;2.7870730889789076e-45;2.286328203138707e-34
2HIVte;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
2OXOADPt;1;0;1;0;5.64169882151658e-15;0.01370005706743688
2PGtr;1;0;1;0;5.64169882151658e-15;0.036999380370444014
34DHPEAR;1;0;1;0;2.7870730889789076e-45;2.1468869087494744e-38
34DHPEt;0;1;0;1;2.7870730889789076e-45;2.1468869087494744e-38
34DHPHELAT1tc;0;0;0;0;7.141191408292379e-07;6.439830954328726e-05
34HPPte;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
3AIBSYMPt;0;0;0;0;1.2962599888036506e-11;5.711420510780616e-12
3AIBt1;1;0;1;0;7.71295924810755e-33;2.8511357243142944e-21
3ANTHRNtr;0;0;0;0;2.1283607410575546e-44;2.3470788369179725e-34
3DDCRNtr;0;0;0;0;7.141191408292379e-07;1.7619270940985322e-07
3H3MGLTc;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
3H3MGLTte;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
3HDECECRNtr;0;0;0;0;2.7870730889789076e-45;2.286328203138707e-34
3HEXDCRNtr;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
3HPVSCOAhc;1;0;1;0;2.7870730889789076e-45;2.286328203138707e-34
3HPVSCOAitm;1;0;1;0;2.7870730889789076e-45;2.286328203138707e-34
3HPVSCOAitx;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
3HPVSTETCOAhcm;0;0;0;0;5.006379489741567e-23;4.160564308070259e-26
3HPVSTETCOAhcx;0;0;0;0;0.0011444152930630378;0.003425397769099395
3HPVSTETCOAitm;0;0;0;0;2.1972800193728503e-34;5.701075638809864e-29
3HPVSTETCOAitx;0;0;0;0;2.7870730889789076e-45;2.286328203138707e-34
3HPVSTEThc;0;0;0;0;2.7870730889789076e-45;2.286328203138707e-34
3HPVSTETteb;0;0;0;0;2.7870730889789076e-45;2.286328203138707e-34
3HPVSTETtev;0;0;0;0;7.414874398994229e-30;9.338459136185955e-30
3HPVSteb;0;0;0;0;3.2985763991151232e-18;2.414723547433436e-22
3HPVStep;0;0;0;0;0.0001962678208413809;7.108184310253124e-05
3ISPVSteb;0;0;0;0;5.130373046384305e-16;4.2306969326851584e-07
3ISPVStep;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
3MHISc;0;0;0;0;0.27548242843384396;0.42631088658673905
3MHISt1;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
3MHISt2;0;0;0;0;7.71295924810755e-33;6.603456183285372e-32
3MHISt3;1;0;1;0;2.7870730889789076e-45;2.286328203138707e-34
3MOBte;0;0;0;0;5.315266395891204e-13;1.495727894536547e-18
3MOPte;0;0;0;0;0.14866957346834564;0.03908793109293438
3MOX4HOXMte;0;0;0;0;1.1383531661972245e-23;2.340972201988079e-17
3PGtr;0;0;0;0;2.7870730889789076e-45;2.286328203138707e-34
3TDCRNtr;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
3TETD7ECOACRNtr;0;0;0;0;2.4886326684272538e-26;3.487549930447399e-25
3THEXDDCOACRNtr;0;1;0;1;2.7870730889789076e-45;2.286328203138707e-34
