reaction;reactions_up_MW;reactions_down_MW;reactions_up_KS;reactions_down_KS;p_ks;p_mw
12PPDRte;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
13DMThr;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
13DMTitr;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
13DMTtep;1;0;1;0;2.1822622360758168e-45;7.837095762470239e-39
13_CIS_RETNte;0;0;0;0;7.657679525519857e-22;3.249483260348702e-14
2H3MVc;0;0;0;0;1.2987423167659296e-07;2.322843971368926e-08
2H3MVte;0;0;0;0;5.605675234312088e-08;2.2337825440036572e-08
2HIVc;0;0;0;0;2.812880320977569e-18;8.081521762586154e-17
2HIVte;0;0;0;0;1.6866668573690808e-44;2.3485655611400682e-33
2OXOADPt;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
2PGtr;0;0;0;0;5.083670718172865e-05;0.02009598920724019
34DHPEAR;1;0;1;0;2.1822622360758168e-45;7.837095762470239e-39
34DHPEt;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
34DHPHELAT1tc;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
34HPLFM;1;0;1;0;2.1822622360758168e-45;7.837095762470239e-39
34HPLte;1;0;1;0;2.1822622360758168e-45;7.837095762470239e-39
34HPLtm;0;1;0;1;1.281135490594244e-43;6.415926017029282e-36
34HPPte;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
3AIBSYMPt;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
3AIBt1;0;0;0;0;2.1822622360758168e-45;1.7827770971533082e-34
3HDECECRNtr;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
3HPPt;1;0;1;0;2.1822622360758168e-45;7.837095762470239e-39
3HPPtm;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
3HPVSCOAhc;0;0;0;0;2.1822622360758168e-45;1.7827770971533082e-34
3HPVSCOAitm;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
3HPVSCOAitx;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
3HPVSTETCOAhcm;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
3HPVSTETCOAhcx;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
3HPVSTETCOAitm;0;0;0;0;6.538841319073389e-07;0.002242968433562321
3HPVSTETCOAitx;0;0;0;0;3.617872914160817e-32;1.0247867597937924e-27
3HPVSTEThc;0;0;0;0;1.5838478126947402e-09;5.461171208573983e-09
3HPVSTETtev;1;0;1;0;1.281135490594244e-43;2.4878235947646338e-33
3HPVStep;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
3MHISc;0;0;0;0;1.281135490594244e-43;2.755817111091612e-34
3MHISt1;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
3MHISt2;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
3MHISt3;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
3MOBte;0;0;0;0;1.6872838745794567e-28;3.0197106973451172e-24
3MOPte;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
3MOX4HOXMte;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
3MOXTYRt;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
3PGtr;0;0;0;0;7.299064205407865e-37;2.6710429611676e-31
4AABUTNt;0;0;0;0;2.079780172641136e-26;6.33560027312764e-28
4HPRO_LTte;0;0;0;0;1.1515098492590871e-11;1.3604919869675486e-07
4OHPROIMINOtc;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
4TMEABUTNt1;0;0;0;0;1.6872838745794567e-28;4.869745935239761e-26
4TMEABUTNt2;0;0;0;0;1.7813468870835583e-34;1.3099168399171083e-32
56DTHMt;0;0;0;0;5.0895089263406894e-20;1.7853965328587214e-21
56DTHMtd;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
56DURAt;0;0;0;0;2.1822622360758168e-45;1.7827770971533082e-34
56DURAtd;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
5AOPt;0;0;0;0;3.2153352481431165e-11;1.0212122986241434e-13
5CYSDOPAt;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
5EIPENCm;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
5EIPENCte;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
5EIPENCtm;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
5HOXINDOAtr;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
5HPETtd;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
5MTAte;0;0;0;0;4.9972187482857353e-14;5.145797086907668e-17
5OHHEXAc;0;0;0;0;2.1822622360758168e-45;1.7827770971533082e-34
5OHHEXAte;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
5OXPROt;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
7DHCHSTEROLtd;0;0;0;0;1.3913520502222582e-12;7.882369599555593e-11
7DHCHSTEROLtr;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
7OHOCTAc;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
7OHOCTAte;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
ABTD1;0;0;0;0;1.284003375577043e-20;4.062815043981802e-14
ABT_Dt2;0;0;0;0;0.005264647297674686;0.13898263335494263
ACGALtr;0;0;0;0;3.1659721241269837e-21;2.8055494505710537e-20
ACLYSHYc;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
ACLYSt;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
ACNAMt2;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
ACNAMtr;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
ACTHRtc;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
ACTHRte;0;1;0;1;4.657718123636658e-25;2.0472546257237285e-10
ACt2m;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
ADNK3;0;1;0;1;5.0895089263406894e-20;1.591675292744432e-05
ADPOHc;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
ADPOHt;0;0;0;0;0.0006111172580891928;0.10610669647826927
AHCYSte;0;0;0;0;0.8215389900734708;0.4065509238062805
AICARte;0;0;0;0;0.00018368348596869941;6.185433153302944e-05
ALAALACNc;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
AM4N9CShc;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
AM4N9CStev;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
AM4NCShr;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
AM4NCStep;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
AM9CSAtep;1;0;1;0;1.6866668573690808e-44;2.3290934650680176e-37
AMETAMte;0;0;0;0;2.1822622360758168e-45;1.7827770971533082e-34
AMETt;0;0;0;0;3.678418911897532e-17;8.061329547693064e-18
AMY2e;1;0;1;0;1.281135490594244e-43;2.5235382380820993e-34
ANDRSTANDRtr;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
ARACHDCOAtx;0;0;0;0;3.9851253454955665e-09;3.643801583416448e-09
ARACHDtr;1;0;1;0;1.6866668573690808e-44;3.3857846630917674e-34
ARGGLYGLYr;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
ARGGLYGLYt;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
BALABETAtc2;1;0;1;0;2.1822622360758168e-45;7.837095762470239e-39
BALAPAT1tc2;0;0;0;0;2.079780172641136e-26;3.9491386269029125e-25
BETBGTtc;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
BGAL1l;0;1;0;1;1.281135490594244e-43;7.508141680077218e-34
BGLUTCHLe;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
BGLYFm;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
BGLYte;0;0;0;0;0.00033872994586840255;0.012132744844373355
BGLYtm;1;0;1;0;2.1822622360758168e-45;7.837095762470239e-39
BILGLCURtr;0;0;0;0;4.263450674520017e-27;4.3838566422307975e-24
BILIVERDt;0;0;0;0;2.1822622360758168e-45;1.7827770971533082e-34
BZCOAFm;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
BZt;1;0;1;0;2.1822622360758168e-45;7.837095762470239e-39
BZtm;1;0;1;0;4.2107934218283964e-23;2.293299813328588e-08
C04483t2;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
C04717td;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
C04805td;0;1;0;1;4.4308296677858315e-16;0.003224182367431237
C05300t;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
C05953t;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
C05953tm;0;0;0;0;2.9092564104664244e-35;1.2005386470875161e-32
C05957t;0;0;0;0;1.1272150146854325e-30;1.626486445758861e-21
C06439t;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
C06439tn;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
C08261te;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
C14STRr;1;0;1;0;9.61649157938899e-43;1.6626191142762344e-34
C161CPT12;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
C161OHc;0;0;0;0;1.1272150146854325e-30;2.1296608090157367e-31
C181CPT2rbc;0;0;0;0;0.00033872994586840255;0.040485676459686294
C226CRNt;1;0;1;0;2.1822622360758168e-45;7.837095762470239e-39
C3DCtr;0;0;0;0;1.1515098492590871e-11;0.0523251857830124
C3STDH1Pr;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
C3STDH1r;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
C3STKR2r;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
C4STMO1r;1;0;1;0;2.1822622360758168e-45;7.837095762470239e-39
C4STMO2Pr;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
C4STMO2r;1;0;1;0;2.1822622360758168e-45;7.837095762470239e-39
CA2t;0;1;0;1;9.61649157938899e-43;9.748239125760558e-31
CARNtr;1;0;1;0;2.1822622360758168e-45;1.7827770971533082e-34
CDPDAGtm;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
CDSm;0;1;0;1;2.1822622360758168e-45;7.837095762470239e-39
CE0955te;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
CE1261t;0;1;0;1;2.1822622360758168e-45;1.7827770971533082e-34
